time,catalogue_1,front-end_2,front-end_3,user_4,front-end_5,front-end_6,user_7,front-end_8,front-end_9,front-end_10,front-end_11,front-end_12,catalogue_13,front-end_14,front-end_15,front-end_16,front-end_17,user_18,front-end_19,front-end_20,front-end_21,front-end_22,front-end_23,user_24,user_25,orders_26,payment_27,orders_28,shipping_29,queue-master_30,queue-master_31,queue-master_32,queue-master_33,queue-master_34,front-end_35,front-end_36,front-end_37,user_38,front-end_39,front-end_40,front-end_41,front-end_42,front-end_43,front-end_44,front-end_45,catalogue_46,payment_47,carts_48,user_49,orders-db_50,carts_51
1705595445,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,8,6,2,2,2,2,2,2,2,2,2,2,2,2,6,6,2,4,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
1705595460,15,15,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,16,16,16,16,16,16,16,16,16,10,10,46,10,0,0
1705595475,12,12,24,24,24,24,24,24,23,23,23,23,23,23,23,23,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,22,22,22,22,22,22,22,22,22,10,10,23,10,0,0
1705595490,16,16,12,12,12,12,12,12,12,12,12,12,12,12,12,12,23,92,69,23,23,23,23,23,23,23,23,23,23,23,23,69,69,23,46,23,8,8,8,8,8,8,8,8,8,10,10,0,10,0,0
1705595505,21,21,11,11,11,11,11,11,12,12,12,12,12,12,12,12,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,18,18,18,18,18,18,18,18,18,10,10,0,10,0,0
1705595520,12,12,15,15,15,15,15,15,15,15,15,15,14,14,14,14,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,12,10,10,10,10,10,10,10,10,10,10,10,0,10,0,0
1705595535,12,12,16,16,16,16,16,16,16,16,16,16,17,17,17,17,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,13,18,18,18,18,18,18,18,18,18,10,10,0,10,0,0
1705595550,15,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,16,16,16,16,16,16,16,16,16,10,10,23,10,0,0
1705595565,18,18,18,18,18,18,18,18,17,17,17,17,17,17,17,17,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,15,15,15,15,15,15,15,15,15,10,10,23,10,0,0
1705595580,13,13,14,14,14,14,14,14,15,15,15,15,15,15,15,15,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,15,15,15,15,15,15,15,15,15,10,10,23,10,0,0
1705595595,14,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,20,20,20,20,20,20,20,20,20,10,10,0,10,0,0
1705595610,19,19,16,16,16,16,16,16,15,15,15,15,15,15,15,15,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,12,12,12,12,12,12,12,12,12,10,10,0,10,0,0
1705595625,19,19,14,14,14,14,14,14,15,15,15,15,15,15,15,15,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,14,13,13,13,13,13,13,13,13,10,10,23,10,0,0
1705595640,11,11,19,19,19,19,19,19,19,18,18,18,18,18,18,18,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,17,18,18,18,18,18,18,18,18,10,10,0,10,0,0
1705595655,15,15,16,16,16,16,16,16,16,17,17,17,17,17,17,17,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,17,17,17,17,17,17,17,17,17,10,10,0,10,0,0
1705595670,21,21,16,16,16,16,16,16,16,16,16,16,16,16,16,16,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,18,18,18,18,18,18,18,18,18,10,10,0,10,0,0
1705595685,15,15,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,14,14,14,14,14,14,14,14,14,10,10,23,10,0,0
