POD,NODE_NAME
carts-7d648bc7b8-q2xtl,gke-gke-cluster-ss-default-pool-aa4d7ed2-v826
carts-db-5d88c7dddc-chw52,gke-gke-cluster-ss-default-pool-aa4d7ed2-3px7
catalogue-76757d8b6f-wcjpg,gke-gke-cluster-ss-default-pool-aa4d7ed2-nw9c
catalogue-db-554cbfd749-dmdxf,gke-gke-cluster-ss-default-pool-aa4d7ed2-v826
front-end-75b898f665-ljxrb,gke-gke-cluster-ss-default-pool-aa4d7ed2-3px7
loadgenerator-564d55cfcb-zq9zm,gke-gke-cluster-ss-default-pool-aa4d7ed2-nw9c
orders-c8c879568-n9mw5,gke-gke-cluster-ss-default-pool-aa4d7ed2-v826
orders-db-7c75b66575-2wl64,gke-gke-cluster-ss-default-pool-aa4d7ed2-nw9c
payment-685fccf685-kvwdw,gke-gke-cluster-ss-default-pool-aa4d7ed2-3px7
queue-master-5f47847cd-66trv,gke-gke-cluster-ss-default-pool-aa4d7ed2-nw9c
rabbitmq-5dcbdd5997-7qst7,gke-gke-cluster-ss-default-pool-aa4d7ed2-v826
session-db-6f9cdc9746-fg2lp,gke-gke-cluster-ss-default-pool-aa4d7ed2-3px7
shipping-6d4449fd75-kqw47,gke-gke-cluster-ss-default-pool-aa4d7ed2-3px7
user-658fb747c7-mmjjf,gke-gke-cluster-ss-default-pool-aa4d7ed2-v826
user-db-57c446cdbc-kvxnf,gke-gke-cluster-ss-default-pool-aa4d7ed2-v826
