time,front-end_1,user_2,front-end_3,front-end_4,front-end_5,front-end_6,front-end_7,front-end_8,front-end_9,front-end_10,user_11,front-end_12,front-end_13,front-end_14,front-end_15,front-end_16,user_17,user_18,orders_19,payment_20,orders_21,shipping_22,queue-master_23,queue-master_24,queue-master_25,queue-master_26,queue-master_27,front-end_28,front-end_29,catalogue_30,front-end_31,front-end_32,user_33,front-end_34,front-end_35,user_36,front-end_37,front-end_38,front-end_39,front-end_40,front-end_41,catalogue_42,front-end_43,front-end_44,front-end_45,user_46,catalogue_47,payment_48,carts_49,orders-db_50,user_51,carts_52,carts_53,carts_54,carts_55,carts_56,carts_57,carts_58,carts_59,front-end_60,front-end_61
1705675965,10,10,10,10,10,10,10,10,10,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,10,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,8,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0
1705675980,19,19,18,18,18,18,18,18,18,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,17,17,18,18,18,18,18,18,18,18,18,18,18,18,18,18,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
1705675995,11,11,12,12,12,12,12,12,12,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,12,12,16,16,16,16,16,16,16,16,16,16,16,16,16,16,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
1705676010,15,15,15,15,15,15,15,15,15,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,20,20,12,12,12,12,12,12,12,12,12,12,12,12,12,12,10,10,10,23,0,0,0,0,0,0,0,0,0,0,0,0
1705676025,19,19,19,19,19,19,19,19,19,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,11,11,18,18,18,18,18,18,18,18,18,18,17,17,17,17,10,10,10,23,0,0,0,0,0,0,0,0,0,0,0,0
1705676040,16,16,16,16,16,16,16,16,16,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,16,16,17,17,17,17,17,17,16,16,16,16,17,17,17,17,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
1705676055,11,11,11,11,11,11,11,11,11,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,20,20,11,11,11,11,11,11,12,12,12,12,12,12,12,12,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
1705676070,21,21,21,21,21,21,21,21,21,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,13,13,19,19,19,19,19,19,19,19,19,19,19,19,19,19,10,10,10,69,0,0,0,0,0,0,0,0,0,0,0,0
1705676085,12,12,12,12,12,12,12,12,12,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,13,13,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
1705676100,16,16,16,16,16,16,16,16,16,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,21,21,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
