time,front-end_1,user_2,front-end_3,front-end_4,front-end_5,front-end_6,front-end_7,user_8,user_9,orders_10,payment_11,orders_12,shipping_13,queue-master_14,queue-master_15,queue-master_16,queue-master_17,queue-master_18,front-end_19,front-end_20,front-end_21,user_22,front-end_23,front-end_24,front-end_25,front-end_26,front-end_27,front-end_28,front-end_29,front-end_30,user_31,front-end_32,front-end_33,user_34,front-end_35,front-end_36,front-end_37,front-end_38,front-end_39,catalogue_40,front-end_41,front-end_42,front-end_43,catalogue_44,catalogue_45,front-end_46,carts_47,payment_48,user_49,user_50,carts_51
1705677555,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,7,7,7,7,7,7,7,7,7,12,12,12,12,12,12,12,12,12,12,12,12,12,11,6,13,13,23,6,6,0,0
1705677570,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,15,15,15,15,15,15,15,15,15,14,14,14,14,14,14,14,14,14,14,14,14,14,15,10,16,16,23,10,10,0,0
1705677585,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,16,16,16,16,16,16,16,16,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,10,17,17,23,10,10,0,0
1705677600,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,16,16,16,16,16,16,16,16,16,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,15,15,0,10,10,0,0
1705677615,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,11,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,10,18,18,0,10,10,0,0
1705677630,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,20,20,20,20,20,20,20,20,20,17,17,17,17,17,17,17,17,17,17,17,17,17,17,10,11,11,0,10,10,0,0
1705677645,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,14,14,14,14,14,14,14,14,14,18,18,18,18,18,18,18,18,18,18,18,18,18,18,10,16,16,23,10,10,0,0
1705677660,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,9,9,10,16,16,0,10,10,0,0
1705677675,10,40,30,10,10,10,10,10,10,10,10,10,10,10,10,30,30,10,20,10,17,17,17,17,17,17,17,17,17,15,15,15,15,15,15,15,15,15,15,16,16,16,16,10,15,15,0,10,10,0,0
1705677690,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,20,20,20,20,20,20,20,20,20,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,11,11,0,10,10,0,0
1705677705,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,13,13,13,13,13,13,13,13,13,20,20,20,20,20,20,20,20,20,20,20,20,20,20,10,15,15,23,10,10,0,0
1705677720,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,13,13,13,13,13,13,13,13,13,14,14,14,14,14,14,14,14,14,14,14,14,14,13,10,18,18,0,10,10,0,0
1705677735,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,18,18,18,18,18,18,18,18,18,14,14,14,14,14,14,14,14,14,14,14,14,14,15,10,16,16,46,10,10,0,0
1705677750,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,16,16,16,16,16,16,16,16,16,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,14,14,23,10,10,0,0
1705677765,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,14,14,14,14,14,14,14,14,14,13,13,13,13,13,13,13,13,13,13,13,13,13,13,10,16,16,0,10,10,0,0
1705677780,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,17,17,17,17,17,17,17,17,17,23,23,23,23,23,23,23,23,23,23,23,23,23,23,10,19,19,23,10,10,0,0
1705677795,22,88,66,22,22,22,22,22,22,22,22,22,22,22,22,66,66,22,44,22,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,23,10,10,0,0
1705677810,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,22,22,22,22,22,22,22,22,22,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,20,20,0,10,10,0,0
1705677825,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,14,14,14,14,14,14,14,14,14,21,21,21,21,21,21,21,21,21,21,21,21,21,21,10,11,11,23,10,10,0,0
1705677840,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,14,14,14,14,14,14,14,14,14,7,7,7,7,7,7,7,7,7,7,7,7,7,7,10,18,18,0,10,10,0,0
1705677855,10,40,30,10,10,10,10,10,10,10,10,10,10,10,10,30,30,10,20,10,13,13,13,13,13,13,13,13,13,17,17,17,17,17,17,17,17,17,17,17,17,17,17,10,17,17,0,10,10,0,0
1705677870,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,17,17,17,17,17,17,17,17,17,18,18,18,18,18,18,18,18,18,18,18,18,18,18,10,12,12,0,10,10,0,0
1705677885,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,13,13,13,13,13,13,13,13,10,11,11,23,10,10,0,0
1705677900,12,47,36,12,12,12,12,11,11,11,11,11,11,11,11,33,33,11,22,11,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,15,15,15,15,15,15,15,15,10,23,23,0,10,10,0,0
1705677915,13,53,39,13,13,13,13,14,14,14,14,14,14,14,14,42,42,14,28,14,22,22,22,22,22,22,22,22,22,20,20,20,20,20,20,20,20,20,20,20,20,20,20,10,12,12,23,10,10,0,0
1705677930,24,95,70,24,24,23,23,23,23,23,23,23,23,23,23,69,69,23,46,23,14,14,14,14,14,14,14,14,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,18,18,0,10,10,0,0
1705677945,11,45,35,11,11,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,17,17,17,17,17,17,17,17,17,16,16,16,16,16,16,16,16,16,16,16,16,16,16,10,17,17,23,10,10,0,0
1705677960,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,21,21,21,21,21,21,21,21,21,17,17,17,17,17,17,17,17,17,17,17,17,17,17,10,12,12,23,10,10,0,0
