time,front-end_1,user_2,front-end_3,front-end_4,user_5,front-end_6,front-end_7,front-end_8,front-end_9,front-end_10,catalogue_11,front-end_12,front-end_13,front-end_14,catalogue_15,front-end_16,user_17,front-end_18,front-end_19,front-end_20,front-end_21,front-end_22,front-end_23,front-end_24,catalogue_25,front-end_26,front-end_27,user_28,front-end_29,front-end_30,front-end_31,front-end_32,front-end_33,user_34,user_35,orders_36,payment_37,payment_38,orders_39,shipping_40,queue-master_41,queue-master_42,queue-master_43,queue-master_44,queue-master_45,front-end_46,front-end_47,user_48,carts_49,carts_50,user_51,user_52
1705661895,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,7,7,7,7,7,7,7,7,7,11,11,5,20,15,5,5,5,5,5,5,5,5,4,5,5,5,5,15,15,5,10,5,4,0,0,0,0
1705661910,22,21,21,21,21,21,21,21,21,21,21,21,21,21,10,22,22,22,22,22,22,22,22,22,15,15,12,48,36,12,12,12,12,12,12,12,12,10,12,12,12,12,36,36,12,24,12,10,0,0,0,0
1705661925,15,16,16,16,16,16,16,16,16,16,16,16,16,16,10,11,11,11,11,11,11,11,11,11,11,11,19,76,57,19,19,19,19,19,19,19,19,10,19,19,19,19,57,57,19,38,19,10,46,0,0,0
1705661940,13,13,13,13,13,13,13,13,13,13,13,13,13,13,10,13,13,13,13,13,13,13,13,13,22,22,15,60,45,15,15,15,15,15,15,15,15,10,15,15,15,15,45,45,15,30,15,10,0,0,0,0
1705661955,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,18,18,18,18,18,18,18,18,18,12,12,14,56,42,14,14,14,14,14,14,14,14,10,14,14,14,14,42,42,14,28,14,10,0,0,0,0
1705661970,19,19,19,19,19,19,19,19,19,19,19,19,19,19,10,18,18,18,18,18,18,18,18,18,11,11,17,68,51,17,17,17,17,17,17,17,17,10,17,16,16,16,48,48,16,32,16,10,0,0,0,0
1705661985,13,13,13,13,13,13,13,13,13,13,13,13,13,13,10,16,16,16,16,16,16,16,16,16,23,23,16,64,48,16,16,16,16,16,16,16,16,10,16,17,17,17,51,51,17,34,17,10,0,0,0,0
1705662000,16,16,16,16,16,16,16,16,16,16,16,16,16,16,10,17,17,17,17,17,17,17,17,17,19,19,15,60,45,15,15,15,15,15,15,15,15,10,15,15,15,15,45,45,15,30,15,10,0,0,0,0
1705662015,19,19,19,19,18,18,18,18,18,18,18,18,18,18,10,12,12,12,12,12,11,11,11,11,11,11,17,68,51,17,17,17,17,17,17,17,17,10,17,17,17,17,51,51,17,34,17,10,0,0,0,0
1705662030,7,7,7,7,8,8,8,8,8,8,8,8,8,8,10,13,13,13,13,13,14,14,14,14,16,16,16,64,48,16,16,16,16,16,16,16,16,10,16,16,16,16,48,48,16,32,16,10,0,0,0,0
1705662045,21,21,21,21,21,21,21,21,21,21,21,21,21,21,10,20,20,20,20,20,20,20,20,20,12,12,12,48,36,12,12,12,12,12,12,12,12,10,12,12,12,12,36,36,12,24,12,10,23,0,0,0
1705662060,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,17,17,17,17,17,17,17,17,17,17,17,18,72,54,18,18,18,18,18,18,18,18,10,18,18,18,18,54,54,18,36,18,10,0,0,0,0
1705662075,18,18,18,18,18,18,18,18,18,18,18,18,18,18,10,16,16,16,16,16,16,16,16,16,17,16,15,56,42,14,14,14,14,14,14,14,14,10,14,14,14,14,42,42,14,28,14,10,0,0,0,0
1705662090,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,15,15,15,15,15,15,15,15,15,16,17,18,76,57,19,19,19,19,19,19,19,19,10,19,19,19,19,57,57,19,38,19,10,0,0,0,0
1705662105,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,12,12,12,12,12,12,12,12,12,17,17,14,56,42,14,14,14,14,14,14,14,14,10,14,14,14,14,42,42,14,28,14,10,0,0,0,0
1705662120,17,17,17,17,17,17,17,17,17,17,17,17,17,17,10,21,21,21,21,21,21,21,21,21,11,11,15,60,45,15,15,15,15,15,15,15,15,10,15,15,15,15,45,45,15,30,15,10,0,0,0,0
1705662135,17,17,17,17,17,17,17,17,17,17,17,17,17,17,10,13,13,13,13,13,13,13,13,13,21,21,17,68,51,17,17,17,17,17,17,17,17,10,17,17,17,17,51,51,17,34,17,10,0,0,0,0
1705662150,12,12,12,12,12,12,12,12,12,12,12,12,12,12,10,13,13,13,13,13,13,13,13,13,14,14,15,60,45,15,15,15,15,15,15,15,15,10,15,15,15,15,45,45,15,30,15,10,23,0,0,0
1705662165,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,22,22,22,22,22,22,22,22,22,16,16,11,44,33,11,11,11,11,11,11,11,11,10,11,11,11,11,33,33,11,22,11,10,0,0,0,0
1705662180,23,23,23,23,23,23,23,23,23,23,23,23,23,23,10,11,11,11,11,11,11,11,11,11,12,12,15,60,45,15,15,15,15,15,15,15,15,10,15,15,15,15,45,45,15,30,15,10,23,0,0,0
1705662195,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,14,14,14,14,14,14,14,14,14,13,13,21,84,63,21,21,21,21,21,21,21,21,10,21,21,21,21,63,63,21,42,21,10,0,0,0,0
1705662210,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,20,20,15,60,45,15,15,15,15,15,15,15,15,10,15,15,15,15,45,45,15,30,15,10,0,0,0,0
1705662225,18,18,18,18,18,18,18,18,18,18,18,18,18,18,10,19,19,19,19,19,19,19,19,19,15,15,9,36,27,9,9,9,9,9,9,9,9,10,9,9,9,9,27,27,9,18,9,10,0,0,0,0
1705662240,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,17,17,17,17,17,17,17,17,17,8,8,18,72,54,18,18,18,18,18,18,18,18,10,18,18,18,18,54,54,18,36,18,10,0,0,0,0
1705662255,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,12,12,12,12,12,12,12,12,12,21,21,16,64,48,16,16,16,16,16,16,16,16,10,16,16,16,16,48,48,16,32,16,10,23,0,0,0
1705662270,21,21,21,21,21,21,21,21,21,21,21,21,21,21,10,20,20,20,20,20,20,20,20,20,19,19,16,64,48,16,16,16,16,16,16,16,16,10,16,16,16,16,48,48,16,32,16,10,0,0,0,0
1705662285,12,12,12,12,12,12,12,12,12,12,12,12,12,12,10,13,13,13,13,13,13,13,13,13,13,13,16,64,48,16,16,16,16,16,16,16,16,10,16,16,16,16,48,48,16,32,16,10,23,0,0,0
1705662300,12,12,12,12,12,12,12,12,12,12,12,12,12,12,10,19,19,19,19,19,19,19,19,19,16,16,15,60,45,15,15,15,15,15,15,15,15,10,15,15,15,15,45,45,15,30,15,10,23,0,0,0
1705662315,20,20,20,20,20,20,20,20,20,20,20,20,20,20,10,15,15,15,15,15,15,15,15,15,13,13,14,56,42,14,14,14,14,14,14,14,14,10,14,13,13,13,39,39,13,26,13,10,0,0,0,0
1705662330,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,12,12,12,12,12,11,11,11,11,18,18,16,64,48,16,16,16,16,16,16,16,16,10,16,17,17,17,51,51,17,34,17,10,23,0,0,0
1705662345,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,14,14,14,14,14,15,15,15,15,16,16,17,68,51,17,17,17,17,17,17,17,17,10,17,17,17,17,51,51,17,34,17,10,23,0,0,0
1705662360,13,13,13,13,13,13,13,13,13,13,13,13,13,13,10,17,17,17,17,17,17,17,17,17,12,12,14,56,42,14,14,14,14,14,14,14,14,10,14,14,14,14,42,42,14,28,14,10,23,0,0,0
1705662375,19,19,19,19,19,19,19,19,19,19,19,19,19,19,10,16,16,16,16,16,16,16,16,16,15,15,16,64,48,16,16,16,16,16,16,16,16,10,16,16,16,16,48,48,16,32,16,10,0,0,0,0
1705662390,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,13,13,13,13,13,13,13,13,13,19,19,18,72,54,18,18,18,18,18,18,18,18,10,18,18,18,18,54,54,18,36,18,10,23,0,0,0
1705662405,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,17,17,17,17,17,17,17,17,17,15,15,13,52,39,13,13,13,13,13,13,13,13,10,13,13,13,13,39,39,13,26,13,10,0,0,0,0
1705662420,18,18,18,18,18,18,18,18,18,18,18,18,18,18,10,18,18,18,18,18,18,18,18,18,12,12,13,52,39,13,13,13,13,13,13,13,13,10,13,13,13,13,39,39,13,26,13,10,0,0,0,0
1705662435,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,12,12,12,12,12,12,12,12,12,18,18,20,80,60,20,20,20,20,20,20,20,20,10,20,20,20,20,60,60,20,40,20,10,46,0,0,0
1705662450,12,12,12,12,12,12,12,12,12,12,12,12,12,12,10,15,15,15,15,15,15,15,15,15,17,17,14,56,42,14,14,14,14,14,14,14,14,10,14,14,14,14,42,42,14,28,14,10,23,0,0,0
1705662465,19,19,19,19,19,19,19,19,19,19,19,19,19,18,10,19,19,19,19,19,19,19,19,19,15,15,11,44,33,11,11,11,11,11,11,11,11,10,10,10,10,10,30,30,10,20,10,10,0,0,0,0
