time,catalogue_1,front-end_2,front-end_3,user_4,front-end_5,front-end_6,front-end_7,front-end_8,front-end_9,user_10,user_11,orders_12,payment_13,orders_14,shipping_15,queue-master_16,queue-master_17,queue-master_18,queue-master_19,queue-master_20,front-end_21,front-end_22,front-end_23,user_24,front-end_25,front-end_26,front-end_27,front-end_28,front-end_29,front-end_30,front-end_31,catalogue_32,payment_33,front-end_34,user_35,front-end_36,front-end_37,user_38,front-end_39,front-end_40,front-end_41,front-end_42,front-end_43,catalogue_44,front-end_45,front-end_46,front-end_47,user_48,carts_49,carts_50,user_51
1705724400,18,18,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,13,13,13,13,13,13,13,13,13,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,6,0,0,0
1705724415,12,12,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,14,14,14,14,14,14,14,14,14,10,10,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,0,0,0
1705724430,11,11,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,15,15,15,15,15,15,15,15,15,10,10,23,23,23,23,23,23,23,23,23,23,23,23,23,23,10,0,0,0
1705724445,22,22,21,84,63,21,21,21,21,21,21,21,21,21,21,21,21,63,63,21,42,21,17,17,17,17,17,17,17,17,17,10,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,10,69,0,0
1705724460,15,15,10,40,30,10,10,10,10,10,10,10,10,10,10,10,10,30,30,10,20,10,15,15,15,15,15,15,15,15,15,10,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,0,0,0
1705724475,15,15,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,15,15,15,15,15,15,15,15,15,10,10,16,16,16,16,16,16,16,16,16,16,16,16,16,16,10,23,0,0
1705724490,14,14,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,17,17,17,17,17,17,17,17,17,10,10,17,17,17,17,17,17,17,17,17,17,17,17,17,17,10,23,0,0
1705724505,17,17,18,72,54,18,18,18,18,18,18,18,18,18,17,17,17,51,51,17,34,17,12,12,12,12,12,12,12,12,12,10,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,10,0,0,0
1705724520,16,16,10,40,30,10,10,10,10,10,10,10,10,10,11,11,11,33,33,11,22,11,19,19,19,19,19,19,19,19,19,10,10,17,17,17,17,17,17,17,17,17,17,17,17,17,17,10,0,0,0
1705724535,13,13,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,17,17,17,17,17,17,17,17,17,10,10,20,20,20,20,20,20,20,20,20,20,20,20,20,20,10,23,0,0
1705724550,17,17,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,13,13,13,13,13,13,13,13,13,10,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,10,0,0,0
1705724565,16,16,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,18,18,18,18,18,18,18,18,18,10,10,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,0,0,0
1705724580,13,13,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,15,15,15,15,15,15,15,15,15,10,10,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,46,0,0
