time,front-end_1,user_2,front-end_3,front-end_4,front-end_5,front-end_6,front-end_7,user_8,user_9,orders_10,payment_11,orders_12,shipping_13,queue-master_14,queue-master_15,queue-master_16,queue-master_17,queue-master_18,front-end_19,front-end_20,catalogue_21,front-end_22,user_23,front-end_24,user_25,front-end_26,front-end_27,user_28,front-end_29,front-end_30,front-end_31,front-end_32,front-end_33,catalogue_34,front-end_35,front-end_36,front-end_37,front-end_38,user_39,front-end_40,front-end_41,front-end_42,front-end_43,front-end_44,front-end_45,front-end_46,catalogue_47,payment_48,carts_49,user_50,user_51
1705725990,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,13,13,8,8,8,8,7,7,7,7,7,7,7,7,7,7,7,10,10,10,10,10,10,10,10,10,8,8,0,0,0
1705726005,10,40,30,10,10,10,10,10,10,10,10,10,10,10,10,30,30,10,20,10,15,15,10,12,12,12,13,13,13,13,13,13,13,13,13,13,13,21,21,21,21,21,21,21,21,21,10,10,0,0,0
1705726020,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,13,13,10,24,24,24,24,24,24,24,24,24,24,24,24,24,24,16,16,16,16,16,16,16,16,16,10,10,0,0,0
1705726035,23,92,69,23,23,23,23,23,23,23,23,23,23,23,23,69,69,23,46,23,16,16,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,10,10,10,10,10,10,10,10,10,10,10,0,0,0
1705726050,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,19,19,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,15,15,15,15,15,15,15,15,15,10,10,0,0,0
1705726065,10,40,30,10,10,10,10,10,10,10,10,10,10,10,10,30,30,10,20,10,11,11,10,19,19,19,19,19,19,19,19,19,19,19,19,19,19,21,21,21,21,21,21,21,21,21,10,10,0,0,0
1705726080,21,84,63,21,21,21,21,21,21,21,21,21,21,21,21,63,63,21,42,21,14,14,10,16,16,16,16,16,16,16,16,16,16,16,16,16,16,15,15,15,15,15,15,15,15,15,10,10,23,0,0
1705726095,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,19,19,10,14,14,14,14,14,14,14,14,14,14,14,14,14,14,13,13,13,13,13,13,13,13,13,10,10,23,0,0
1705726110,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,17,17,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,14,14,14,14,14,14,14,14,14,10,10,0,0,0
1705726125,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,13,13,10,16,16,16,16,16,16,16,16,16,16,16,16,16,16,18,18,18,18,18,18,18,18,18,10,10,0,0,0
1705726140,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,14,14,10,19,19,19,19,19,19,19,19,19,19,19,19,19,19,17,17,17,17,17,17,17,17,17,10,10,0,0,0
1705726155,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,19,20,20,10,13,13,13,13,13,13,13,13,13,13,13,13,13,13,10,10,10,10,10,10,10,10,10,10,10,0,0,0
1705726170,8,32,24,8,8,8,8,8,8,8,8,8,8,8,8,24,24,8,16,9,15,15,10,13,13,13,13,13,13,13,13,13,13,13,13,13,13,20,20,20,20,20,20,20,20,20,10,10,0,0,0
1705726185,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,10,10,17,17,17,17,17,17,17,17,17,17,17,17,17,17,15,15,15,15,15,15,15,15,15,10,10,23,0,0
1705726200,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,20,20,10,17,17,17,17,17,17,17,17,17,17,17,17,17,17,16,16,16,16,16,16,16,16,16,10,10,0,0,0
1705726215,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,17,17,10,14,14,14,14,14,14,14,14,14,14,14,14,14,14,11,11,11,11,11,11,11,11,11,10,10,0,0,0
1705726230,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,12,12,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,21,21,21,21,21,21,21,21,21,10,10,0,0,0
1705726245,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,14,14,10,20,20,20,20,20,20,20,20,20,20,20,20,20,20,12,12,12,12,12,12,12,12,12,10,10,0,0,0
1705726260,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,15,15,10,13,13,13,13,13,13,13,13,13,13,13,13,13,13,16,16,16,16,16,16,16,16,16,10,10,0,0,0
1705726275,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,18,18,10,19,19,19,19,19,19,19,19,19,19,19,19,19,19,12,12,12,12,12,12,12,12,12,10,10,0,0,0
1705726290,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,15,15,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,13,13,13,13,13,13,13,13,10,10,0,0,0
1705726305,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,12,12,10,16,16,16,16,16,16,16,16,16,16,16,16,16,16,20,20,20,20,20,20,20,20,20,10,10,0,0,0
