time,user_1,catalogue_2,front-end_3,front-end_4,user_5,front-end_6,front-end_7,user_8,front-end_9,front-end_10,front-end_11,front-end_12,front-end_13,catalogue_14,front-end_15,front-end_16,front-end_17,user_18,front-end_19,front-end_20,front-end_21,front-end_22,front-end_23,front-end_24,front-end_25,front-end_26,front-end_27,user_28,front-end_29,front-end_30,front-end_31,front-end_32,front-end_33,user_34,user_35,orders_36,payment_37,orders_38,shipping_39,queue-master_40,queue-master_41,queue-master_42,queue-master_43,queue-master_44,front-end_45,front-end_46,catalogue_47,payment_48,carts_49
1705817220,6,6,6,7,7,7,7,7,7,6,6,6,6,6,6,6,10,10,10,10,10,6,10,10,10,10,6,24,18,6,6,6,6,6,6,6,6,6,6,6,6,18,18,6,12,6,4,4,0
1705817235,10,19,19,19,19,19,19,19,19,20,20,20,20,20,20,20,16,16,16,16,16,20,16,16,16,16,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,10,23
1705817250,10,17,17,12,12,12,12,12,12,12,12,12,12,12,12,12,13,13,13,13,13,12,13,13,13,13,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,10,0
1705817265,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,20,20,20,20,20,15,20,20,20,20,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,10,23
1705817280,10,15,15,23,23,23,23,23,23,23,23,23,23,23,23,23,15,15,15,15,15,23,15,15,15,15,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,10,10,69
1705817295,10,20,20,12,12,12,12,12,12,12,12,12,12,12,12,12,10,10,10,10,10,12,10,10,10,10,21,84,63,21,21,21,21,21,21,21,21,21,21,21,21,63,63,21,42,21,10,10,46
1705817310,10,15,15,13,13,13,13,13,13,13,13,13,13,13,13,13,16,16,16,16,16,13,16,16,16,16,9,36,27,9,9,9,9,9,9,9,9,9,9,9,9,27,27,9,18,9,10,10,69
1705817325,10,7,7,17,17,17,17,17,17,17,17,17,16,16,16,16,23,23,23,23,23,16,23,23,23,23,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,10,10,0
1705817340,10,16,16,17,17,17,17,17,17,17,17,17,18,18,18,18,11,11,11,11,11,18,11,11,11,11,22,85,63,21,21,21,21,21,21,21,21,21,21,21,21,63,63,21,42,21,10,10,0
1705817355,10,22,22,14,14,14,14,14,14,14,14,14,14,14,14,14,16,16,16,16,16,14,16,16,16,16,14,59,45,15,15,15,15,15,15,15,15,15,15,15,14,42,42,14,28,14,10,10,23
1705817370,10,12,12,16,16,16,16,16,16,16,16,16,16,16,16,16,17,17,17,17,17,16,17,17,17,17,15,60,45,15,15,15,15,15,15,15,15,15,15,15,16,48,48,16,32,16,10,10,23
1705817385,10,19,19,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,10,23
1705817400,10,16,16,15,15,15,15,15,15,15,15,15,15,15,15,15,11,11,11,11,11,15,11,11,11,11,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,10,23
1705817415,10,15,15,16,16,16,16,16,16,16,16,16,16,16,16,16,18,18,18,18,18,16,18,18,18,18,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,10,10,23
1705817430,10,11,11,14,14,14,14,14,14,14,14,14,14,14,14,14,17,17,17,17,17,14,17,17,17,17,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,10,0
1705817445,10,17,17,18,18,18,18,18,18,18,18,18,18,18,18,18,12,12,12,12,12,18,12,12,12,12,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,10,10,69
1705817460,10,14,14,6,6,6,6,6,6,6,6,6,6,6,6,6,11,11,11,11,11,6,11,11,11,11,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,10,23
1705817475,10,15,15,18,18,18,18,18,18,18,18,18,18,18,18,18,20,20,20,20,20,18,20,20,20,20,8,32,24,8,8,8,8,8,8,8,8,8,8,8,8,24,24,8,16,8,10,10,0
1705817490,10,12,12,19,19,19,19,19,19,19,19,19,19,19,19,19,14,14,14,14,14,19,14,14,14,14,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,10,10,23
1705817505,10,18,18,11,11,11,11,11,11,11,11,11,11,11,11,11,9,9,9,9,9,11,9,9,9,9,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,10,10,0
1705817520,10,14,14,13,13,13,13,13,13,12,12,12,12,12,12,12,19,19,19,19,19,12,19,19,19,19,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,10,10,46
1705817535,10,11,11,17,17,17,17,17,17,18,18,18,18,18,18,18,19,19,19,19,19,18,19,19,19,19,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,10,46
1705817550,10,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,14,14,14,14,14,20,14,14,14,14,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,10,10,0
1705817565,10,16,16,14,14,14,14,14,14,14,14,14,14,14,14,14,13,13,13,13,13,14,13,13,13,13,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,10,23
