time,front-end_1,front-end_2,front-end_3,front-end_4,catalogue_5,front-end_6,front-end_7,front-end_8,front-end_9,user_10,front-end_11,front-end_12,user_13,front-end_14,carts_15,front-end_16,user_17,front-end_18,front-end_19,front-end_20,front-end_21,front-end_22,user_23,user_24,orders_25,payment_26,orders_27,shipping_28,queue-master_29,queue-master_30,queue-master_31,queue-master_32,queue-master_33,front-end_34,front-end_35,front-end_36,user_37,front-end_38,front-end_39,front-end_40,front-end_41,front-end_42,front-end_43,front-end_44,catalogue_45,payment_46,catalogue_47,front-end_48,user_49,carts_50,user-db_51
1705682595,9,9,9,9,9,9,9,9,8,8,8,8,8,8,23,9,36,27,9,9,9,9,9,9,9,9,9,9,9,9,27,27,9,18,9,8,8,8,8,8,8,8,8,8,4,4,5,5,4,0,0
1705682610,18,18,18,18,17,17,17,17,18,18,18,18,18,18,23,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,16,16,16,16,16,16,16,16,16,10,10,14,14,10,0,0
1705682625,15,15,15,15,16,16,16,16,15,15,15,15,15,15,46,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,13,13,13,13,13,13,13,13,13,10,10,20,20,10,0,0
1705682640,11,11,11,11,11,11,11,11,11,11,11,11,11,11,23,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,11,11,11,11,11,11,11,11,11,10,10,16,16,10,0,0
1705682655,16,16,16,16,16,16,16,15,16,16,16,16,16,16,0,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,23,23,23,23,23,23,23,23,23,10,10,12,12,10,0,0
1705682670,21,21,21,21,21,21,21,22,21,21,21,21,21,21,23,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,14,14,14,14,14,14,14,14,14,10,10,13,13,10,0,0
1705682685,9,9,9,9,9,9,9,9,9,9,9,9,9,9,23,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,12,12,12,12,12,12,12,12,12,10,10,19,19,10,0,0
1705682700,19,19,19,19,19,19,19,19,19,19,19,19,19,19,0,10,40,30,10,10,10,10,10,10,10,10,10,10,10,10,30,30,10,20,10,17,17,17,17,17,17,17,17,17,10,10,14,14,10,0,0
1705682715,14,14,14,14,14,14,14,14,14,14,14,14,14,14,0,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,15,15,15,15,15,15,15,15,15,10,10,11,11,10,0,0
1705682730,15,15,15,15,15,15,15,15,16,16,16,16,16,15,0,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,15,15,15,15,15,15,15,15,15,10,10,19,19,10,0,0
1705682745,12,12,12,12,12,12,12,12,11,11,11,11,11,12,23,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,17,17,17,17,17,17,17,17,16,10,10,16,16,10,0,0
1705682760,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,17,17,17,17,17,17,17,17,18,10,10,15,15,10,0,0
1705682775,17,17,17,17,17,17,17,17,17,17,17,17,17,17,46,16,61,46,16,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,14,14,14,14,14,14,14,14,14,10,10,18,18,10,0,0
1705682790,11,11,11,11,11,11,11,11,11,11,11,11,11,11,23,17,71,53,17,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,17,17,17,17,17,17,17,17,17,10,10,15,15,10,0,0
1705682805,15,15,15,15,15,15,15,15,15,15,15,15,15,15,23,15,56,42,14,14,14,14,14,14,14,14,14,13,13,13,39,39,13,26,13,11,11,11,11,11,11,11,11,11,10,10,16,16,10,0,0
1705682820,17,17,17,17,17,17,17,17,17,17,17,17,17,17,0,12,52,39,13,13,13,13,13,13,13,13,13,14,14,14,42,42,14,28,14,18,18,18,18,18,18,18,18,18,10,10,14,14,10,0,0
1705682835,18,18,18,18,18,18,18,18,18,18,18,18,18,18,23,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,17,17,17,17,17,17,17,17,17,10,10,10,10,10,0,0
1705682850,13,13,13,13,13,13,13,13,13,13,13,13,13,13,0,19,75,57,19,19,19,19,18,18,18,18,18,18,18,18,54,54,18,36,18,18,18,18,18,18,18,18,18,18,10,10,23,23,10,0,0
1705682865,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,12,49,36,12,12,12,12,13,13,13,13,13,13,13,13,39,39,13,26,13,13,13,13,13,13,13,13,13,13,10,10,11,11,10,0,0
1705682880,12,12,12,12,12,12,12,12,12,12,12,12,12,12,23,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,14,14,14,14,14,14,14,14,14,10,10,20,20,10,0,0
1705682895,16,16,16,16,16,16,16,16,16,16,16,16,16,16,0,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,16,16,16,16,16,16,16,16,16,10,10,18,18,10,0,0
1705682910,15,15,15,15,15,15,15,15,15,15,15,15,15,15,23,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,17,17,17,17,17,17,17,17,17,10,10,9,9,10,0,0
1705682925,18,18,18,18,18,18,18,18,18,18,18,18,18,18,0,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,14,14,14,14,14,14,14,14,14,10,10,18,18,10,0,0
1705682940,17,17,17,17,17,17,17,17,17,17,17,17,17,17,46,18,71,54,18,18,18,18,17,17,17,17,17,17,17,17,51,51,17,34,17,17,17,17,17,17,17,17,17,17,10,10,17,17,10,0,0
1705682955,15,15,15,15,15,15,15,15,15,15,15,15,15,15,23,15,61,45,15,15,15,15,16,16,16,16,16,16,16,16,48,48,16,32,16,17,17,17,17,17,17,17,17,17,10,10,15,15,10,0,0
1705682970,13,13,13,13,13,13,13,13,13,13,13,13,13,13,0,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,10,10,10,10,10,10,10,10,10,10,20,20,10,0,0
1705682985,14,14,14,14,14,14,14,14,14,14,14,14,14,14,0,10,40,30,10,10,10,10,10,10,10,10,10,10,10,10,30,30,10,20,10,16,16,16,16,16,16,16,16,16,10,10,15,15,10,0,0
1705683000,22,22,22,22,22,22,22,22,22,22,22,22,22,22,0,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,22,22,22,22,22,22,22,22,22,10,10,10,10,10,0,0
1705683015,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,23,92,69,23,23,23,23,23,23,23,23,23,23,23,23,69,69,23,46,23,8,8,8,8,8,8,8,8,8,10,10,15,15,10,0,0
1705683030,14,14,14,14,14,14,14,14,15,15,15,14,14,14,23,8,32,24,8,8,8,8,8,8,8,8,8,8,8,8,24,24,8,16,8,20,20,20,20,20,20,20,20,20,10,10,21,21,10,0,0
1705683045,20,20,20,20,20,20,20,20,19,19,19,20,20,20,0,17,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,16,16,16,16,16,16,16,16,16,10,10,9,9,10,0,0
1705683060,14,14,14,14,14,14,14,14,14,14,14,14,14,14,0,17,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,15,15,15,15,15,15,15,15,15,10,10,18,18,10,0,0
1705683075,18,18,18,18,18,18,18,18,18,18,18,18,18,18,0,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,12,12,12,12,12,12,12,12,12,10,10,18,18,10,0,0
1705683090,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,20,20,20,20,20,20,20,20,20,10,10,13,13,10,0,0
1705683105,21,21,21,21,21,21,21,21,21,21,21,21,21,21,0,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,16,16,16,16,16,16,16,16,16,10,10,13,13,10,0,0
1705683120,12,12,12,12,12,12,12,12,12,12,12,12,12,12,23,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,12,12,12,12,12,12,12,12,12,10,10,19,19,10,0,0
