time,front-end_1,user_2,front-end_3,front-end_4,front-end_5,front-end_6,front-end_7,front-end_8,front-end_9,catalogue_10,catalogue_11,front-end_12,front-end_13,user_14,front-end_15,front-end_16,user_17,front-end_18,front-end_19,user_20,front-end_21,front-end_22,front-end_23,front-end_24,front-end_25,front-end_26,front-end_27,front-end_28,user_29,user_30,front-end_31,orders_32,catalogue_33,front-end_34,front-end_35,payment_36,orders_37,shipping_38,queue-master_39,queue-master_40,queue-master_41,queue-master_42,queue-master_43,front-end_44,front-end_45,front-end_46,payment_47,user_48,carts_49,user-db_50,carts_51,user_52
1705719600,12,12,12,12,12,12,12,12,12,10,11,11,15,15,15,15,15,15,16,61,15,46,16,16,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,15,10,8,46,0,0,0
1705719615,14,14,14,14,14,14,14,14,14,10,18,18,15,15,15,15,15,15,13,55,15,41,13,13,14,14,15,15,14,14,15,14,15,15,15,14,14,14,14,14,42,42,14,28,14,15,10,10,0,0,0,0
1705719630,19,19,19,19,19,19,19,19,19,10,13,13,14,14,14,14,14,14,16,64,14,48,16,16,16,16,14,14,16,16,14,16,14,14,14,16,16,16,16,16,48,48,16,32,16,14,10,10,23,1,0,0
1705719645,12,12,12,12,12,12,12,12,12,10,14,14,17,17,17,17,17,17,15,60,17,45,15,15,15,15,17,17,15,15,17,15,17,17,17,15,15,15,15,15,45,45,15,30,15,17,10,10,0,0,0,0
1705719660,17,17,17,17,17,17,17,17,17,10,15,15,15,15,15,15,15,15,14,56,15,42,14,14,14,14,15,15,14,14,15,14,15,15,15,14,14,14,14,14,42,42,14,28,14,15,10,10,0,0,0,0
1705719675,11,11,11,11,11,11,11,11,11,10,19,19,13,13,13,13,13,13,16,64,13,48,16,16,16,16,13,13,16,16,13,16,13,13,13,16,16,16,16,16,48,48,16,32,16,13,10,10,0,0,0,0
1705719690,17,17,17,17,17,17,17,17,17,10,11,11,16,16,16,16,16,16,13,52,16,39,13,13,13,13,16,16,13,13,16,13,16,16,16,13,13,13,13,13,39,39,13,26,13,16,10,10,0,0,0,0
1705719705,18,18,18,18,18,18,18,18,18,10,17,17,19,19,19,19,19,19,16,64,19,48,16,16,16,16,19,19,16,16,19,16,19,19,19,16,16,16,16,16,48,48,16,32,16,19,10,10,46,0,0,0
1705719720,18,18,18,18,18,18,18,18,18,10,12,12,13,13,13,13,13,13,21,84,13,63,21,21,21,21,13,13,21,21,13,21,13,13,13,21,21,21,21,21,63,63,21,42,21,13,10,10,0,0,0,0
1705719735,10,10,10,10,10,10,10,10,10,10,21,21,17,17,17,17,17,17,11,44,17,33,11,11,11,11,17,17,11,11,17,11,17,17,17,11,11,11,11,11,33,33,11,22,11,17,10,10,23,0,0,0
1705719750,14,14,14,14,14,14,14,14,14,10,15,15,14,14,14,14,14,14,15,60,13,45,15,15,15,15,13,13,15,15,13,15,13,13,13,15,15,15,15,15,45,45,15,30,15,13,10,10,0,0,0,0
1705719765,21,21,21,21,21,21,21,21,21,10,10,10,19,19,19,19,19,19,15,60,20,45,15,15,15,15,20,20,15,15,20,15,20,20,20,15,15,15,15,15,45,45,15,30,15,20,10,10,0,0,0,0
1705719780,15,15,15,15,15,15,15,15,15,10,19,19,14,14,14,14,14,14,19,76,14,57,19,19,19,19,14,14,19,19,14,19,14,14,14,19,19,19,19,19,57,57,19,38,19,14,10,10,23,0,0,0
1705719795,13,13,13,13,13,13,13,13,13,10,20,20,13,13,13,13,13,13,16,64,13,48,16,16,16,16,13,13,16,16,13,16,13,13,13,16,16,16,16,16,48,48,16,32,16,13,10,10,46,0,0,0
1705719810,15,15,15,15,15,15,15,15,15,10,15,15,15,15,15,15,15,15,14,56,15,42,14,14,14,14,15,15,14,14,15,14,15,15,15,14,14,14,14,14,42,42,14,28,14,15,10,10,0,0,0,0
1705719825,16,16,16,16,16,16,16,16,16,10,14,14,12,12,12,12,12,12,15,60,12,45,15,15,15,15,12,12,15,15,12,15,12,12,12,15,15,15,15,15,45,45,15,30,15,12,10,10,46,0,0,0
1705719840,17,17,17,17,17,17,17,17,17,10,9,9,20,20,20,20,20,20,8,32,20,24,8,8,8,8,20,20,8,8,20,8,20,20,20,8,8,8,8,8,24,24,8,16,8,20,10,10,0,0,0,0
1705719855,13,13,13,13,13,13,13,13,13,10,19,19,13,13,13,13,13,13,25,100,13,75,25,25,25,25,13,13,25,25,13,25,13,13,13,25,25,25,25,25,75,75,25,50,25,13,10,10,23,0,0,0
1705719870,16,16,16,16,16,16,16,16,16,10,15,15,15,15,15,15,15,15,10,40,15,30,10,10,10,10,15,15,10,10,15,10,15,15,15,10,10,10,10,10,30,30,10,20,10,15,10,10,69,0,0,0
1705719885,16,16,16,16,16,16,16,16,16,10,15,15,17,17,17,17,17,17,16,64,17,48,16,16,16,16,17,17,16,16,17,16,17,17,17,16,16,16,16,16,48,48,16,32,16,17,10,10,0,0,0,0
1705719900,16,16,16,16,16,16,16,16,16,10,16,16,15,15,15,15,15,15,15,60,15,45,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,15,10,10,0,0,0,0
1705719915,10,10,10,10,10,10,10,10,10,10,17,17,14,14,14,14,14,14,16,64,14,48,16,16,16,16,14,14,16,16,14,16,14,14,14,16,16,16,16,16,48,48,16,32,16,14,10,10,0,0,0,0
1705719930,21,21,21,21,21,21,21,21,21,10,14,14,16,16,16,16,16,16,14,56,16,42,14,14,14,14,16,16,14,14,16,14,16,16,16,14,14,14,14,14,42,42,14,28,14,16,10,10,23,0,0,0
