time,front-end_1,user_2,front-end_3,front-end_4,user_5,front-end_6,front-end_7,front-end_8,front-end_9,front-end_10,catalogue_11,front-end_12,front-end_13,front-end_14,payment_15,front-end_16,user_17,front-end_18,front-end_19,front-end_20,front-end_21,front-end_22,front-end_23,front-end_24,user_25,front-end_26,user_27,front-end_28,front-end_29,front-end_30,front-end_31,front-end_32,user_33,user_34,orders_35,payment_36,orders_37,shipping_38,queue-master_39,queue-master_40,queue-master_41,queue-master_42,queue-master_43,front-end_44,front-end_45,catalogue_46,front-end_47,catalogue_48,carts_49,user_50,user_51,user_52,user_53,user-db_54,orders_55,orders_56,front-end_57,front-end_58,user_59
1705663485,20,20,20,20,20,20,19,19,19,19,19,19,19,19,8,10,10,10,10,10,10,10,10,10,8,12,47,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,10,10,6,46,1,0,0,0,0,0,0,0,0,0
1705663500,10,10,10,10,10,10,11,11,11,11,11,11,11,11,10,7,7,7,7,7,7,7,7,7,10,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,16,16,10,0,0,0,0,0,0,0,0,0,0,0
1705663515,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,18,18,18,18,18,17,17,17,17,10,10,39,30,10,10,10,10,10,10,10,10,10,10,10,10,30,30,10,20,10,20,20,10,0,0,1,0,0,0,0,0,0,0,0
1705663530,19,19,19,19,19,19,19,19,19,19,19,19,19,19,10,20,20,20,20,20,21,21,21,21,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,9,9,10,0,0,0,0,0,0,0,0,0,0,0
1705663545,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,12,12,12,12,12,12,12,12,12,10,22,88,66,22,22,22,22,22,22,22,22,21,21,21,21,63,63,21,42,21,17,17,10,0,0,0,0,0,0,0,0,0,0,0
1705663560,17,17,17,17,17,17,17,17,17,17,17,17,17,17,10,12,12,12,12,12,12,12,12,12,10,12,48,36,12,12,12,12,12,12,12,12,13,13,13,13,39,39,13,26,13,19,19,10,0,0,0,0,0,0,0,0,0,0,0
1705663575,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,19,19,19,19,19,19,19,19,19,10,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,13,13,10,0,0,0,0,0,0,0,0,0,0,0
1705663590,20,20,20,20,20,20,20,20,20,20,20,20,20,20,10,19,19,19,19,19,19,19,19,19,10,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,13,13,10,23,0,0,0,0,0,0,0,0,0,0
1705663605,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,9,9,9,9,9,9,9,9,9,10,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,17,17,10,0,0,0,0,0,0,0,0,0,0,0
1705663620,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,19,19,19,19,19,19,19,19,19,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,20,20,10,0,0,0,0,0,0,0,0,0,0,0
