POD,NODE_NAME
carts-857fbcbbb6-4rvsg,gke-gke-cluster-ss-default-pool-aa4d7ed2-v826
carts-db-78f897fc-4hlfr,gke-gke-cluster-ss-default-pool-aa4d7ed2-nw9c
catalogue-758f995587-5vkbb,gke-gke-cluster-ss-default-pool-aa4d7ed2-v826
catalogue-db-6f9747847-spdvl,gke-gke-cluster-ss-default-pool-aa4d7ed2-3px7
front-end-5464498b6-gqsh2,gke-gke-cluster-ss-default-pool-aa4d7ed2-3px7
loadgenerator-f4778c654-rp9vc,gke-gke-cluster-ss-default-pool-aa4d7ed2-nw9c
orders-577d7b5ddb-2p294,gke-gke-cluster-ss-default-pool-aa4d7ed2-v826
orders-db-57f49bb4b9-vh7gq,gke-gke-cluster-ss-default-pool-aa4d7ed2-3px7
payment-9f9d4c889-mhr8m,gke-gke-cluster-ss-default-pool-aa4d7ed2-nw9c
queue-master-5c9b4cb4d8-r69d5,gke-gke-cluster-ss-default-pool-aa4d7ed2-3px7
rabbitmq-7f5bd5b8c5-rlcq4,gke-gke-cluster-ss-default-pool-aa4d7ed2-3px7
session-db-c9f48dd44-hbcg9,gke-gke-cluster-ss-default-pool-aa4d7ed2-nw9c
shipping-7cd86dd857-vt46q,gke-gke-cluster-ss-default-pool-aa4d7ed2-nw9c
user-58dd8bdcc9-pg96z,gke-gke-cluster-ss-default-pool-aa4d7ed2-v826
user-db-54568d9849-vctxt,gke-gke-cluster-ss-default-pool-aa4d7ed2-nw9c
