time,front-end_1,user_2,front-end_3,front-end_4,front-end_5,front-end_6,front-end_7,user_8,user_9,orders_10,payment_11,orders_12,shipping_13,queue-master_14,queue-master_15,queue-master_16,queue-master_17,queue-master_18,front-end_19,front-end_20,front-end_21,user_22,front-end_23,front-end_24,user_25,front-end_26,front-end_27,front-end_28,front-end_29,front-end_30,catalogue_31,front-end_32,front-end_33,front-end_34,catalogue_35,front-end_36,catalogue_37,payment_38,front-end_39,user_40,front-end_41,front-end_42,front-end_43,front-end_44,front-end_45,front-end_46,front-end_47,user_48,carts_49,user-db_50,carts_51,user_52,user_53
1705727940,4,16,12,4,4,4,4,4,4,4,4,4,4,4,4,12,12,4,8,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
1705727955,8,32,24,8,8,8,8,8,8,8,8,8,8,8,8,24,24,8,16,8,20,20,20,20,20,20,20,20,20,20,20,20,20,20,10,10,5,5,20,20,20,20,20,20,20,20,20,5,23,0,0,0,0
1705727970,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,18,18,18,18,18,18,18,18,18,18,18,18,18,18,14,14,5,5,14,14,14,14,14,14,14,14,14,5,0,0,0,0,0
1705727985,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,13,13,13,13,13,13,13,13,13,13,13,13,13,13,18,18,5,5,10,10,10,10,10,10,10,10,10,5,0,0,0,0,0
1705728000,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,12,12,9,9,18,18,18,18,18,18,18,18,18,8,46,0,0,0,0
1705728015,13,51,39,13,13,13,13,12,12,12,12,12,12,12,12,36,36,12,24,12,18,18,18,18,18,18,18,18,18,18,18,18,18,17,18,18,10,10,17,17,17,17,17,17,17,17,17,10,23,0,0,0,0
1705728030,18,73,54,18,18,18,18,19,19,19,19,19,19,19,19,57,57,19,38,19,18,18,18,18,18,18,18,18,18,18,18,18,18,19,13,13,10,10,13,13,13,13,13,13,13,13,13,10,0,1,0,0,0
1705728045,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,13,13,13,13,13,13,13,13,13,13,13,13,13,13,18,18,10,10,21,21,21,21,21,21,21,21,21,10,0,0,0,0,0
1705728060,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,13,13,13,13,13,13,13,13,13,13,13,13,13,13,17,17,10,10,13,13,13,13,13,13,13,13,13,10,0,0,0,0,0
1705728075,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,19,19,19,19,19,19,19,19,19,19,19,19,19,19,16,16,10,10,20,20,20,20,20,20,20,20,20,10,23,1,0,0,0
1705728090,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,20,20,20,20,20,20,20,20,20,20,20,20,20,20,12,12,10,10,12,12,12,12,12,12,12,12,12,10,23,0,0,0,0
1705728105,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,11,11,11,11,11,11,11,11,11,11,11,11,11,11,22,22,10,10,13,13,13,13,13,13,13,13,13,10,23,0,0,0,0
1705728120,12,48,36,12,12,12,12,12,12,12,12,12,11,11,11,33,33,11,22,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,13,10,10,17,17,17,17,17,17,17,17,17,10,0,0,0,0,0
1705728135,11,44,33,11,11,11,11,11,11,11,11,11,12,12,12,36,36,12,24,12,21,21,21,21,21,21,21,21,21,21,21,21,21,21,11,11,10,10,19,19,19,19,19,19,19,19,19,10,0,0,0,0,0
1705728150,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,17,17,17,17,17,17,17,17,17,17,17,17,17,17,14,14,10,10,13,13,13,13,13,13,13,13,13,10,0,0,0,0,0
1705728165,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,15,15,15,15,15,15,15,15,15,15,15,15,15,15,25,25,10,10,15,15,15,15,15,15,15,15,15,10,0,0,0,0,0
1705728180,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,11,11,11,11,11,11,11,11,11,11,11,11,11,11,13,13,10,10,12,12,12,12,12,12,12,12,12,10,0,0,0,0,0
1705728195,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,20,20,20,20,20,20,20,20,20,20,20,20,20,20,12,12,10,10,18,18,18,18,18,18,18,18,18,10,0,0,0,0,0
1705728210,18,72,54,18,18,18,18,18,18,18,18,17,17,17,17,51,51,17,34,17,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,10,18,18,18,18,18,18,18,18,18,10,0,0,0,0,0
1705728225,15,60,45,15,15,15,15,15,15,15,15,16,16,16,16,48,48,16,32,16,14,14,14,14,14,14,14,14,14,14,14,14,14,14,17,17,10,10,14,14,14,14,14,14,14,14,14,10,0,0,0,0,0
1705728240,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,18,18,18,18,18,18,18,18,18,18,18,18,18,17,14,14,10,10,16,16,16,16,16,16,16,16,16,10,0,0,0,0,0
1705728255,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,11,11,11,11,11,11,11,11,11,11,11,11,11,12,18,18,10,10,11,11,11,11,11,11,11,11,11,10,0,0,0,0,0
1705728270,10,40,30,10,10,10,10,10,10,10,10,10,10,10,10,30,30,10,20,10,21,21,21,21,21,21,21,21,21,21,21,21,21,21,16,16,10,10,23,23,23,23,23,23,23,23,23,10,0,0,0,0,0
1705728285,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,16,16,16,16,16,16,16,16,16,16,16,16,16,16,11,11,10,10,15,15,15,15,15,15,15,15,15,10,0,0,0,0,0
1705728300,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,13,13,13,12,12,12,12,12,12,12,12,12,12,12,21,21,10,10,17,17,17,17,17,17,17,17,17,10,0,0,0,0,0
