time,front-end_1,user_2,front-end_3,front-end_4,front-end_5,front-end_6,front-end_7,front-end_8,front-end_9,front-end_10,user_11,front-end_12,front-end_13,user_14,front-end_15,front-end_16,front-end_17,front-end_18,front-end_19,front-end_20,user_21,user_22,user-db_23,orders_24,user_25,front-end_26,payment_27,orders_28,shipping_29,queue-master_30,queue-master_31,queue-master_32,queue-master_33,queue-master_34,front-end_35,front-end_36,user_37,front-end_38,front-end_39,front-end_40,front-end_41,catalogue_42,front-end_43,front-end_44,front-end_45,catalogue_46,front-end_47,carts_48,catalogue_49,payment_50,carts_51,user_52
1705844850,7,7,7,7,7,7,7,7,7,4,4,4,13,52,39,13,13,13,13,4,13,13,2,13,4,4,13,13,13,13,13,39,39,13,26,13,3,4,4,4,4,4,4,4,4,11,11,23,2,2,0,0
1705844865,12,12,12,12,12,12,12,12,12,11,11,11,14,56,42,14,14,14,14,11,14,14,0,14,11,11,14,14,14,14,14,42,42,14,28,14,5,11,11,11,11,11,11,11,11,20,20,23,5,5,0,0
1705844880,19,19,19,19,19,19,19,19,19,15,15,15,11,44,33,11,11,11,11,15,11,11,0,11,15,15,11,11,11,11,11,33,33,11,22,11,5,15,15,15,15,15,15,15,15,13,13,0,5,5,0,0
1705844895,18,18,18,18,18,18,18,18,18,17,17,17,16,64,48,16,16,16,16,17,16,16,0,16,17,17,16,16,16,16,16,48,48,16,32,16,5,17,17,17,17,17,17,17,17,12,12,46,5,5,0,0
1705844910,10,10,10,10,10,10,10,10,10,15,15,15,16,64,48,16,16,16,16,15,16,16,0,16,15,15,16,16,16,16,16,48,48,16,32,16,5,15,15,15,15,15,15,15,15,16,16,0,5,5,1,0
1705844925,20,20,20,20,20,20,20,20,20,15,15,15,17,68,51,17,17,17,17,15,17,17,0,17,15,15,17,17,17,17,17,51,51,17,34,17,6,15,15,15,15,15,15,15,15,17,17,0,7,7,0,0
1705844940,15,15,15,15,15,15,15,15,15,20,20,20,15,60,45,15,15,15,15,20,15,15,0,15,20,20,15,15,15,15,15,45,45,15,30,15,10,20,20,20,20,20,20,20,20,16,16,0,10,10,0,0
1705844955,14,14,14,14,14,14,14,14,14,15,15,15,19,76,57,19,19,19,19,15,19,19,0,19,15,15,19,19,19,19,19,57,57,19,38,19,10,15,15,15,15,15,15,15,15,17,17,46,10,10,0,0
1705844970,18,18,18,18,18,18,18,18,18,15,15,15,17,68,51,17,17,17,17,15,17,17,0,17,14,14,17,17,17,17,17,51,51,17,34,17,10,14,14,14,14,14,14,14,14,18,18,46,10,10,0,0
1705844985,14,14,14,14,14,14,14,14,14,15,15,15,10,40,30,10,10,10,10,15,10,10,0,10,16,16,10,10,10,10,10,30,30,10,20,10,10,16,16,16,16,16,16,16,16,12,12,0,10,10,0,0
1705845000,20,20,20,20,20,20,20,20,20,14,14,14,18,72,54,18,18,18,18,14,18,18,0,18,14,14,18,18,18,18,18,54,54,18,36,18,10,13,13,13,13,13,13,13,13,13,13,23,10,10,0,0
1705845015,11,11,11,11,11,11,11,11,11,22,22,22,14,56,42,14,14,14,14,22,14,14,0,14,22,22,14,14,14,14,14,42,42,14,28,14,10,23,23,23,23,23,23,23,23,21,21,0,10,10,0,0
