POD,NODE_NAME
carts-795df7fd79-r4vhb,gke-gke-cluster-ss-default-pool-aa4d7ed2-3f03
carts-db-5d88c7dddc-8ghtj,gke-gke-cluster-ss-default-pool-aa4d7ed2-2z27
catalogue-6999fd64d9-twj29,gke-gke-cluster-ss-default-pool-aa4d7ed2-z6rf
catalogue-db-554cbfd749-lqzxf,gke-gke-cluster-ss-default-pool-aa4d7ed2-3f03
front-end-75b898f665-jddv5,gke-gke-cluster-ss-default-pool-aa4d7ed2-2z27
loadgenerator-564d55cfcb-s9h82,gke-gke-cluster-ss-default-pool-aa4d7ed2-2z27
orders-688f957476-tdrwl,gke-gke-cluster-ss-default-pool-aa4d7ed2-3f03
orders-db-7c75b66575-2q5qd,gke-gke-cluster-ss-default-pool-aa4d7ed2-z6rf
payment-766c44b5dc-mgnwx,gke-gke-cluster-ss-default-pool-aa4d7ed2-3f03
queue-master-5f47847cd-grc75,gke-gke-cluster-ss-default-pool-aa4d7ed2-2z27
rabbitmq-5dcbdd5997-zbxzf,gke-gke-cluster-ss-default-pool-aa4d7ed2-z6rf
session-db-6f9cdc9746-67znm,gke-gke-cluster-ss-default-pool-aa4d7ed2-3f03
shipping-6d4449fd75-gzfxs,gke-gke-cluster-ss-default-pool-aa4d7ed2-3f03
user-77c9d4d7cf-xb5cb,gke-gke-cluster-ss-default-pool-aa4d7ed2-z6rf
user-db-57c446cdbc-x9cc6,gke-gke-cluster-ss-default-pool-aa4d7ed2-z6rf
