time,catalogue_1,front-end_2,front-end_3,user_4,front-end_5,front-end_6,front-end_7,front-end_8,front-end_9,user_10,user_11,orders_12,payment_13,orders_14,shipping_15,queue-master_16,queue-master_17,queue-master_18,queue-master_19,queue-master_20,front-end_21,front-end_22,front-end_23,user_24,front-end_25,front-end_26,front-end_27,front-end_28,front-end_29,front-end_30,front-end_31,catalogue_32,payment_33,front-end_34,user_35,front-end_36,front-end_37,user_38,front-end_39,front-end_40,front-end_41,front-end_42,front-end_43,catalogue_44,front-end_45,front-end_46,front-end_47,user_48,carts_49,user_50
1705679145,4,4,4,16,12,4,4,4,4,4,4,4,4,4,4,4,4,12,12,4,8,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0
1705679160,19,19,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,15,15,15,15,15,15,15,15,15,10,10,16,16,16,16,16,16,16,16,16,16,16,16,16,16,10,0,0
1705679175,11,11,21,84,63,21,21,21,21,21,21,21,21,21,21,21,21,63,63,21,42,21,17,17,17,17,17,17,17,17,17,10,10,19,19,19,19,19,19,19,19,19,19,19,19,19,19,10,0,0
1705679190,18,18,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,17,17,17,17,17,17,17,17,17,10,10,13,13,13,13,13,13,13,13,13,13,13,13,13,13,10,0,0
1705679205,16,16,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,12,12,12,12,12,12,12,12,12,10,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,10,0,0
1705679220,15,15,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,13,13,13,13,13,13,13,13,13,10,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,0,0
1705679235,12,12,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,20,20,20,20,20,20,20,20,20,10,10,18,18,18,18,18,18,18,18,18,18,18,18,18,17,10,0,0
1705679250,14,14,21,84,63,21,21,21,21,21,21,21,21,21,21,21,21,63,63,21,42,21,11,11,11,11,11,11,11,11,11,10,10,13,13,13,13,13,13,13,13,13,13,13,13,13,14,10,23,0
1705679265,18,18,9,36,27,9,9,9,9,9,9,9,9,9,9,9,9,27,27,9,18,9,17,17,17,17,17,17,17,17,17,10,10,13,13,13,13,13,13,13,13,13,13,13,13,13,13,10,23,0
1705679280,10,10,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,15,15,15,15,15,15,15,15,15,10,10,18,18,18,18,18,18,18,18,18,18,18,18,18,18,10,69,0
1705679295,19,19,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,11,11,11,11,11,11,11,11,11,10,10,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,0,0
1705679310,16,16,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,19,19,19,19,19,19,19,19,19,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,0,0
1705679325,13,13,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,16,16,16,16,16,16,16,16,16,10,10,22,22,22,22,22,22,22,22,22,22,22,22,22,22,10,23,0
1705679340,17,17,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,18,18,18,18,18,18,18,18,18,10,10,14,14,14,14,14,14,13,13,13,13,13,13,13,13,10,0,0
1705679355,16,16,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,9,9,9,9,9,9,9,9,9,10,10,15,15,15,15,15,15,16,16,16,16,16,16,16,16,10,0,0
1705679370,17,17,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,17,17,17,17,17,17,17,17,17,10,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,0,0
1705679385,13,13,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,21,21,21,21,21,21,21,21,21,10,10,18,18,18,18,18,18,18,18,18,18,18,18,18,18,10,23,0
