time,front-end_1,user_2,front-end_3,front-end_4,user_5,front-end_6,front-end_7,front-end_8,front-end_9,front-end_10,catalogue_11,front-end_12,front-end_13,front-end_14,catalogue_15,front-end_16,catalogue_17,front-end_18,user_19,front-end_20,front-end_21,front-end_22,front-end_23,front-end_24,front-end_25,front-end_26,payment_27,user_28,front-end_29,user_30,front-end_31,front-end_32,front-end_33,front-end_34,front-end_35,user_36,user_37,orders_38,payment_39,orders_40,shipping_41,queue-master_42,queue-master_43,queue-master_44,queue-master_45,queue-master_46,front-end_47,front-end_48,carts_49,user-db_50,user_51
1705681005,11,11,11,11,11,11,11,11,11,11,11,11,11,11,4,4,3,9,9,9,9,9,9,9,9,9,3,3,7,28,21,7,7,7,7,7,7,7,7,7,7,7,7,21,21,7,14,7,0,0,0
1705681020,18,18,18,18,18,18,18,18,18,18,18,18,18,18,19,19,5,10,10,10,10,10,10,10,10,10,5,5,22,88,66,22,22,22,22,22,22,22,22,22,22,22,22,66,66,22,44,22,46,0,0
1705681035,12,12,12,12,12,12,12,12,12,12,11,11,11,11,19,19,5,20,20,20,20,20,20,20,20,20,5,5,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,23,0,0
1705681050,18,18,18,18,18,18,18,18,18,18,19,19,19,19,12,12,7,15,15,15,15,15,15,15,15,15,7,7,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,0,0,0
1705681065,18,18,18,18,18,18,17,17,17,17,17,17,17,17,15,15,10,15,15,15,15,15,15,15,15,15,10,10,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,0,0,0
1705681080,11,11,11,11,11,11,12,12,12,12,12,12,12,12,19,19,10,14,14,14,14,14,14,14,14,14,10,10,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,23,1,0
1705681095,15,15,15,15,15,15,15,15,15,15,15,15,15,15,11,11,10,18,18,18,18,18,18,18,18,18,10,10,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,0,0,0
1705681110,16,16,16,16,16,16,16,16,16,16,16,16,16,16,15,15,10,16,16,16,16,16,16,16,16,16,10,10,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,0,0,0
1705681125,17,17,17,17,17,17,17,17,17,17,17,17,17,17,15,15,10,11,11,11,11,11,11,11,11,11,10,10,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,0,0,0
1705681140,13,13,13,13,13,13,13,13,13,13,13,13,13,13,17,17,10,17,17,17,17,17,17,17,17,17,10,10,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,0,0,0
