time,user_1,payment_2,front-end_3,front-end_4,front-end_5,user_6,user_7,catalogue_8,front-end_9,orders_10,front-end_11,front-end_12,front-end_13,front-end_14,payment_15,orders_16,shipping_17,queue-master_18,queue-master_19,queue-master_20,queue-master_21,queue-master_22,front-end_23,front-end_24,user_25,front-end_26,front-end_27,front-end_28,front-end_29,user_30,front-end_31,front-end_32,front-end_33,front-end_34,user_35,front-end_36,front-end_37,user_38,front-end_39,front-end_40,front-end_41,front-end_42,front-end_43,catalogue_44,front-end_45,front-end_46,front-end_47,catalogue_48,carts_49,carts_50,user_51
1705632210,43,6,32,11,11,11,11,7,7,10,5,5,5,5,10,10,10,10,10,30,30,10,20,10,6,10,10,10,4,4,4,4,4,9,9,9,9,9,9,9,9,9,9,9,9,9,9,4,0,0,0
1705632225,56,10,42,14,14,14,14,17,17,15,17,17,17,17,15,15,15,15,15,45,45,15,30,15,10,14,14,14,17,17,17,17,17,13,13,13,13,13,13,13,13,13,13,13,13,13,12,10,46,0,0
1705632240,64,10,48,16,16,16,16,14,14,16,11,11,11,11,16,16,16,16,16,48,48,16,32,16,10,16,16,16,11,11,11,11,11,13,13,13,13,13,13,13,13,13,13,13,13,13,12,10,23,0,0
1705632255,44,10,33,11,11,11,11,11,11,11,22,22,22,22,11,11,11,11,11,33,33,11,22,11,10,11,11,11,23,23,23,23,23,17,17,17,17,17,17,17,16,16,16,16,16,16,14,10,0,5,0
1705632270,68,10,51,17,17,17,17,15,15,17,10,10,10,10,16,16,16,16,16,48,48,16,32,16,10,17,17,17,9,9,9,9,9,17,17,17,17,16,16,16,17,17,17,17,17,17,21,10,0,0,0
1705632285,68,10,51,17,17,17,17,16,16,17,12,12,12,12,18,18,18,18,18,54,54,18,36,18,10,17,17,17,13,13,13,13,13,8,8,8,8,9,9,9,9,9,9,9,9,9,9,10,0,0,0
1705632300,36,10,27,9,9,9,9,16,16,9,17,17,17,17,9,9,9,9,9,27,27,9,18,9,10,9,9,9,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,15,15,15,15,10,23,0,0
1705632315,68,10,51,17,17,17,17,8,8,16,18,18,18,18,16,16,16,16,16,48,48,16,32,16,10,17,17,17,20,20,20,20,20,20,20,20,20,20,20,20,17,17,17,18,18,18,16,10,0,0,0
1705632330,60,10,45,15,15,15,15,19,19,16,13,13,13,13,16,16,15,15,15,45,45,15,30,15,10,15,15,15,11,11,11,11,11,12,12,12,12,12,12,12,15,15,15,15,15,15,17,10,0,1,0
1705632345,68,10,51,17,17,17,17,17,17,17,17,17,17,17,17,17,18,18,18,54,54,18,36,18,10,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,16,10,0,0,0
1705632360,72,10,54,18,18,18,18,17,17,18,12,12,12,12,17,17,17,17,17,51,51,17,34,17,10,18,18,18,12,12,12,12,12,14,14,14,14,14,14,14,14,14,14,14,14,14,15,10,0,0,0
1705632375,60,10,45,15,15,15,15,14,14,14,18,18,18,18,15,15,15,15,15,45,45,15,30,15,10,15,15,15,18,18,18,18,18,10,10,10,10,10,10,9,9,9,9,9,9,9,8,10,23,0,0
1705632390,20,10,15,5,5,5,5,13,13,6,12,12,12,12,6,6,6,6,6,18,18,6,12,6,10,5,5,5,12,12,12,12,12,17,17,17,17,17,17,18,18,18,18,18,18,18,19,10,23,0,0
1705632405,76,10,57,19,19,19,19,12,12,19,17,17,17,17,19,19,19,19,19,57,57,19,38,19,10,19,19,19,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,10,23,0,0
1705632420,64,10,48,16,16,16,16,19,19,16,14,14,14,14,16,16,16,16,16,48,48,16,32,16,10,16,16,16,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,0,0,0
1705632435,64,10,48,16,16,16,16,13,13,16,15,15,15,15,16,16,16,16,16,48,48,16,32,16,10,16,16,16,15,15,15,15,15,17,17,17,17,17,17,17,16,16,16,16,16,16,15,10,0,0,0
