time,front-end_1,user_2,front-end_3,front-end_4,front-end_5,front-end_6,front-end_7,front-end_8,front-end_9,front-end_10,user_11,front-end_12,front-end_13,front-end_14,front-end_15,front-end_16,user_17,user_18,orders_19,payment_20,orders_21,shipping_22,queue-master_23,queue-master_24,queue-master_25,queue-master_26,queue-master_27,front-end_28,front-end_29,catalogue_30,payment_31,catalogue_32,front-end_33,user_34,carts_35,front-end_36,user_37,front-end_38,front-end_39,user_40,front-end_41,front-end_42,front-end_43,front-end_44,front-end_45,catalogue_46,front-end_47,front-end_48,front-end_49,orders-db_50,user_51
1705721205,10,10,10,10,10,10,10,10,10,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,8,8,9,9,6,23,12,12,12,12,12,12,11,11,11,11,11,11,11,11,0,0
1705721220,16,16,16,16,16,16,16,16,16,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,10,14,14,10,46,15,15,15,15,15,15,16,16,16,16,16,16,16,16,0,0
1705721235,16,16,16,16,16,16,16,16,16,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,10,15,15,10,0,8,7,7,7,7,7,6,6,6,6,6,6,6,6,0,0
1705721250,18,18,18,18,18,18,18,18,18,5,20,15,5,5,5,5,5,5,5,5,5,5,5,5,15,15,5,10,5,10,10,16,16,10,46,23,24,24,24,24,24,25,25,25,25,25,25,25,25,0,0
1705721265,12,12,12,12,12,12,12,12,12,25,100,75,25,25,25,25,25,25,25,25,25,25,25,25,75,75,25,50,25,10,10,15,15,10,23,14,14,14,14,14,14,14,14,14,14,14,14,14,14,0,0
1705721280,19,19,19,19,19,19,19,19,19,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,10,19,19,10,46,11,11,11,11,11,11,11,11,11,11,11,11,11,11,0,0
1705721295,18,18,18,18,18,18,18,18,18,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,10,11,11,10,0,24,24,24,24,24,24,24,24,24,24,24,24,24,24,0,0
1705721310,12,12,12,12,12,12,12,12,12,21,84,63,21,21,21,21,21,21,21,21,21,21,21,21,63,63,21,42,21,10,10,17,17,10,0,11,11,11,11,11,11,11,11,11,11,11,11,11,11,0,0
1705721325,14,14,14,14,14,14,14,14,14,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,10,10,21,21,10,0,13,13,13,13,13,13,13,13,13,13,13,13,13,13,0,0
1705721340,12,12,12,12,12,12,12,12,12,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,10,10,10,10,10,0,13,13,13,13,13,13,13,13,13,13,13,13,13,12,0,0
1705721355,20,20,20,20,20,20,20,20,20,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,10,10,14,14,10,23,24,24,24,24,24,24,24,24,24,24,24,24,24,25,0,0
1705721370,12,12,12,12,12,12,12,12,12,25,100,75,25,25,25,25,25,25,25,25,25,24,24,24,72,72,24,48,24,10,10,12,12,10,0,12,12,12,12,12,12,12,12,12,12,12,12,12,12,0,0
1705721385,16,16,16,16,16,16,16,16,16,13,52,39,13,13,13,13,13,13,13,13,13,14,14,14,42,42,14,28,14,10,10,25,25,10,23,13,13,13,13,13,13,13,13,13,13,13,13,13,13,0,0
1705721400,18,18,18,18,18,18,18,18,18,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,10,10,11,11,10,23,16,16,16,16,16,16,16,16,16,16,16,16,16,16,0,0
1705721415,16,16,16,16,16,16,16,16,16,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,10,10,13,13,10,23,18,18,18,18,18,18,18,18,18,18,18,18,18,18,0,0
1705721430,14,14,14,14,14,14,14,14,14,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,10,19,19,10,23,14,14,14,14,14,14,14,14,14,14,14,14,14,14,0,0
1705721445,16,16,16,16,16,16,16,16,16,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,10,15,15,10,23,15,15,15,15,15,15,15,15,15,15,15,15,15,15,0,0
1705721460,20,20,20,20,20,20,20,20,20,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,10,15,15,10,23,18,18,18,18,18,18,18,18,18,18,18,18,18,18,0,0
1705721475,13,13,13,13,13,13,13,13,13,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,10,10,14,14,10,46,16,16,16,16,16,16,16,16,16,16,16,16,16,16,0,0
1705721490,14,14,14,14,14,14,14,14,14,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,10,19,19,10,0,13,13,13,13,13,13,13,13,13,13,13,13,13,13,0,0
1705721505,16,16,16,16,16,16,16,16,16,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,10,14,14,10,0,16,16,16,16,16,16,16,16,16,16,16,16,16,16,0,0
1705721520,13,13,13,13,13,13,13,13,13,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,10,15,15,10,0,17,17,17,17,17,17,17,17,17,17,17,17,17,17,0,0
1705721535,18,18,18,18,18,18,18,18,18,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,10,18,18,10,23,13,13,13,13,13,13,13,13,13,13,13,13,13,13,0,0
1705721550,18,18,18,18,18,18,18,18,18,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,10,11,11,10,46,21,21,21,21,21,21,21,21,21,21,21,21,21,21,0,0
1705721565,13,13,13,13,13,13,13,13,13,21,84,63,21,21,21,21,21,21,21,21,21,21,21,21,63,63,21,42,21,10,10,18,18,10,23,11,11,11,11,11,11,10,10,10,10,10,10,10,10,0,0
1705721580,14,14,14,14,14,14,14,14,14,9,36,27,9,9,9,9,9,9,9,9,9,9,9,9,27,27,9,18,9,10,10,20,20,10,0,14,14,14,14,14,14,15,15,15,15,15,15,15,15,0,0
1705721595,17,17,17,17,17,17,17,17,17,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,10,10,8,8,10,0,19,19,19,19,19,19,19,19,19,19,19,19,19,19,0,0
