POD,NODE_NAME
carts-795df7fd79-9fmcc,gke-gke-cluster-ss-default-pool-aa4d7ed2-fayo
carts-db-5d88c7dddc-vxpgt,gke-gke-cluster-ss-default-pool-aa4d7ed2-9gn2
catalogue-6999fd64d9-mcpzb,gke-gke-cluster-ss-default-pool-aa4d7ed2-fayo
catalogue-db-554cbfd749-w5vkg,gke-gke-cluster-ss-default-pool-aa4d7ed2-9gn2
front-end-75b898f665-gznr2,gke-gke-cluster-ss-default-pool-aa4d7ed2-vh5c
loadgenerator-564d55cfcb-kqjb8,gke-gke-cluster-ss-default-pool-aa4d7ed2-9gn2
orders-688f957476-fgzn2,gke-gke-cluster-ss-default-pool-aa4d7ed2-9gn2
orders-db-7c75b66575-8bx4j,gke-gke-cluster-ss-default-pool-aa4d7ed2-9gn2
payment-766c44b5dc-l7kzl,gke-gke-cluster-ss-default-pool-aa4d7ed2-fayo
queue-master-5f47847cd-6plbl,gke-gke-cluster-ss-default-pool-aa4d7ed2-fayo
rabbitmq-5dcbdd5997-ps77b,gke-gke-cluster-ss-default-pool-aa4d7ed2-vh5c
session-db-6f9cdc9746-f4vvc,gke-gke-cluster-ss-default-pool-aa4d7ed2-9gn2
shipping-6d4449fd75-2wqpc,gke-gke-cluster-ss-default-pool-aa4d7ed2-vh5c
user-77c9d4d7cf-lz5d7,gke-gke-cluster-ss-default-pool-aa4d7ed2-9gn2
user-db-57c446cdbc-g2xz9,gke-gke-cluster-ss-default-pool-aa4d7ed2-9gn2
