POD,NODE_NAME
carts-795df7fd79-g7zhj,gke-gke-cluster-ss-default-pool-aa4d7ed2-9gn2
carts-db-5d88c7dddc-dxbkx,gke-gke-cluster-ss-default-pool-aa4d7ed2-fayo
catalogue-6999fd64d9-ncwxj,gke-gke-cluster-ss-default-pool-aa4d7ed2-9gn2
catalogue-db-554cbfd749-fcqcx,gke-gke-cluster-ss-default-pool-aa4d7ed2-vh5c
front-end-75b898f665-chwxz,gke-gke-cluster-ss-default-pool-aa4d7ed2-vh5c
loadgenerator-564d55cfcb-bsh64,gke-gke-cluster-ss-default-pool-aa4d7ed2-9gn2
orders-688f957476-hprxt,gke-gke-cluster-ss-default-pool-aa4d7ed2-9gn2
orders-db-7c75b66575-f5sb8,gke-gke-cluster-ss-default-pool-aa4d7ed2-fayo
payment-766c44b5dc-ms8fb,gke-gke-cluster-ss-default-pool-aa4d7ed2-fayo
queue-master-5f47847cd-4wbwd,gke-gke-cluster-ss-default-pool-aa4d7ed2-fayo
rabbitmq-5dcbdd5997-tmf7n,gke-gke-cluster-ss-default-pool-aa4d7ed2-vh5c
session-db-6f9cdc9746-zkkf8,gke-gke-cluster-ss-default-pool-aa4d7ed2-9gn2
shipping-6d4449fd75-9cnjw,gke-gke-cluster-ss-default-pool-aa4d7ed2-vh5c
user-77c9d4d7cf-vp6jz,gke-gke-cluster-ss-default-pool-aa4d7ed2-9gn2
user-db-57c446cdbc-tx5jn,gke-gke-cluster-ss-default-pool-aa4d7ed2-9gn2
