time,catalogue_1,catalogue_2,front-end_3,front-end_4,user_5,front-end_6,front-end_7,front-end_8,front-end_9,front-end_10,user_11,user_12,orders_13,payment_14,orders_15,shipping_16,queue-master_17,queue-master_18,queue-master_19,queue-master_20,front-end_21,queue-master_22,front-end_23,payment_24,user_25,front-end_26,user_27,front-end_28,front-end_29,front-end_30,front-end_31,front-end_32,front-end_33,front-end_34,front-end_35,user_36,front-end_37,front-end_38,user_39,front-end_40,front-end_41,front-end_42,front-end_43,front-end_44,catalogue_45,front-end_46,front-end_47,front-end_48,carts_49
1705698615,6,8,8,6,24,18,6,6,6,6,6,6,6,6,6,6,6,6,18,18,12,6,6,6,6,12,12,12,12,12,12,12,12,12,5,5,5,5,5,5,5,5,5,5,5,5,5,5,23
1705698630,10,14,14,10,40,30,10,10,10,10,10,10,10,10,10,10,10,10,30,30,20,10,10,10,10,17,17,17,17,17,17,17,17,17,22,22,22,22,22,22,22,21,21,21,21,21,21,21,23
1705698645,10,14,14,22,88,66,22,22,22,22,22,22,22,22,22,22,22,22,66,66,44,22,22,10,10,14,14,14,14,14,14,14,14,14,12,12,12,12,12,12,12,13,13,13,13,13,13,13,0
1705698660,10,16,16,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,24,12,12,10,10,14,14,14,14,14,14,14,14,14,18,18,18,18,18,18,18,18,18,18,18,18,18,17,0
1705698675,10,13,13,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,32,16,16,10,10,17,17,17,17,17,17,17,17,17,14,14,14,14,14,14,14,14,14,14,14,14,14,15,0
1705698690,10,18,18,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,40,20,20,10,10,21,21,21,21,21,21,21,21,21,17,17,17,17,17,17,17,17,17,17,17,17,17,17,23
1705698705,10,18,18,15,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,28,14,14,10,10,16,16,16,16,16,16,16,16,16,18,18,18,18,18,18,18,18,18,18,18,18,18,18,0
1705698720,10,17,17,19,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,40,20,20,10,10,10,10,10,10,10,10,10,10,10,13,13,13,13,13,13,13,13,13,13,13,13,13,13,0
1705698735,10,17,17,14,53,40,14,14,13,13,13,13,13,13,13,13,13,13,39,39,26,13,13,10,10,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,46
1705698750,10,14,14,13,55,41,13,13,14,14,14,14,14,14,14,14,14,14,42,42,28,14,14,10,10,18,18,18,18,18,18,18,18,18,16,16,16,16,16,16,16,16,16,16,16,16,16,16,0
1705698765,10,16,16,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,28,14,14,10,10,19,19,19,19,19,19,19,19,19,17,17,17,17,17,17,17,17,17,17,17,17,17,17,23
1705698780,10,14,14,22,88,66,22,22,22,22,22,22,22,22,22,22,22,22,66,66,44,22,22,10,10,10,10,10,10,10,10,10,10,10,17,17,17,17,17,17,16,16,16,16,16,16,16,16,0
