time,payment_1,orders_2,payment_3,orders_4,shipping_5,queue-master_6,queue-master_7,queue-master_8,queue-master_9,queue-master_10,front-end_11,front-end_12,catalogue_13,front-end_14,front-end_15,user_16,front-end_17,front-end_18,front-end_19,front-end_20,front-end_21,front-end_22,front-end_23,front-end_24,front-end_25,user_26,front-end_27,front-end_28,user_29,front-end_30,front-end_31,front-end_32,front-end_33,catalogue_34,front-end_35,front-end_36,front-end_37,user_38,front-end_39,user_40,front-end_41,front-end_42,front-end_43,front-end_44,front-end_45,user_46,user_47,catalogue_48,carts_49,user-db_50,user_51
1705639410,8,14,14,14,14,14,14,42,42,14,28,14,16,16,8,8,8,8,8,9,9,9,9,10,7,7,7,7,7,7,8,8,8,8,8,8,7,8,13,52,39,13,13,13,13,13,13,6,0,0,0
1705639425,10,12,12,12,12,12,12,36,36,12,24,12,17,17,12,12,12,12,12,11,11,11,11,8,12,12,12,12,12,12,11,11,11,11,11,11,12,10,13,52,39,13,13,13,13,13,13,10,0,0,0
1705639440,10,10,10,10,10,10,10,30,30,10,20,10,11,11,19,19,19,19,19,18,18,18,18,14,16,16,16,16,16,16,15,15,15,15,15,15,16,10,10,40,30,10,10,10,10,10,10,10,23,0,0
1705639455,10,14,14,14,14,14,14,42,42,14,28,14,11,11,14,14,14,14,14,16,16,16,16,21,16,16,16,16,16,16,18,18,18,18,18,18,16,10,13,52,39,13,13,13,13,13,13,10,46,0,0
1705639470,10,20,20,20,20,20,20,60,60,20,40,20,15,15,14,14,14,14,14,15,15,15,15,12,11,11,11,11,11,11,11,11,11,11,11,11,11,10,20,80,60,20,20,20,20,20,20,10,0,1,0
1705639485,10,12,12,12,12,12,12,36,36,12,24,12,15,15,13,13,13,13,13,13,13,13,13,17,17,17,17,17,17,17,17,17,17,17,17,17,17,10,12,48,36,12,12,12,12,12,12,10,23,0,0
1705639500,10,14,14,14,14,14,14,42,42,14,28,14,13,13,15,15,15,15,15,14,14,14,14,12,15,15,15,15,15,15,14,14,14,14,14,14,15,10,14,56,42,14,14,14,14,14,14,10,23,0,0
1705639515,10,20,20,20,20,20,20,60,60,20,40,20,18,18,14,14,14,14,14,15,15,15,15,14,11,11,11,11,11,11,12,12,12,12,12,12,11,10,20,80,60,20,20,20,20,20,20,10,23,0,0
1705639530,10,8,8,8,8,8,8,24,24,8,16,8,19,19,16,16,16,16,16,15,15,15,15,14,19,19,19,19,19,19,17,17,17,17,17,17,19,10,8,32,24,8,8,8,8,8,8,10,0,0,0
1705639545,10,18,18,18,18,18,18,54,54,18,36,18,7,7,14,14,14,14,14,14,14,14,14,16,12,12,12,12,12,12,13,13,13,13,13,13,12,10,18,72,54,18,18,18,18,18,18,10,0,0,0
1705639560,10,16,16,16,16,16,16,48,48,16,32,16,19,19,12,12,12,12,12,13,13,13,13,12,11,11,11,11,11,11,12,12,12,12,12,12,11,10,16,64,48,16,16,16,16,16,16,10,0,0,0
1705639575,10,9,9,9,9,9,9,27,27,9,18,9,13,13,18,18,18,18,18,17,17,17,17,15,20,20,20,20,20,20,18,18,18,18,18,18,20,10,10,40,30,10,10,10,10,10,10,10,46,0,0
1705639590,10,15,15,15,15,15,15,45,45,15,30,15,13,13,15,15,15,15,15,16,16,16,16,19,15,15,15,15,15,15,16,16,16,16,16,16,15,10,14,56,42,14,14,14,14,14,14,10,0,0,0
1705639605,10,19,19,19,19,19,19,57,57,19,38,19,14,14,11,11,11,11,11,11,11,11,11,14,13,13,13,13,13,13,14,14,14,14,14,14,13,10,19,76,57,19,19,19,19,19,19,10,0,0,0
1705639620,10,12,12,12,12,12,12,36,36,12,24,12,19,19,22,22,22,22,22,15,15,15,15,8,11,11,11,11,11,11,9,9,9,9,9,9,11,10,12,48,36,12,12,12,12,12,12,10,0,0,0
1705639635,10,10,10,10,10,10,10,30,30,10,20,10,9,9,13,13,13,13,13,15,15,15,15,15,19,19,19,19,19,19,20,20,20,20,20,20,19,10,10,40,30,10,10,10,10,10,10,10,0,0,0
1705639650,10,18,18,18,18,18,18,54,54,18,36,18,11,11,11,11,11,11,11,16,16,16,16,20,14,14,14,14,14,14,14,14,14,14,14,14,13,10,18,72,54,18,18,18,18,18,18,10,23,0,0
1705639665,10,16,16,16,16,16,16,48,48,16,32,16,20,20,13,13,13,13,13,13,13,13,13,14,13,13,13,13,13,13,14,14,14,14,14,14,14,10,16,64,48,16,16,16,16,16,16,10,23,0,0
1705639680,10,15,15,15,15,15,15,45,45,15,30,15,17,17,16,16,16,16,16,16,16,16,16,13,17,17,17,17,17,17,17,17,17,17,17,17,17,10,15,60,45,15,15,15,15,15,15,10,0,0,0
1705639695,10,13,13,13,13,13,13,39,39,13,26,13,17,17,15,15,15,15,15,15,15,15,15,16,13,13,13,13,13,13,13,13,13,13,13,13,13,10,13,52,39,13,13,13,13,13,13,10,0,0,0
1705639710,10,16,16,16,16,16,16,48,48,16,32,16,9,9,15,15,15,15,15,15,15,15,15,18,17,17,17,17,17,17,17,17,17,17,17,17,17,10,16,64,48,16,16,16,16,16,16,10,0,0,0
1705639725,10,18,18,18,18,18,18,54,54,18,36,18,21,21,16,16,16,16,16,16,16,16,16,13,13,13,13,13,13,13,13,13,13,13,13,13,13,10,19,76,57,19,19,19,19,19,19,10,0,0,0
1705639740,10,12,12,12,12,12,12,36,36,12,24,12,11,11,13,13,13,13,13,13,13,13,13,14,17,17,17,17,17,17,16,16,16,16,16,16,17,10,12,48,36,12,12,12,12,12,12,10,23,0,0
1705639755,10,16,16,16,16,16,16,48,48,16,32,16,17,17,18,18,18,18,18,14,14,14,14,11,14,14,14,14,14,14,14,14,14,14,14,14,14,10,17,68,51,17,17,17,17,17,17,10,0,0,0
