time,front-end_1,front-end_2,catalogue_3,front-end_4,front-end_5,front-end_6,catalogue_7,front-end_8,user_9,front-end_10,front-end_11,front-end_12,front-end_13,front-end_14,user_15,user_16,orders_17,payment_18,orders_19,shipping_20,queue-master_21,queue-master_22,queue-master_23,queue-master_24,queue-master_25,front-end_26,front-end_27,payment_28,front-end_29,user_30,front-end_31,front-end_32,user_33,front-end_34,front-end_35,front-end_36,catalogue_37,front-end_38,front-end_39,user_40,front-end_41,front-end_42,front-end_43,front-end_44,front-end_45,front-end_46,front-end_47,user_48,carts_49,user-db_50,user_51,front-end_52,user_53,catalogue_54,catalogue-db_55,catalogue_56,catalogue_57,catalogue_58,catalogue_59,front-end_60,front-end_61,front-end_62,front-end_63,front-end_64,front-end_65,front-end_66,front-end_67,front-end_68,front-end_69,front-end_70,front-end_71,front-end_72,front-end_73,front-end_74,front-end_75,front-end_76,front-end_77,front-end_78,front-end_79,front-end_80,front-end_81,front-end_82,front-end_83,front-end_84,front-end_85,front-end_86,front-end_87,front-end_88,front-end_89,front-end_90,front-end_91,front-end_92,front-end_93,front-end_94,front-end_95,front-end_96,catalogue_97,front-end_98,front-end_99,front-end_100,front-end_101,front-end_102,front-end_103
1705710900,22,21,21,21,21,21,4,9,36,27,9,9,9,9,9,9,9,9,9,9,9,9,27,27,9,18,9,4,21,21,21,21,21,21,21,21,8,8,12,12,12,12,12,12,12,12,12,4,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705710915,8,9,9,9,9,9,5,24,96,72,24,24,24,24,24,24,24,24,24,24,24,24,72,72,24,48,24,5,8,8,8,8,8,8,8,8,15,15,9,9,9,9,9,9,9,9,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705710930,13,13,13,13,13,13,7,12,45,34,12,12,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,7,13,13,13,13,13,13,13,13,22,22,18,18,18,18,18,18,18,18,18,7,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705710945,17,17,17,17,17,17,10,9,39,29,9,9,10,10,10,10,10,10,10,10,10,10,30,30,10,20,10,10,17,17,17,17,17,17,17,17,12,12,17,17,17,17,17,17,17,17,17,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705710960,17,17,17,17,17,17,10,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,10,17,17,17,17,17,17,17,17,11,11,13,13,13,13,13,13,13,13,13,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705710975,12,12,12,12,12,12,10,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,12,12,12,12,12,12,12,12,23,23,16,16,16,16,16,16,16,16,16,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705710990,21,21,21,21,21,21,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,21,21,21,21,21,21,21,21,10,10,16,16,16,16,16,16,16,16,16,10,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705711005,14,14,14,14,14,14,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,14,14,14,14,14,14,14,14,21,21,13,13,13,13,13,13,13,13,13,10,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705711020,11,11,11,11,11,11,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,11,11,11,11,11,11,11,11,11,11,17,17,17,17,17,17,17,17,17,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705711035,20,20,20,20,20,20,10,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,21,21,21,21,21,21,20,20,14,14,18,18,18,18,18,18,18,18,18,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
