time,front-end_1,payment_2,user_3,catalogue_4,catalogue_5,front-end_6,user_7,front-end_8,front-end_9,front-end_10,front-end_11,front-end_12,front-end_13,front-end_14,front-end_15,user_16,front-end_17,front-end_18,user_19,front-end_20,front-end_21,front-end_22,front-end_23,front-end_24,catalogue_25,front-end_26,front-end_27,front-end_28,carts_29,carts_30,front-end_31,user_32,front-end_33,front-end_34,front-end_35,front-end_36,front-end_37,user_38,user_39,orders_40,payment_41,orders_42,shipping_43,queue-master_44,queue-master_45,queue-master_46,queue-master_47,queue-master_48,front-end_49,front-end_50,user_51
1705636215,32,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705636230,73,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705636245,75,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705636260,74,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705636275,81,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705636290,84,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705636305,73,10,10,2,35,3,3,3,3,3,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705636320,15,10,10,5,15,25,25,25,25,25,25,25,25,25,13,13,13,13,13,13,13,7,7,7,7,7,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705636335,0,10,10,5,0,17,17,17,17,17,15,15,15,15,16,16,16,16,16,16,16,22,22,22,22,22,22,13,23,13,6,24,18,6,6,6,6,6,6,4,4,4,4,4,4,12,12,4,8,4,0
1705636350,8,10,10,5,8,5,5,5,5,5,8,8,8,8,20,20,20,20,20,20,20,20,20,20,20,20,20,30,0,0,19,76,57,19,19,19,19,19,19,20,20,20,20,20,20,60,60,20,40,20,0
1705636365,23,10,10,5,23,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,0,22,88,66,22,22,22,22,22,22,23,23,23,23,23,23,69,69,23,46,23,0
1705636380,19,10,10,5,19,21,21,21,21,21,18,18,18,18,12,12,12,12,12,12,12,10,10,10,10,10,10,8,0,0,3,12,9,3,3,3,3,3,3,3,3,3,3,3,3,9,9,3,6,3,0
1705636395,1,10,10,5,1,19,19,19,19,19,19,19,19,19,18,18,18,18,18,18,18,19,19,19,19,19,19,17,23,0,10,40,30,10,10,10,10,10,10,9,9,9,9,9,9,27,27,9,18,9,0
1705636410,17,10,10,5,17,10,10,10,10,10,13,13,13,13,16,16,16,16,16,16,16,17,17,17,17,17,17,20,46,0,19,76,57,19,19,19,19,19,19,20,20,20,20,20,20,60,60,20,40,20,0
