time,front-end_1,user_2,front-end_3,front-end_4,front-end_5,front-end_6,front-end_7,front-end_8,front-end_9,front-end_10,user_11,front-end_12,front-end_13,user_14,front-end_15,front-end_16,front-end_17,front-end_18,front-end_19,catalogue_20,front-end_21,front-end_22,front-end_23,catalogue_24,payment_25,front-end_26,user_27,front-end_28,front-end_29,front-end_30,front-end_31,front-end_32,user_33,user_34,orders_35,payment_36,orders_37,shipping_38,queue-master_39,queue-master_40,queue-master_41,queue-master_42,front-end_43,queue-master_44,front-end_45,catalogue_46,front-end_47,user_48,user-db_49,carts_50,carts_51
1705703280,8,8,8,8,8,8,8,8,8,10,10,10,9,9,9,9,9,9,9,9,9,9,9,2,2,7,28,21,7,7,7,7,7,7,7,7,7,7,7,7,21,21,14,7,7,5,5,2,0,0,0
1705703295,14,14,14,14,14,14,14,14,14,19,19,19,20,20,20,20,20,20,20,20,20,20,20,5,5,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,34,17,17,9,9,5,1,0,0
1705703310,13,13,13,13,13,13,13,13,13,11,11,11,11,11,11,11,11,11,11,11,11,11,11,5,5,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,32,16,16,20,20,5,0,0,0
1705703325,12,12,12,12,12,12,12,12,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,6,6,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,22,11,11,13,13,6,0,0,0
1705703340,22,22,22,22,22,22,22,22,22,19,19,19,19,19,19,18,18,18,18,18,18,18,18,10,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,28,14,14,14,14,10,0,23,0
1705703355,14,14,14,14,14,14,14,14,14,15,15,15,15,15,15,16,16,16,16,16,16,16,16,10,10,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,40,20,20,14,14,10,0,0,0
1705703370,16,16,16,16,16,16,16,16,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,10,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,28,14,14,17,17,10,0,46,0
1705703385,17,17,17,17,17,17,17,17,17,16,16,16,16,16,16,16,16,16,16,16,16,16,16,10,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,28,14,14,16,16,10,0,0,0
1705703400,16,16,16,16,16,16,16,16,16,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,10,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,32,16,16,17,17,10,0,23,0
1705703415,9,9,9,9,9,9,9,9,9,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,10,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,32,16,16,15,15,10,0,0,0
1705703430,19,19,19,19,19,19,19,19,19,13,13,13,13,13,13,13,13,13,13,13,13,13,13,10,10,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,24,12,12,15,15,10,0,23,0
1705703445,19,19,19,19,19,19,19,19,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,10,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,30,15,15,11,11,10,0,46,0
1705703460,10,10,10,10,10,10,10,10,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,10,10,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,36,18,18,23,23,10,0,0,0
1705703475,16,16,16,16,16,16,16,16,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,10,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,28,14,14,9,9,10,0,0,0
1705703490,17,17,17,17,17,17,17,17,17,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,10,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,36,18,18,15,15,10,0,23,0
1705703505,15,15,15,15,15,15,15,15,15,17,17,17,17,17,17,17,17,17,17,17,17,17,17,10,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,28,14,14,19,19,10,0,0,0
1705703520,17,17,17,17,17,17,17,17,17,13,13,13,13,13,13,13,13,13,13,13,13,13,13,10,10,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,32,16,16,11,11,10,0,23,0
1705703535,13,13,13,13,13,13,13,13,13,17,17,17,17,17,17,17,17,17,17,17,17,17,17,10,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,30,15,15,17,17,10,0,0,0
1705703550,18,18,18,18,18,18,18,18,18,17,17,17,17,17,17,17,17,17,17,17,17,17,17,10,10,14,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,26,13,13,17,17,10,0,0,0
1705703565,12,12,12,12,12,12,12,12,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,10,17,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,36,18,18,18,18,10,0,0,0
1705703580,17,17,17,17,17,17,17,17,17,20,20,20,20,20,20,20,20,20,20,20,20,20,20,10,10,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,22,11,11,13,13,10,0,23,0
