POD,NODE_NAME
carts-795df7fd79-cs5z4,gke-gke-cluster-ss-default-pool-aa4d7ed2-vh5c
carts-db-5d88c7dddc-zqbqb,gke-gke-cluster-ss-default-pool-aa4d7ed2-fayo
catalogue-6999fd64d9-7hfgk,gke-gke-cluster-ss-default-pool-aa4d7ed2-vh5c
catalogue-db-554cbfd749-mrgbk,gke-gke-cluster-ss-default-pool-aa4d7ed2-fayo
front-end-75b898f665-2ttv5,gke-gke-cluster-ss-default-pool-aa4d7ed2-9gn2
loadgenerator-564d55cfcb-25mzx,gke-gke-cluster-ss-default-pool-aa4d7ed2-9gn2
orders-688f957476-8plxb,gke-gke-cluster-ss-default-pool-aa4d7ed2-fayo
orders-db-7c75b66575-kcg44,gke-gke-cluster-ss-default-pool-aa4d7ed2-9gn2
payment-766c44b5dc-2zb67,gke-gke-cluster-ss-default-pool-aa4d7ed2-fayo
queue-master-5f47847cd-nxt2f,gke-gke-cluster-ss-default-pool-aa4d7ed2-fayo
rabbitmq-5dcbdd5997-7b64v,gke-gke-cluster-ss-default-pool-aa4d7ed2-vh5c
session-db-6f9cdc9746-qlqjv,gke-gke-cluster-ss-default-pool-aa4d7ed2-fayo
shipping-6d4449fd75-655zk,gke-gke-cluster-ss-default-pool-aa4d7ed2-vh5c
user-77c9d4d7cf-52lcr,gke-gke-cluster-ss-default-pool-aa4d7ed2-fayo
user-db-57c446cdbc-qrwhm,gke-gke-cluster-ss-default-pool-aa4d7ed2-9gn2
