time,front-end_1,user_2,front-end_3,front-end_4,front-end_5,front-end_6,front-end_7,front-end_8,front-end_9,front-end_10,catalogue_11,user_12,front-end_13,front-end_14,front-end_15,front-end_16,front-end_17,front-end_18,user_19,user_20,orders_21,payment_22,orders_23,shipping_24,queue-master_25,queue-master_26,queue-master_27,queue-master_28,queue-master_29,front-end_30,front-end_31,user_32,catalogue_33,payment_34,front-end_35,user_36,front-end_37,front-end_38,user_39,front-end_40,front-end_41,front-end_42,front-end_43,front-end_44,catalogue_45,front-end_46,front-end_47,front-end_48,carts_49,user-db_50,user_51,user_52,carts_53
1705704750,9,9,9,9,9,9,9,9,9,8,10,32,10,24,8,8,8,8,8,8,8,8,8,8,8,8,24,24,8,16,8,6,4,4,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0,0,0,0,0
1705704765,13,13,13,13,13,13,13,13,13,14,16,56,16,42,14,14,14,14,14,14,14,14,14,14,14,14,40,40,13,26,13,10,10,10,14,14,14,14,13,13,13,13,13,13,13,13,13,13,69,0,0,0,0
1705704780,22,22,22,22,22,22,22,22,22,13,14,52,14,39,13,13,13,13,13,13,13,13,13,13,13,13,41,41,14,28,14,10,10,10,19,19,19,19,20,20,19,19,19,19,19,19,19,19,23,0,0,0,0
1705704795,8,8,8,8,8,8,8,8,8,15,16,60,16,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,10,10,13,13,13,13,13,13,14,14,14,14,14,14,14,14,0,0,0,0,0
1705704810,19,19,19,19,19,19,19,19,19,17,18,68,18,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,10,10,13,13,13,13,13,13,13,13,13,13,13,13,13,13,0,0,0,0,0
1705704825,19,19,19,19,19,19,19,19,19,13,9,52,9,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,10,10,21,21,21,21,21,21,21,21,21,21,21,21,21,21,0,0,0,0,0
1705704840,12,12,12,12,12,12,12,12,12,22,18,88,18,66,22,22,22,22,22,22,22,22,22,22,22,22,66,66,22,44,22,10,10,10,13,13,13,13,13,13,13,13,13,13,13,13,13,13,0,0,0,0,0
1705704855,13,13,13,13,13,13,13,13,13,14,21,56,21,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,10,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,0,0,0,0,0
1705704870,20,20,20,20,20,20,20,20,20,11,11,44,11,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,10,10,10,17,17,17,17,17,17,17,17,17,17,17,17,17,17,0,0,0,0,0
1705704885,13,13,13,13,13,13,13,13,13,19,11,76,11,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,10,10,10,18,18,18,18,18,18,18,18,18,18,18,18,18,18,0,0,0,0,0
1705704900,13,13,13,13,13,13,13,13,13,17,21,68,21,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,23,0,0,0,0
1705704915,22,22,22,22,22,22,22,22,22,8,14,32,14,24,8,8,8,8,8,8,8,8,8,8,8,8,24,24,8,16,8,10,10,10,17,17,17,17,17,17,16,16,16,16,16,16,16,16,23,0,0,0,0
1705704930,11,11,11,11,11,11,11,11,11,20,12,80,12,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,10,10,10,20,20,20,20,20,20,21,21,21,21,21,21,21,21,23,0,0,0,0
1705704945,19,19,19,19,19,19,19,19,19,17,22,68,22,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,0,0,0,0,0
1705704960,9,9,9,9,9,9,9,9,9,12,14,48,14,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,10,10,10,17,17,17,17,17,17,17,17,17,17,17,17,17,17,0,0,0,0,0
1705704975,18,18,18,18,18,18,18,18,18,19,14,76,14,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,10,10,10,14,14,14,14,14,14,14,14,14,14,14,14,14,14,23,0,0,0,0
1705704990,17,17,17,17,17,17,17,17,17,11,14,44,14,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,10,10,10,19,19,19,19,19,19,19,19,19,19,19,19,19,18,0,0,0,0,0
1705705005,15,15,15,15,15,15,15,15,15,20,17,80,17,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,10,10,10,14,14,14,14,14,14,14,14,14,14,14,14,14,15,23,0,0,0,0
1705705020,16,16,16,16,16,16,16,16,16,16,15,64,15,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,10,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,46,0,0,0,0
1705705035,14,14,14,14,14,14,14,14,14,13,17,52,17,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,10,10,14,14,13,13,13,13,13,13,13,13,13,13,13,13,0,0,0,0,0
1705705050,17,17,17,17,17,17,17,17,17,13,15,52,15,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,10,10,16,16,17,17,17,17,17,17,17,17,17,17,17,17,23,0,0,0,0
1705705065,18,18,18,18,18,18,18,18,18,19,14,73,14,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,10,10,10,19,19,19,19,19,19,19,19,19,19,19,19,19,19,23,0,0,0,0
1705705080,11,11,11,11,11,11,11,11,11,17,18,71,18,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,10,10,10,13,13,13,13,13,13,13,13,13,13,13,13,13,13,0,1,0,0,0
1705705095,20,20,20,20,20,20,20,20,20,13,19,52,19,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,10,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,0,0,0,0,0
1705705110,13,13,13,13,13,13,13,13,13,20,9,80,9,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,10,10,10,18,18,18,18,18,18,18,18,18,18,18,18,18,18,0,0,0,0,0
1705705125,14,14,14,14,14,14,14,14,14,16,23,64,23,48,16,16,16,16,16,16,16,15,15,15,15,15,45,45,15,30,15,10,10,10,13,13,13,13,13,13,13,13,13,13,13,13,13,13,0,0,0,0,0
1705705140,18,18,18,18,18,18,18,18,18,13,11,52,11,39,13,13,13,13,13,13,13,14,14,14,14,14,42,42,14,28,14,10,10,10,19,19,19,19,19,19,19,19,19,19,19,19,19,19,0,0,0,0,0
1705705155,16,16,16,16,16,16,16,16,16,15,15,60,15,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,10,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,0,0,0,0,0
1705705170,12,12,12,12,12,12,12,12,12,14,15,56,15,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,10,10,17,17,17,17,17,17,17,17,17,17,17,17,17,17,0,0,0,0,0
1705705185,19,19,19,19,19,19,19,19,19,13,19,52,19,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,10,10,14,14,14,14,14,14,13,13,13,13,13,13,13,13,23,0,0,0,0
1705705200,14,14,14,14,14,14,14,14,14,19,9,76,9,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,10,10,10,18,18,18,18,18,18,19,19,19,19,19,19,19,19,0,0,0,0,0
1705705215,14,14,14,14,14,14,14,14,14,14,19,56,19,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,23,0,0,0,0
1705705230,17,17,17,17,17,17,17,17,17,13,16,52,16,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,10,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,46,0,0,0,0
1705705245,19,19,19,19,19,19,19,19,19,16,15,64,15,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,10,10,23,23,23,23,23,23,23,23,23,23,23,23,23,23,0,0,0,0,0
1705705260,15,15,15,15,15,15,15,15,15,22,12,88,12,66,22,22,22,22,22,22,22,22,22,22,22,22,66,66,22,44,22,10,10,10,16,16,16,16,16,16,16,16,16,16,16,16,16,16,23,0,0,0,0
1705705275,10,10,10,10,10,10,10,10,10,16,21,64,21,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0,0,0,0,0
1705705290,16,16,16,16,16,16,16,16,16,10,13,40,13,30,10,10,10,10,10,10,10,10,10,10,10,10,30,30,10,20,10,10,10,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,0,0,0,0,0
1705705305,19,19,19,19,19,19,19,19,19,14,14,56,14,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,10,10,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,0,0,0
1705705320,10,10,10,10,10,10,10,10,10,17,16,68,16,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,10,10,14,14,14,14,14,14,14,14,14,14,14,14,14,14,23,0,0,0,0
