POD,NODE_NAME
carts-795df7fd79-m7wjg,gke-gke-cluster-ss-default-pool-aa4d7ed2-vh5c
carts-db-5d88c7dddc-8svw7,gke-gke-cluster-ss-default-pool-aa4d7ed2-9gn2
catalogue-6999fd64d9-49szw,gke-gke-cluster-ss-default-pool-aa4d7ed2-fayo
catalogue-db-554cbfd749-zbzbl,gke-gke-cluster-ss-default-pool-aa4d7ed2-vh5c
front-end-75b898f665-f9rcj,gke-gke-cluster-ss-default-pool-aa4d7ed2-vh5c
loadgenerator-564d55cfcb-79ntt,gke-gke-cluster-ss-default-pool-aa4d7ed2-fayo
orders-688f957476-gm6p7,gke-gke-cluster-ss-default-pool-aa4d7ed2-vh5c
orders-db-7c75b66575-9rjvh,gke-gke-cluster-ss-default-pool-aa4d7ed2-9gn2
payment-766c44b5dc-5fvcj,gke-gke-cluster-ss-default-pool-aa4d7ed2-fayo
queue-master-5f47847cd-qcjq8,gke-gke-cluster-ss-default-pool-aa4d7ed2-fayo
rabbitmq-5dcbdd5997-4bf2k,gke-gke-cluster-ss-default-pool-aa4d7ed2-vh5c
session-db-6f9cdc9746-xvkhf,gke-gke-cluster-ss-default-pool-aa4d7ed2-fayo
shipping-6d4449fd75-v4jbh,gke-gke-cluster-ss-default-pool-aa4d7ed2-vh5c
user-77c9d4d7cf-kfsnw,gke-gke-cluster-ss-default-pool-aa4d7ed2-9gn2
user-db-57c446cdbc-ww5zh,gke-gke-cluster-ss-default-pool-aa4d7ed2-9gn2
