time,front-end_1,user_2,front-end_3,front-end_4,front-end_5,front-end_6,front-end_7,front-end_8,front-end_9,front-end_10,user_11,front-end_12,front-end_13,front-end_14,front-end_15,front-end_16,user_17,user_18,orders_19,payment_20,orders_21,shipping_22,queue-master_23,queue-master_24,queue-master_25,queue-master_26,queue-master_27,front-end_28,front-end_29,front-end_30,user_31,front-end_32,front-end_33,user_34,front-end_35,front-end_36,front-end_37,front-end_38,front-end_39,catalogue_40,front-end_41,front-end_42,catalogue_43,front-end_44,front-end_45,catalogue_46,payment_47,user_48,carts_49,orders-db_50,user_51,user_52
1705818690,10,10,10,10,10,10,10,10,10,8,32,24,8,8,8,8,8,8,8,8,8,8,8,8,24,24,8,16,8,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,7,6,6,6,0,0,0,0
1705818705,14,14,14,14,14,14,14,14,14,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,18,18,18,18,18,18,18,18,18,18,18,18,18,17,17,18,10,10,10,0,0,0,0
1705818720,19,19,19,19,19,19,19,19,19,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,19,19,19,19,19,19,19,19,19,19,19,19,19,14,14,19,10,10,10,23,0,0,0
1705818735,13,13,13,13,13,13,13,13,13,21,84,63,21,21,21,21,21,21,21,21,21,21,21,21,63,63,21,42,21,13,13,13,13,13,13,13,13,13,13,13,13,13,17,17,13,10,10,10,0,0,0,0
1705818750,22,22,22,22,22,22,22,22,22,9,36,27,9,9,9,9,9,9,9,9,9,9,9,9,27,27,9,18,9,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,10,10,10,0,0,0,0
1705818765,10,10,10,10,10,10,10,10,10,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,16,16,16,16,16,16,16,16,16,16,16,16,16,9,9,16,10,10,10,23,0,0,0
1705818780,18,18,18,18,18,18,18,18,18,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,12,12,12,12,12,12,12,12,12,12,12,12,12,21,21,12,10,10,10,0,0,0,0
1705818795,13,13,13,13,13,12,12,12,12,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,10,10,10,23,0,0,0
1705818810,19,19,19,19,19,20,20,20,20,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,15,15,15,15,15,15,15,15,15,15,15,15,15,13,13,15,10,10,10,46,0,0,0
1705818825,11,11,11,11,11,11,11,11,11,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,16,16,16,16,16,16,16,16,16,16,16,16,16,15,15,16,10,10,10,0,0,0,0
1705818840,16,16,16,16,16,16,16,16,16,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,16,16,16,16,16,16,15,15,15,15,15,15,15,18,18,15,10,10,10,0,0,0,0
1705818855,15,15,15,15,15,15,15,15,15,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,18,18,18,18,17,17,17,17,17,17,17,17,17,12,12,17,10,10,10,0,0,0,0
1705818870,15,15,15,15,15,15,15,15,15,21,84,63,21,21,21,21,21,21,21,21,21,21,21,21,63,63,21,42,21,11,11,11,11,12,12,13,13,13,13,13,13,13,16,16,13,10,10,10,23,0,0,0
1705818885,13,13,13,13,13,13,13,13,13,9,36,27,9,9,9,9,9,9,9,9,9,9,9,9,27,27,9,18,9,11,11,11,11,11,11,11,11,11,11,11,11,11,18,18,11,10,10,10,23,0,0,0
1705818900,18,18,18,18,18,18,18,18,18,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,20,20,20,20,20,20,20,20,20,20,20,20,20,9,9,20,10,10,10,0,0,0,0
1705818915,15,15,15,15,15,15,15,15,15,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,10,10,10,23,0,0,0
1705818930,15,15,15,15,15,15,15,15,15,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,12,12,12,12,12,12,12,12,12,12,12,12,12,13,13,12,10,10,10,0,0,0,0
1705818945,13,13,13,13,13,13,13,13,13,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,15,15,15,15,15,15,15,15,15,14,14,14,14,18,18,14,10,10,10,0,0,0,0
