time,catalogue_1,front-end_2,front-end_3,user_4,user_5,front-end_6,front-end_7,front-end_8,front-end_9,front-end_10,front-end_11,front-end_12,front-end_13,user_14,front-end_15,front-end_16,user_17,front-end_18,front-end_19,orders_20,payment_21,orders_22,shipping_23,queue-master_24,queue-master_25,queue-master_26,queue-master_27,queue-master_28,front-end_29,front-end_30,payment_31,catalogue_32,front-end_33,user_34,front-end_35,user_36,front-end_37,front-end_38,user_39,front-end_40,front-end_41,front-end_42,front-end_43,front-end_44,catalogue_45,front-end_46,front-end_47,front-end_48,carts_49,carts_50,user_51,front-end_52
1705700085,6,8,9,32,9,9,9,9,24,8,8,8,8,8,9,9,8,9,9,8,8,8,8,8,8,24,24,8,16,8,6,9,9,6,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0,0,0,0
1705700100,10,11,21,44,21,21,21,21,33,11,11,11,11,11,21,21,11,21,21,11,11,11,11,11,11,33,33,11,22,11,10,13,13,10,16,16,16,16,16,16,16,16,16,16,16,16,16,16,23,0,0,0
1705700115,10,18,11,72,11,11,11,11,54,18,18,18,18,18,11,11,18,11,11,18,18,18,18,18,18,54,54,18,36,18,10,14,14,10,22,22,22,22,22,22,22,22,22,22,22,22,22,22,0,0,0,0
1705700130,10,19,16,76,16,16,16,16,57,19,19,19,19,19,16,16,19,16,16,19,19,19,19,19,19,57,57,19,38,19,10,18,18,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,46,0,0,0
1705700145,10,11,17,44,17,17,17,17,33,11,11,11,11,11,17,17,11,17,17,11,11,11,11,11,11,33,33,11,22,11,10,17,17,10,14,14,14,14,14,14,14,14,14,14,14,14,14,14,23,0,0,0
1705700160,10,16,12,64,12,12,12,12,48,16,16,16,16,16,12,12,16,12,12,16,16,16,16,16,16,48,48,16,32,16,10,15,15,10,18,18,18,18,18,18,18,18,18,18,18,18,18,18,0,0,0,0
1705700175,10,16,18,64,18,18,18,18,48,16,16,16,16,16,18,18,16,18,18,16,16,16,16,16,16,48,48,16,32,16,10,17,17,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,23,0,0,0
1705700190,10,15,14,60,14,14,14,14,45,15,15,15,15,15,14,14,15,14,14,15,15,15,15,15,15,45,45,15,30,15,10,12,12,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,0,0,0,0
1705700205,10,15,15,60,15,15,15,15,45,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,16,16,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,0,0,0,0
1705700220,10,14,18,56,18,18,18,18,42,14,14,14,14,14,18,18,14,18,18,14,14,14,14,14,14,42,42,14,28,14,10,15,15,10,14,14,14,14,14,14,14,14,14,14,14,14,14,14,0,0,0,0
1705700235,10,14,14,56,14,14,14,14,42,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,15,15,10,18,18,18,18,18,18,18,18,18,18,18,18,18,18,0,0,0,0
1705700250,10,22,14,88,14,14,14,14,66,22,22,22,22,22,14,14,22,14,14,22,22,22,22,22,22,66,66,22,44,22,10,14,14,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,23,0,0,0
1705700265,10,11,21,44,21,21,21,21,33,11,11,11,11,11,21,21,11,21,21,11,11,11,11,11,11,33,33,11,22,11,10,23,23,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,46,0,0,0
1705700280,10,15,14,60,14,14,14,14,45,15,15,15,15,15,14,14,15,14,14,15,15,15,15,15,15,45,45,15,30,15,10,11,11,10,23,23,23,23,23,23,22,22,22,22,22,22,22,22,46,0,0,0
1705700295,10,24,13,96,13,13,13,13,72,24,24,24,24,24,13,13,24,13,13,24,24,24,24,24,24,72,72,24,48,24,10,14,14,10,13,13,13,13,13,13,14,14,14,14,14,14,14,14,0,0,0,0
1705700310,10,12,17,48,17,17,17,17,36,12,12,12,12,12,17,17,12,17,17,12,12,12,12,12,12,36,36,12,24,12,10,23,23,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,0,0,0,0
1705700325,10,10,16,40,16,16,16,16,30,10,10,10,10,10,16,16,10,16,16,10,10,10,10,10,10,30,30,10,18,9,10,12,12,10,21,21,21,21,21,21,21,21,21,21,21,21,21,21,0,0,0,0
1705700340,10,22,15,88,15,15,15,15,66,22,22,22,22,22,15,15,22,15,15,22,22,22,22,22,22,66,66,22,46,23,10,10,10,10,14,14,14,14,14,14,14,14,14,14,14,14,14,14,23,0,0,0
1705700355,10,16,15,64,15,15,15,15,48,16,16,16,16,16,15,15,16,15,15,16,16,16,16,16,16,48,48,16,32,16,10,22,22,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,23,0,0,0
1705700370,10,11,16,44,16,16,16,16,33,11,11,11,11,11,16,16,11,16,16,11,11,11,11,11,11,33,33,11,22,11,10,13,13,10,19,19,19,19,19,19,19,19,19,19,19,19,19,19,46,0,0,0
1705700385,10,15,20,60,20,20,20,20,45,15,15,15,15,15,20,20,15,20,20,15,15,15,15,15,15,45,45,15,30,15,10,15,15,10,19,19,19,19,19,19,19,19,19,19,19,19,19,19,0,0,0,0
