time,user_1,front-end_2,user_3,front-end_4,front-end_5,front-end_6,front-end_7,front-end_8,user_9,user_10,orders_11,payment_12,orders_13,shipping_14,queue-master_15,queue-master_16,queue-master_17,queue-master_18,queue-master_19,front-end_20,front-end_21,front-end_22,user_23,front-end_24,front-end_25,user_26,front-end_27,front-end_28,front-end_29,front-end_30,front-end_31,catalogue_32,front-end_33,front-end_34,front-end_35,catalogue_36,front-end_37,user_38,front-end_39,front-end_40,front-end_41,front-end_42,front-end_43,front-end_44,front-end_45,payment_46,catalogue_47,front-end_48,carts_49,user_50
1705701555,8,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,6,4,4,4,4,4,4,4,4,4,6,8,8,0,0
1705701570,10,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,10,12,12,12,12,12,12,12,12,12,10,14,14,0,0
1705701585,10,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,22,22,22,22,22,22,22,22,22,22,22,22,22,22,10,23,23,23,23,23,23,23,23,23,10,17,17,46,0
1705701600,10,23,92,69,23,23,23,23,23,23,23,23,23,23,23,23,69,69,23,46,23,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,12,12,12,12,12,12,12,12,12,10,8,8,0,0
1705701615,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,12,12,12,12,12,12,12,12,12,12,12,12,12,12,10,13,13,13,13,13,13,13,13,13,10,25,25,0,0
1705701630,10,10,40,30,10,10,10,10,10,10,10,10,10,10,10,10,30,30,10,20,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,22,22,22,22,22,22,22,22,22,10,12,12,23,0
1705701645,10,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,21,21,21,21,21,21,21,21,21,21,21,21,21,21,10,18,18,18,18,18,18,18,18,18,10,14,14,0,0
1705701660,10,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,16,16,16,16,16,16,16,16,16,16,16,16,16,16,10,10,10,10,10,10,10,10,10,10,10,20,20,23,0
1705701675,10,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,18,18,18,18,18,18,18,18,18,10,17,17,0,0
1705701690,10,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,20,20,20,20,20,20,20,20,20,20,20,20,20,19,10,18,18,18,18,18,18,18,18,18,10,12,12,0,0
