time,payment_1,front-end_2,user_3,front-end_4,front-end_5,front-end_6,front-end_7,front-end_8,user_9,user_10,catalogue_11,front-end_12,orders_13,payment_14,orders_15,shipping_16,queue-master_17,queue-master_18,queue-master_19,queue-master_20,queue-master_21,front-end_22,front-end_23,front-end_24,user_25,front-end_26,user_27,front-end_28,front-end_29,front-end_30,front-end_31,front-end_32,front-end_33,front-end_34,catalogue_35,front-end_36,user_37,front-end_38,front-end_39,user_40,front-end_41,front-end_42,front-end_43,front-end_44,front-end_45,catalogue_46,front-end_47,front-end_48,carts_49,user_50,user_51
1705637805,4,8,32,24,8,8,8,8,8,8,7,7,8,8,8,8,8,8,24,24,8,16,8,4,4,4,4,4,4,4,4,4,4,4,2,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0
1705637820,10,13,52,39,13,13,13,13,13,13,18,18,13,13,13,13,13,13,39,39,13,26,13,12,10,17,17,17,17,17,17,17,17,17,10,12,12,12,12,12,12,12,12,12,12,12,12,12,0,0,0
1705637835,10,13,52,39,13,13,13,13,13,13,10,10,12,12,12,12,12,12,36,36,12,24,12,14,10,14,14,14,14,14,14,14,14,14,10,19,19,19,19,19,19,19,16,16,16,16,16,16,23,0,0
1705637850,10,16,64,48,16,16,16,16,16,16,14,14,14,14,14,14,14,14,42,42,14,28,14,14,10,17,17,17,17,17,12,12,12,12,10,10,10,10,10,10,10,10,12,12,12,12,12,12,0,0,0
1705637865,10,11,44,33,11,11,11,11,11,11,16,16,14,14,14,14,14,14,42,42,14,28,14,12,10,14,14,14,14,14,17,17,17,17,10,20,20,20,20,20,20,20,21,21,21,21,21,21,0,0,0
1705637880,10,14,56,42,14,14,14,14,14,14,11,10,12,12,12,12,12,12,36,36,12,24,12,19,10,17,17,17,17,17,16,16,16,16,10,15,15,15,15,15,15,15,13,13,13,13,13,13,0,0,0
1705637895,10,17,68,51,17,17,17,17,17,17,17,18,19,19,19,19,19,19,57,57,19,38,19,18,10,11,11,11,11,11,14,14,14,14,10,13,13,13,13,13,13,13,15,15,15,15,15,15,23,0,0
1705637910,10,20,80,60,20,20,20,20,20,20,17,17,19,19,19,19,19,19,57,57,19,38,19,9,10,14,14,14,14,14,12,12,12,12,10,14,14,14,14,14,14,14,13,13,13,13,13,13,0,0,0
1705637925,10,8,32,24,8,8,8,8,8,8,15,15,8,8,8,8,8,8,24,24,8,16,8,10,10,22,22,22,22,22,18,18,18,18,10,17,17,17,17,17,17,17,15,15,15,15,15,15,23,0,0
1705637940,10,10,40,30,10,10,10,10,10,10,12,12,11,11,11,11,11,11,33,33,11,22,11,24,10,11,11,11,11,11,15,15,15,15,10,15,15,15,15,15,15,15,17,17,17,17,17,17,0,0,0
1705637955,10,25,100,75,25,25,25,25,25,25,15,15,25,25,25,25,25,25,75,75,25,50,25,11,10,7,7,7,7,7,9,9,9,9,10,8,8,8,8,8,8,8,9,9,9,9,9,9,0,0,0
1705637970,10,9,36,27,9,9,9,9,8,9,18,18,9,9,9,9,9,9,27,27,9,18,9,14,10,17,17,17,17,17,17,17,17,17,10,14,14,14,14,14,14,14,14,14,14,14,14,14,0,1,0
1705637985,10,16,64,48,16,16,16,16,16,16,7,7,16,16,16,16,16,16,48,48,16,32,16,14,10,17,17,17,17,17,17,17,17,17,10,17,17,17,17,17,17,17,17,17,17,17,17,17,46,0,0
1705638000,10,13,52,39,13,13,13,13,13,13,18,18,13,13,13,13,13,13,39,39,13,26,13,15,10,14,14,14,14,14,14,14,14,14,10,12,12,12,12,12,12,12,12,12,12,12,12,12,23,0,0
1705638015,10,14,56,42,14,14,14,14,14,14,12,12,14,14,14,14,14,14,42,42,14,28,14,16,10,10,10,10,10,10,10,10,10,10,10,16,16,16,16,16,16,16,16,16,16,16,16,16,0,0,0
