time,catalogue_1,front-end_2,user_3,front-end_4,front-end_5,front-end_6,front-end_7,front-end_8,front-end_9,front-end_10,front-end_11,user_12,front-end_13,front-end_14,front-end_15,front-end_16,front-end_17,user_18,user_19,orders_20,payment_21,orders_22,shipping_23,queue-master_24,queue-master_25,queue-master_26,queue-master_27,queue-master_28,front-end_29,front-end_30,payment_31,catalogue_32,front-end_33,front-end_34,user_35,user_36,front-end_37,front-end_38,user_39,front-end_40,front-end_41,front-end_42,front-end_43,front-end_44,catalogue_45,front-end_46,front-end_47,front-end_48,carts_49,user_50,user_51,user_52,orders-db_53
1705706220,6,6,6,6,6,6,6,6,6,6,9,36,27,9,9,9,9,9,9,9,9,9,9,9,9,27,27,9,18,9,6,14,14,8,6,8,8,8,8,8,8,8,8,8,8,8,8,8,0,0,0,0,0
1705706235,10,18,18,18,18,18,18,18,18,18,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,14,14,13,10,13,13,13,13,13,13,13,13,13,13,13,13,13,46,0,0,0,0
1705706250,10,16,16,16,16,16,16,16,16,16,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,10,18,18,16,10,16,16,16,16,16,16,16,16,16,16,16,16,16,0,0,0,0,0
1705706265,10,19,19,19,19,19,19,19,19,19,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,8,8,20,10,19,20,20,20,20,20,20,20,20,20,20,20,20,23,1,0,0,0
1705706280,10,15,15,15,15,15,15,15,15,15,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,10,19,19,14,10,14,14,14,14,14,14,14,14,14,14,14,14,14,23,0,0,0,0
1705706295,10,10,10,10,10,10,10,10,10,10,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,22,22,15,10,15,15,15,15,15,15,15,15,15,15,15,15,15,0,0,0,0,0
1705706310,10,19,19,19,19,19,19,19,19,19,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,11,11,13,10,13,13,13,13,13,13,13,13,13,13,13,13,12,46,0,0,0,0
1705706325,10,16,16,16,16,16,16,16,16,16,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,17,17,24,10,24,24,24,24,24,24,24,24,24,24,24,24,25,0,0,0,0,0
1705706340,10,17,17,17,17,17,17,17,17,17,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,10,18,18,11,10,11,11,11,11,11,11,11,11,11,11,11,11,11,0,0,0,0,0
1705706355,10,15,15,15,15,15,15,15,15,15,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,15,15,19,10,19,19,19,19,19,19,19,19,19,19,19,19,19,0,0,0,0,0
