time,front-end_1,user_2,front-end_3,front-end_4,front-end_5,front-end_6,front-end_7,front-end_8,front-end_9,catalogue_10,front-end_11,front-end_12,user_13,front-end_14,front-end_15,user_16,front-end_17,front-end_18,front-end_19,front-end_20,front-end_21,catalogue_22,front-end_23,front-end_24,front-end_25,user_26,front-end_27,user_28,front-end_29,front-end_30,front-end_31,front-end_32,front-end_33,user_34,user_35,orders_36,payment_37,orders_38,shipping_39,queue-master_40,queue-master_41,queue-master_42,queue-master_43,queue-master_44,front-end_45,front-end_46,front-end_47,catalogue_48,payment_49,carts_50,user_51
1705707690,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,8,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,1,6,6,0,0
1705707705,14,14,14,14,14,14,14,14,14,19,19,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,0,10,10,23,0
1705707720,18,18,18,18,18,18,18,18,18,14,14,13,13,13,13,13,13,13,13,13,13,13,13,13,13,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,0,10,10,0,0
1705707735,14,14,14,14,14,14,14,14,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,0,10,10,46,0
1705707750,15,15,15,15,15,15,15,15,15,17,17,21,21,21,21,21,21,21,21,21,21,21,21,21,21,10,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,0,10,10,0,0
1705707765,16,16,16,16,16,16,16,16,16,11,11,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,0,10,10,23,0
1705707780,17,17,17,17,17,17,17,17,17,19,19,24,24,24,24,24,24,24,24,24,24,24,24,24,24,10,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,0,10,10,46,0
1705707795,9,9,9,9,9,9,9,9,9,12,12,8,8,8,8,8,8,8,8,8,8,8,8,8,8,10,22,88,66,22,22,22,22,22,22,22,22,22,22,22,22,66,66,22,44,22,0,10,10,0,0
1705707810,19,19,19,19,19,19,19,19,19,19,19,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,9,36,27,9,9,9,9,9,9,9,9,9,9,9,9,27,27,9,18,9,0,10,10,0,0
1705707825,14,14,14,14,14,14,14,14,14,11,11,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,0,10,10,0,0
1705707840,20,20,20,20,20,20,20,20,20,16,16,20,20,20,20,20,20,20,20,20,20,20,20,20,20,10,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,0,10,10,0,0
1705707855,9,9,9,9,9,9,9,9,9,18,18,12,12,12,12,12,12,12,12,12,12,12,12,12,12,10,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,0,10,10,0,0
1705707870,18,18,18,18,18,18,18,18,18,15,15,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,0,10,10,23,0
1705707885,16,16,16,16,16,16,16,16,16,15,15,21,21,21,21,21,21,21,21,21,21,21,21,21,21,10,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,0,10,10,0,0
1705707900,15,15,15,15,15,15,15,15,15,18,18,13,13,13,13,13,13,13,13,13,13,13,13,13,13,10,19,76,57,19,19,19,19,19,19,18,18,18,18,18,18,54,54,18,36,18,0,10,10,0,0
1705707915,18,17,17,17,17,17,17,17,17,14,14,16,16,16,16,16,16,16,16,16,16,16,16,16,16,10,11,44,33,11,11,11,11,11,11,12,12,12,12,12,12,36,36,12,24,12,0,10,10,23,0
1705707930,15,16,16,16,16,16,16,16,16,15,15,17,17,17,17,17,16,16,16,16,16,16,16,16,16,10,16,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,0,10,10,23,0
1705707945,14,14,14,14,14,14,14,14,14,13,13,13,13,13,13,13,14,14,14,14,14,14,14,14,14,10,20,83,63,21,21,21,21,21,21,21,21,21,21,21,21,63,63,21,42,21,0,10,10,23,1
1705707960,16,16,16,16,16,15,15,15,15,19,19,12,12,12,12,12,12,12,12,12,12,12,12,12,12,10,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,0,10,10,0,0
1705707975,13,13,13,13,13,14,14,14,14,12,12,16,16,16,16,16,16,16,16,16,16,16,16,16,16,10,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,0,10,10,0,0
1705707990,15,15,15,15,15,15,15,15,15,18,18,22,22,22,22,22,22,22,22,22,22,22,22,22,22,10,11,40,30,10,10,10,10,10,10,10,10,10,10,10,10,30,30,10,20,10,0,10,10,0,0
1705708005,16,16,16,16,16,16,16,16,16,12,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20,84,63,21,21,21,21,21,21,21,21,21,21,21,21,63,63,21,42,21,0,10,10,0,0
