time,front-end_1,user_2,front-end_3,front-end_4,front-end_5,user_6,front-end_7,front-end_8,front-end_9,front-end_10,front-end_11,front-end_12,front-end_13,front-end_14,front-end_15,front-end_16,user_17,user_18,orders_19,payment_20,orders_21,shipping_22,queue-master_23,queue-master_24,queue-master_25,queue-master_26,queue-master_27,front-end_28,front-end_29,catalogue_30,front-end_31,front-end_32,user_33,front-end_34,front-end_35,user_36,front-end_37,front-end_38,catalogue_39,front-end_40,front-end_41,front-end_42,catalogue_43,front-end_44,front-end_45,front-end_46,payment_47,user_48,carts_49,carts_50
1705604700,3,12,9,3,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,9,9,3,6,3,5,5,5,5,5,5,5,5,5,2,5,5,5,5,5,5,5,2,2,0,0
1705604715,15,60,45,15,18,18,18,18,18,17,17,17,17,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,15,15,15,15,15,15,15,15,15,10,15,15,15,15,15,15,15,10,10,0,0
1705604730,16,64,48,16,15,15,15,15,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,14,14,19,19,19,19,19,19,19,10,19,19,19,19,19,19,19,10,10,23,0
1705604745,18,72,54,18,14,14,14,14,14,14,14,14,14,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,18,18,11,11,11,11,11,11,11,10,11,11,11,11,11,11,11,10,10,0,0
1705604760,10,40,30,10,13,13,13,13,13,13,13,13,13,10,10,10,10,10,10,10,10,10,10,10,30,30,10,20,10,14,14,17,17,17,17,17,17,17,10,17,17,17,17,17,17,17,10,10,23,0
1705604775,17,68,51,17,19,19,19,19,19,19,19,19,19,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,15,15,13,13,13,13,13,13,13,10,13,13,13,13,13,13,13,10,10,0,0
1705604790,15,56,42,14,15,15,15,15,15,15,15,15,15,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,12,12,17,17,17,17,17,17,17,10,17,17,17,17,17,17,17,10,10,23,0
1705604805,15,64,48,16,12,12,12,12,12,12,12,12,12,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,16,16,15,15,15,14,14,14,14,10,14,14,14,14,14,14,14,10,10,0,0
1705604820,15,60,45,15,17,17,17,17,17,17,17,17,17,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,15,15,12,12,12,13,13,13,13,10,13,13,13,13,13,13,13,10,10,0,0
1705604835,15,60,45,15,16,16,16,16,16,16,16,16,16,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,16,16,18,18,18,18,18,18,18,10,18,18,18,18,18,18,17,10,10,23,0
1705604850,18,72,54,18,16,16,16,16,16,16,16,16,16,18,18,18,18,18,17,17,17,17,17,17,51,51,17,34,17,16,16,18,18,18,18,18,18,18,10,18,18,18,18,18,18,19,10,10,23,0
1705604865,15,60,45,15,14,14,14,14,14,14,14,14,14,15,15,15,15,15,16,16,16,16,16,16,48,48,16,32,16,16,16,12,12,12,12,12,12,12,10,12,12,12,12,12,12,12,10,10,23,0
1705604880,17,68,51,17,13,13,13,13,13,13,13,13,13,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,16,16,14,14,14,14,14,14,14,10,14,14,14,14,14,14,14,10,10,0,0
1705604895,11,44,33,11,22,22,22,22,22,22,22,22,22,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,14,14,19,19,19,19,19,19,19,10,19,19,19,19,19,19,19,10,10,0,0
1705604910,19,76,57,19,11,11,11,11,11,11,11,11,11,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,16,16,14,14,14,14,14,14,14,10,14,14,14,14,14,14,14,10,10,0,0
1705604925,12,48,36,12,13,13,13,13,13,13,13,13,13,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,18,18,15,15,15,15,15,15,15,10,15,15,15,15,15,15,15,10,10,0,0
1705604940,19,76,57,19,26,26,26,26,26,26,26,26,26,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,12,12,21,21,21,21,21,21,21,10,21,21,21,21,21,21,20,10,10,23,1
1705604955,18,72,54,18,8,8,8,8,8,8,8,8,8,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,15,15,14,14,14,14,14,14,14,10,14,14,14,14,14,14,15,10,10,0,0
1705604970,15,60,45,15,17,17,17,17,17,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,21,21,14,14,14,14,14,14,14,10,14,14,14,14,14,14,14,10,10,23,0
1705604985,14,56,42,14,18,18,18,18,18,20,20,20,20,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,13,13,16,15,15,15,15,14,14,10,14,14,14,14,14,14,14,10,10,0,0
1705605000,15,60,45,15,11,11,11,11,11,11,11,11,11,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,12,12,15,16,16,16,16,17,17,10,17,17,17,17,17,17,17,10,10,23,0
1705605015,16,64,48,16,14,14,14,14,14,14,14,14,14,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,20,20,12,12,12,12,12,12,12,10,12,12,12,12,12,12,12,10,10,0,0
1705605030,11,44,33,11,18,18,18,18,18,18,18,18,18,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,12,12,18,18,18,18,18,18,18,10,18,18,18,18,18,18,18,10,10,0,0
1705605045,18,72,54,18,13,13,13,13,13,13,13,13,13,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,13,13,14,14,14,14,14,14,14,10,14,14,14,13,13,13,13,10,10,23,0
1705605060,15,60,45,15,14,14,14,14,14,14,14,14,14,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,22,22,15,15,15,15,15,15,15,10,15,15,15,16,16,16,16,10,10,23,0
1705605075,15,60,45,15,16,16,16,16,16,16,16,16,16,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,11,11,15,15,15,15,15,15,15,10,15,15,15,15,15,15,15,10,10,46,0
1705605090,13,52,39,13,19,19,19,19,19,19,19,19,19,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,16,16,14,14,14,14,14,14,14,10,14,14,14,14,14,14,14,10,10,0,0
1705605105,17,68,51,17,12,12,12,12,12,12,12,12,12,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,13,13,18,18,18,18,18,18,18,10,18,18,18,18,18,18,18,10,10,23,0
1705605120,14,56,42,14,20,20,20,20,20,20,20,20,20,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,16,16,11,11,11,11,11,11,10,10,10,10,10,10,10,10,10,10,10,23,0
1705605135,14,56,42,14,11,11,11,11,11,11,11,11,11,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,17,17,23,23,23,23,23,23,24,10,24,24,24,24,24,24,24,10,10,0,0
1705605150,22,88,66,22,13,13,13,13,13,13,13,13,13,22,22,22,22,22,22,22,22,22,22,22,66,66,22,44,22,13,13,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,0
1705605165,10,40,30,10,20,20,20,20,20,20,20,20,20,10,10,10,10,10,10,10,10,10,10,10,30,30,10,20,10,17,17,15,15,15,15,15,15,14,10,14,14,14,14,14,14,14,10,10,46,0
1705605180,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,13,13,20,20,20,20,20,20,21,10,21,21,21,21,21,21,21,10,10,23,0
1705605195,18,72,54,18,9,9,9,9,9,9,9,9,9,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,18,18,11,11,11,11,11,11,11,10,11,11,11,11,11,11,11,10,10,0,0
1705605210,11,44,33,11,17,17,17,17,17,17,17,17,17,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,17,17,15,15,15,14,14,14,14,10,14,14,14,14,14,14,14,10,10,0,0
1705605225,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,11,11,17,17,17,18,18,18,18,10,18,18,18,18,18,18,18,10,10,0,0
1705605240,16,64,48,16,18,18,18,18,18,18,18,18,18,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,18,18,11,11,11,11,11,11,11,10,11,11,11,11,11,11,11,10,10,23,0
1705605255,15,60,45,15,12,12,12,12,12,12,12,12,12,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,15,15,19,19,19,19,19,19,19,10,19,19,19,19,19,19,19,10,10,23,0
1705605270,14,56,42,14,16,16,16,16,16,16,16,16,16,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,16,16,15,15,15,15,15,15,15,10,15,15,15,15,15,15,15,10,10,0,0
1705605285,14,56,42,14,16,16,16,16,16,16,16,16,16,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,14,14,20,20,20,20,20,20,20,10,20,20,20,20,20,20,20,10,10,0,0
1705605300,20,80,60,20,14,14,14,14,14,14,14,14,14,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,15,15,9,9,9,9,9,9,9,10,9,9,9,9,9,9,9,10,10,0,0
1705605315,14,56,42,14,18,18,18,18,18,18,18,18,18,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,17,17,16,16,16,16,16,16,15,10,15,15,15,15,15,15,15,10,10,0,0
1705605330,14,56,42,14,19,19,19,19,19,19,19,19,19,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,14,14,20,20,20,20,20,20,21,10,21,21,21,21,21,21,21,10,10,46,0
1705605345,19,76,57,19,13,13,13,13,13,13,13,13,13,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,16,16,17,17,17,17,17,17,17,10,17,17,17,17,17,17,17,10,10,0,0
1705605360,15,60,45,15,11,11,11,11,11,11,11,11,11,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,20,20,12,12,12,12,12,12,12,10,12,12,12,12,12,12,12,10,10,23,0
1705605375,16,64,48,16,22,22,22,22,22,22,22,22,22,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,16,16,13,13,13,13,13,13,13,10,13,13,13,13,13,13,13,10,10,0,0
1705605390,11,44,33,11,17,17,17,17,17,17,17,17,17,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,11,11,20,20,20,20,20,20,20,10,20,20,20,20,20,20,20,10,10,0,0
1705605405,21,84,63,21,10,10,10,10,10,10,10,10,10,21,21,21,21,21,21,21,21,21,21,21,63,63,21,42,21,20,20,16,16,16,16,16,16,16,10,16,16,16,16,16,16,16,10,10,23,0
1705605420,17,68,51,17,8,8,8,8,8,8,8,8,8,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,15,15,9,9,9,9,9,9,9,10,9,9,9,9,9,9,9,10,10,46,0
1705605435,5,20,15,5,27,27,27,27,27,27,27,27,27,5,5,5,5,5,5,5,5,5,5,5,15,15,5,10,5,13,13,17,17,17,17,17,17,17,10,17,17,17,17,17,17,17,10,10,46,0
