time,front-end_1,front-end_2,front-end_3,front-end_4,front-end_5,catalogue_6,front-end_7,front-end_8,user_9,front-end_10,front-end_11,user_12,front-end_13,front-end_14,user_15,front-end_16,user_17,front-end_18,front-end_19,front-end_20,front-end_21,front-end_22,front-end_23,front-end_24,catalogue_25,payment_26,catalogue_27,front-end_28,front-end_29,user_30,front-end_31,front-end_32,front-end_33,front-end_34,front-end_35,user_36,user_37,orders_38,payment_39,orders_40,shipping_41,queue-master_42,queue-master_43,queue-master_44,queue-master_45,queue-master_46,front-end_47,front-end_48,carts_49,orders-db_50,user_51
1705731120,8,8,8,8,8,8,8,8,6,8,7,7,7,7,7,9,9,9,9,9,9,9,9,9,6,6,6,6,9,36,27,9,9,9,9,9,9,9,9,9,9,9,9,27,27,9,18,9,23,0,0
1705731135,14,14,14,14,14,14,14,14,10,14,14,14,14,14,14,13,13,13,13,13,13,13,13,13,10,10,18,18,19,76,57,19,19,19,19,19,19,19,19,19,18,18,18,54,54,18,36,18,46,0,0
1705731150,15,15,14,14,14,14,14,14,10,14,15,15,15,15,15,18,18,18,18,18,18,18,18,18,10,10,17,17,14,56,42,14,14,14,14,14,14,14,14,14,15,15,15,45,45,15,30,15,0,0,0
1705731165,19,19,20,20,20,20,20,20,10,20,19,19,19,19,19,17,17,17,17,17,17,17,17,17,10,10,12,12,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,0,0,0
1705731180,11,11,11,11,11,11,11,11,10,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,10,10,16,16,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,46,0,0
1705731195,19,19,19,19,19,19,19,19,10,19,19,19,19,19,19,17,17,17,17,17,17,17,17,17,10,10,16,16,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,46,0,0
1705731210,14,14,14,14,14,14,14,14,10,14,14,14,14,14,14,12,12,12,12,12,12,12,12,12,10,10,11,11,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,0,0,0
1705731225,10,10,10,10,10,10,10,10,10,10,11,10,10,10,10,18,18,18,18,18,18,18,18,18,10,10,22,22,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,0,0,0
1705731240,22,22,22,22,22,22,22,22,10,22,21,22,22,22,22,13,13,13,13,13,13,13,13,13,10,10,8,8,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,23,0,0
1705731255,11,11,11,11,11,11,11,11,10,11,11,11,11,11,11,14,14,14,14,14,14,14,14,14,10,10,18,18,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,0,0,0
1705731270,14,14,14,14,14,14,14,14,10,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,10,14,14,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,0,0,0
1705731285,21,20,20,20,20,20,20,20,10,20,21,21,21,21,21,17,17,17,17,17,17,17,17,17,10,10,13,13,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,0,0,0
