time,front-end_1,user_2,front-end_3,front-end_4,front-end_5,front-end_6,front-end_7,user_8,user_9,orders_10,payment_11,orders_12,shipping_13,catalogue_14,queue-master_15,queue-master_16,queue-master_17,queue-master_18,queue-master_19,front-end_20,front-end_21,front-end_22,front-end_23,user_24,front-end_25,front-end_26,front-end_27,front-end_28,front-end_29,front-end_30,front-end_31,front-end_32,user_33,front-end_34,front-end_35,user_36,front-end_37,catalogue_38,front-end_39,front-end_40,front-end_41,front-end_42,catalogue_43,front-end_44,front-end_45,front-end_46,payment_47,user_48,carts_49,user_50
1705732710,8,32,24,8,8,8,8,8,8,8,8,8,8,8,8,8,24,24,8,8,16,8,9,9,9,9,9,9,9,9,9,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,6,4,23,0
1705732725,14,56,42,14,14,14,14,14,14,14,14,14,14,15,14,14,42,42,14,15,28,14,21,21,21,21,21,21,21,21,21,13,13,13,13,13,13,10,13,13,13,13,13,13,13,13,10,10,0,0
1705732740,10,40,30,10,10,10,10,10,10,10,10,10,10,18,10,10,30,30,10,18,20,10,15,15,15,15,15,15,15,15,15,26,26,26,26,26,26,10,26,26,26,26,26,26,26,26,10,10,23,0
1705732755,26,104,78,26,26,26,26,26,26,26,26,26,26,16,26,26,78,78,26,16,52,26,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,0
1705732770,11,44,33,11,11,11,11,11,11,11,11,11,11,16,11,11,33,33,11,16,22,11,18,18,18,18,18,18,18,18,18,14,14,14,14,14,14,10,14,14,14,14,14,14,14,14,10,10,0,0
1705732785,13,52,39,13,13,13,13,13,13,13,13,13,13,15,13,13,39,39,13,15,26,13,12,12,12,12,12,12,12,12,12,19,19,19,19,19,19,10,19,19,19,19,19,19,19,19,10,10,23,0
1705732800,16,64,48,16,16,16,16,16,16,16,16,16,16,12,16,16,48,48,16,12,32,16,18,18,18,18,18,18,18,18,18,6,6,6,6,6,6,10,6,6,6,6,6,6,6,6,10,10,23,0
1705732815,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,14,28,14,17,17,17,17,17,17,17,17,17,23,23,23,23,23,23,10,23,23,23,23,23,23,23,23,10,10,69,0
1705732830,21,84,63,21,21,21,21,21,21,21,21,21,21,15,21,21,63,63,21,15,42,21,9,9,9,9,9,9,9,9,9,11,11,11,11,11,11,10,11,11,11,11,11,11,11,11,10,10,0,0
1705732845,9,36,27,9,9,9,9,9,9,9,9,9,9,19,9,9,27,27,9,19,18,9,12,12,12,12,12,12,12,12,12,16,16,16,16,16,16,10,16,16,16,16,16,16,16,16,10,10,23,0
1705732860,16,64,48,16,16,16,16,16,16,16,16,16,16,9,16,16,48,48,16,9,32,16,18,18,18,18,18,18,18,18,18,14,14,14,14,13,14,10,14,14,14,14,14,14,14,14,10,10,46,1
1705732875,12,48,36,12,12,12,12,12,12,12,12,12,12,19,12,12,36,36,12,19,24,12,21,21,21,21,21,21,21,21,21,17,17,17,17,17,17,10,17,17,17,17,17,17,17,17,10,10,0,0
1705732890,19,76,57,19,19,19,19,19,19,19,19,19,19,14,19,19,57,57,19,14,38,19,12,12,12,12,12,12,12,12,12,14,14,14,14,14,14,10,14,14,14,14,14,14,14,14,10,10,23,0
1705732905,15,60,45,15,15,15,15,15,15,15,15,15,15,17,15,15,45,45,15,17,30,15,15,15,15,15,15,15,15,15,15,12,12,12,12,12,12,10,12,12,12,12,12,12,12,12,10,10,0,0
1705732920,14,56,42,14,14,14,14,14,14,14,14,14,14,13,14,14,42,42,14,13,28,14,14,14,14,14,14,14,14,14,14,18,18,18,18,18,18,10,18,18,18,18,18,18,18,18,10,10,0,0
1705732935,14,56,42,14,14,14,14,14,14,14,14,14,14,17,14,14,42,42,14,17,28,14,12,12,12,12,12,12,12,12,12,15,15,15,15,15,15,10,15,15,15,15,15,15,15,15,10,10,0,0
1705732950,18,72,54,18,18,18,18,18,18,18,18,18,18,15,18,18,54,54,18,15,36,18,17,17,17,17,17,17,17,17,17,16,16,16,16,16,16,10,16,16,16,16,16,16,16,16,10,10,46,0
1705732965,16,64,48,16,16,16,16,16,16,16,16,16,16,14,16,16,48,48,16,14,32,16,16,16,16,16,16,16,16,16,16,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,0
1705732980,10,40,30,10,10,10,10,10,10,10,10,10,10,16,10,10,30,30,10,16,20,10,17,17,17,17,17,17,17,17,17,19,19,19,19,19,19,10,18,18,18,18,18,18,18,18,10,10,23,0
1705732995,20,80,60,20,20,20,20,20,20,20,20,20,20,9,20,20,60,60,20,9,40,20,14,14,14,14,14,14,14,14,14,15,15,15,15,15,15,10,16,16,16,16,16,16,16,16,10,10,69,0
1705733010,13,52,39,13,13,13,13,13,13,13,13,13,13,22,13,13,39,39,13,22,26,13,13,13,13,13,13,13,13,13,13,17,17,17,17,17,17,10,17,17,17,17,17,17,17,17,10,10,23,0
1705733025,17,68,51,17,17,17,17,17,17,17,17,17,17,18,17,17,51,51,17,18,34,17,17,17,17,17,17,17,17,17,17,15,15,15,15,15,15,10,15,15,15,15,15,15,15,15,10,10,23,0
1705733040,15,60,45,15,15,15,15,15,15,15,15,15,15,12,15,15,45,45,15,12,30,15,19,19,19,19,19,19,19,19,19,16,16,16,16,16,16,10,16,16,16,16,16,16,16,16,10,10,0,0
1705733055,19,76,57,19,19,19,19,19,19,19,19,19,19,15,19,19,57,57,19,15,38,19,12,12,12,12,12,12,12,12,12,16,16,16,16,16,16,10,16,16,16,16,16,16,16,16,10,10,23,0
1705733070,12,48,36,12,12,12,12,12,12,12,12,12,12,20,12,12,36,36,12,20,24,12,18,18,18,18,18,18,18,18,18,14,14,14,14,14,14,10,14,14,14,14,14,14,14,14,10,10,0,0
1705733085,15,60,45,15,15,15,15,15,15,15,15,15,15,12,15,15,45,45,15,12,30,15,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,10,13,13,13,13,13,13,13,13,10,10,23,0
1705733100,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,13,26,13,18,18,18,18,18,18,18,18,18,17,17,17,17,17,17,10,17,17,17,17,17,17,17,17,10,10,23,0
1705733115,18,72,54,18,18,18,18,18,18,18,18,18,18,17,18,18,54,54,18,17,36,18,9,9,9,9,9,9,9,9,9,15,15,15,15,15,15,10,15,15,15,15,15,15,15,15,10,10,0,0
1705733130,13,52,39,13,13,13,13,13,13,13,13,13,13,16,13,13,39,39,13,16,26,13,21,21,21,21,21,21,21,21,21,14,14,14,14,14,14,10,14,14,14,14,14,14,14,14,10,10,0,0
1705733145,15,60,45,15,15,15,15,15,15,15,15,15,15,10,15,15,45,45,15,10,30,15,18,18,18,18,18,17,17,17,17,19,19,19,19,19,19,10,19,19,19,19,19,19,19,19,10,10,0,0
1705733160,16,64,48,16,16,16,16,16,16,16,16,16,16,20,16,16,48,48,16,20,32,16,13,13,13,13,13,14,14,14,14,15,15,15,15,15,15,10,15,15,15,15,14,14,14,14,10,10,23,0
1705733175,17,68,51,17,17,17,17,17,17,17,17,17,17,18,17,17,51,51,17,18,34,17,15,15,15,15,15,15,15,15,15,16,16,16,16,16,16,10,16,16,16,16,17,17,17,17,10,10,69,0
1705733190,18,72,54,18,18,18,18,18,18,18,18,18,18,15,18,18,54,54,18,15,36,18,14,14,14,14,14,14,14,14,14,16,16,16,16,16,16,10,16,16,16,16,16,16,16,15,10,10,0,0
1705733205,13,52,39,13,13,13,13,13,13,13,13,13,13,15,13,13,39,39,13,15,26,13,15,15,15,15,15,15,15,15,15,12,12,12,12,12,12,10,12,12,12,12,12,12,12,13,10,10,0,0
1705733220,12,48,36,12,12,12,12,12,12,12,12,12,12,15,12,12,36,36,12,15,24,12,17,17,17,17,17,17,17,17,17,21,21,21,21,21,21,10,21,21,21,21,21,21,21,21,10,10,0,0
1705733235,22,88,66,22,22,22,22,22,22,22,22,22,22,14,22,22,66,66,22,14,44,22,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,10,13,13,13,13,13,13,13,13,10,10,0,0
1705733250,14,56,42,14,14,14,14,14,14,14,14,14,14,19,14,14,42,42,14,19,28,14,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,10,17,16,16,16,16,16,16,16,10,10,23,0
1705733265,11,44,33,11,11,11,11,11,11,11,11,11,11,10,11,11,33,33,11,10,22,11,21,21,21,21,21,21,21,21,21,13,13,13,13,13,13,10,13,14,14,14,14,14,14,14,10,10,0,0
1705733280,18,72,54,18,18,18,18,18,18,18,18,18,18,17,18,18,54,54,18,17,36,18,13,13,13,13,13,13,13,13,13,17,17,17,17,17,17,10,17,17,17,17,17,17,17,17,10,10,0,0
1705733295,17,68,51,17,17,17,17,17,17,17,17,17,17,19,17,17,51,51,17,19,34,17,13,13,13,13,13,13,13,13,13,15,15,15,15,15,15,10,15,15,15,15,15,15,15,15,10,10,0,0
1705733310,15,60,45,15,15,15,15,15,15,14,14,14,14,16,14,14,42,42,14,16,28,14,22,22,22,22,22,22,22,22,22,20,20,20,20,20,20,10,20,20,20,20,20,20,20,20,10,10,23,0
1705733325,19,76,57,19,19,19,19,19,19,20,20,20,20,13,20,20,60,60,20,13,40,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,0
1705733340,12,48,36,12,12,12,12,12,12,12,12,12,12,19,12,12,36,36,12,19,24,12,17,17,17,17,17,17,17,17,17,15,15,15,15,15,15,10,15,15,15,15,15,15,15,15,10,10,0,0
1705733355,14,56,42,14,14,14,14,14,14,14,14,14,14,10,14,14,42,42,14,10,28,14,12,12,12,12,12,12,12,12,12,18,18,18,18,18,18,10,18,18,18,17,17,17,17,17,10,10,23,0
1705733370,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,18,36,18,16,16,16,16,16,16,16,16,16,10,10,10,10,10,9,10,9,9,9,10,10,10,10,10,10,10,0,0
1705733385,8,32,24,8,8,8,8,8,8,8,8,8,8,15,8,8,24,24,8,15,16,8,14,14,14,14,14,14,14,14,14,18,18,18,18,18,19,10,19,19,19,19,19,19,19,19,10,10,23,0
1705733400,20,80,60,20,20,20,20,20,20,20,20,20,20,9,20,20,60,60,20,9,40,20,15,15,15,15,15,15,15,15,15,14,14,14,14,14,14,10,14,14,14,14,14,14,14,14,10,10,23,0
1705733415,14,56,42,14,14,14,14,14,14,14,14,14,14,20,14,14,42,42,14,20,28,14,16,16,16,16,16,16,16,16,16,13,13,13,13,13,13,10,13,13,13,13,13,13,13,13,10,10,0,0
1705733430,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,15,30,15,15,15,15,15,15,15,15,15,15,17,17,17,17,17,17,10,17,17,17,17,17,17,17,17,10,10,0,0
1705733445,17,68,51,17,17,17,17,17,17,17,17,17,17,13,17,17,51,51,17,13,34,17,15,15,15,15,15,15,15,15,15,17,17,17,17,17,17,10,17,17,17,17,17,17,17,17,10,10,0,0
1705733460,14,56,42,14,14,14,14,14,14,14,14,14,14,19,14,14,42,42,14,19,28,14,12,12,12,12,12,12,12,12,12,9,9,9,9,9,9,10,9,9,9,9,9,9,9,9,10,10,0,0
1705733475,8,32,24,8,8,8,8,8,8,8,8,8,8,14,8,8,24,24,8,14,16,8,18,18,18,18,18,18,18,18,18,20,20,20,20,20,20,10,20,20,20,20,20,20,20,20,10,10,69,0
1705733490,23,92,69,23,23,23,23,23,23,23,23,23,23,10,23,23,69,69,23,10,46,23,15,15,15,15,15,15,15,15,15,14,14,14,14,14,14,10,14,14,14,14,14,14,14,14,10,10,0,0
1705733505,16,64,48,16,16,16,16,16,16,16,16,16,16,20,16,16,48,48,16,20,32,16,11,11,11,11,11,11,11,11,11,13,13,13,13,13,13,10,13,13,13,13,13,13,13,13,10,10,23,0
