POD,NODE_NAME
carts-795df7fd79-d8qqr,gke-gke-cluster-ss-default-pool-aa4d7ed2-9gn2
carts-db-5d88c7dddc-fl6wv,gke-gke-cluster-ss-default-pool-aa4d7ed2-fayo
catalogue-6999fd64d9-5k5nt,gke-gke-cluster-ss-default-pool-aa4d7ed2-vh5c
catalogue-db-554cbfd749-rxfxb,gke-gke-cluster-ss-default-pool-aa4d7ed2-9gn2
front-end-75b898f665-wsdjh,gke-gke-cluster-ss-default-pool-aa4d7ed2-vh5c
loadgenerator-564d55cfcb-9v77m,gke-gke-cluster-ss-default-pool-aa4d7ed2-vh5c
orders-688f957476-pbs2h,gke-gke-cluster-ss-default-pool-aa4d7ed2-fayo
orders-db-7c75b66575-qlt56,gke-gke-cluster-ss-default-pool-aa4d7ed2-9gn2
payment-766c44b5dc-tr2wp,gke-gke-cluster-ss-default-pool-aa4d7ed2-fayo
queue-master-5f47847cd-48xtm,gke-gke-cluster-ss-default-pool-aa4d7ed2-vh5c
rabbitmq-5dcbdd5997-vv6l2,gke-gke-cluster-ss-default-pool-aa4d7ed2-9gn2
session-db-6f9cdc9746-f4m2q,gke-gke-cluster-ss-default-pool-aa4d7ed2-fayo
shipping-6d4449fd75-kpk5v,gke-gke-cluster-ss-default-pool-aa4d7ed2-fayo
user-77c9d4d7cf-j2dk4,gke-gke-cluster-ss-default-pool-aa4d7ed2-9gn2
user-db-57c446cdbc-x2xbd,gke-gke-cluster-ss-default-pool-aa4d7ed2-9gn2
