time,front-end_1,user_2,front-end_3,front-end_4,front-end_5,front-end_6,front-end_7,front-end_8,user_9,user_10,orders_11,payment_12,orders_13,shipping_14,queue-master_15,queue-master_16,queue-master_17,queue-master_18,queue-master_19,front-end_20,front-end_21,catalogue_22,front-end_23,front-end_24,user_25,front-end_26,front-end_27,user_28,front-end_29,front-end_30,front-end_31,front-end_32,front-end_33,catalogue_34,front-end_35,front-end_36,front-end_37,user_38,front-end_39,front-end_40,front-end_41,catalogue_42,front-end_43,front-end_44,front-end_45,front-end_46,payment_47,user_48,carts_49,user_50,carts_51,user-db_52
1705644270,14,56,42,14,14,9,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,14,14,9,9,9,9,9,9,9,9,9,9,9,9,9,15,15,15,15,15,8,15,15,15,15,8,8,0,0,0,0
1705644285,12,48,36,12,12,17,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,12,12,16,16,16,16,16,16,16,16,16,16,16,16,16,13,13,13,13,13,10,12,12,12,12,10,10,0,0,0,0
1705644300,15,60,45,15,15,7,15,15,15,15,14,14,14,14,14,14,42,42,14,28,14,12,12,16,16,16,16,16,16,16,14,14,14,14,14,14,17,17,17,17,17,10,16,16,16,16,10,10,0,0,0,0
1705644315,7,28,21,7,7,21,7,7,7,7,8,8,8,8,8,8,24,24,8,16,8,15,15,14,14,14,14,14,14,14,16,16,16,16,16,16,11,11,11,11,11,10,13,13,13,13,10,10,0,0,0,0
1705644330,23,92,69,23,23,13,23,23,23,23,23,23,23,23,23,23,69,69,23,46,23,9,9,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12,10,12,12,12,12,10,10,0,0,0,0
1705644345,9,36,27,9,9,12,9,9,9,9,9,9,9,9,9,9,27,27,9,18,9,19,19,14,14,14,14,14,14,14,13,13,13,13,13,13,15,15,15,15,15,10,15,15,15,15,10,10,0,0,0,0
1705644360,16,64,48,16,16,11,16,16,16,16,15,15,15,15,15,15,45,45,15,30,15,13,13,15,15,15,15,15,15,15,14,14,14,14,14,14,19,19,19,19,19,10,14,14,14,14,10,10,0,0,0,0
1705644375,10,40,30,10,10,17,10,10,10,10,11,11,11,11,11,11,33,33,11,22,11,15,15,15,15,15,15,15,15,15,16,16,16,16,16,16,10,10,10,10,10,10,15,15,15,15,10,10,23,0,0,0
1705644390,19,76,57,19,19,14,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,13,13,13,13,13,10,13,13,13,13,10,10,0,0,0,0
1705644405,11,44,33,11,11,14,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,19,19,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,14,14,14,14,10,10,0,0,0,0
1705644420,14,56,42,14,14,12,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,16,16,17,17,17,17,17,17,17,15,15,15,15,15,15,16,16,16,16,16,10,14,14,14,14,10,10,23,0,0,0
1705644435,15,60,45,15,15,14,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,7,7,13,13,13,13,13,13,13,14,14,14,14,14,14,18,18,18,18,18,10,15,15,15,15,10,10,23,0,0,0
1705644450,14,56,42,14,14,19,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,17,17,15,15,15,15,15,15,15,16,16,16,16,16,16,6,6,6,6,6,10,11,11,11,11,10,10,0,0,0,0
1705644465,17,68,51,17,17,11,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,14,14,11,11,11,11,11,11,11,11,11,11,11,11,11,13,13,13,13,13,10,13,13,13,13,10,10,0,0,0,0
1705644480,9,36,27,9,9,11,9,9,9,9,9,9,9,9,9,9,27,27,9,18,9,14,14,17,17,17,17,17,17,17,17,17,17,17,17,17,18,18,18,18,18,10,15,15,15,15,10,10,0,0,0,0
1705644495,14,56,42,14,14,16,14,14,14,14,12,12,12,12,12,12,36,36,12,24,12,12,12,16,16,16,16,16,16,15,13,13,13,13,13,13,16,16,16,16,16,10,17,17,17,17,10,10,23,0,0,0
1705644510,14,56,42,14,14,16,14,14,14,14,16,16,16,16,16,16,48,48,16,32,16,17,17,13,13,13,13,13,13,14,14,14,14,14,14,14,9,9,9,9,9,10,11,11,11,11,10,10,0,0,0,0
1705644525,19,76,57,19,19,10,19,19,19,19,17,17,17,17,17,17,51,51,17,34,17,10,10,13,13,13,13,13,13,13,11,11,11,11,11,11,14,14,14,14,14,10,14,14,14,14,10,10,23,0,0,0
1705644540,6,24,18,6,6,17,6,6,6,6,8,8,8,8,8,8,24,24,8,16,8,17,17,12,12,12,12,12,12,12,16,16,16,16,16,16,14,14,14,14,14,10,14,14,14,14,10,10,46,0,0,0
1705644555,20,80,60,20,20,11,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,9,9,13,13,13,13,13,13,13,12,12,12,12,12,12,14,14,14,14,14,10,13,13,13,13,10,10,23,0,0,0
1705644570,11,44,33,11,11,16,11,11,11,11,10,10,10,10,10,10,30,30,10,20,10,19,19,18,18,18,17,17,17,17,18,18,18,18,18,18,16,16,16,16,16,10,16,16,16,16,10,10,0,0,0,0
1705644585,15,60,45,15,15,16,15,15,15,15,16,16,16,16,16,16,48,48,16,32,16,13,13,12,12,12,13,13,13,13,13,13,13,13,13,13,14,14,14,14,14,10,14,14,14,14,10,10,23,0,0,0
1705644600,16,64,48,16,16,10,16,16,16,16,15,15,15,15,15,15,45,45,15,30,15,13,13,16,16,16,16,16,16,16,15,15,15,15,15,15,19,19,19,19,19,10,18,18,18,18,10,10,0,0,0,0
1705644615,11,44,33,11,11,19,11,11,11,11,12,12,12,12,12,12,36,36,12,24,12,15,15,14,14,14,14,14,14,14,14,14,14,14,14,14,11,11,11,11,11,10,13,13,13,13,10,10,0,0,0,0
1705644630,16,64,48,16,16,13,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,12,12,13,13,13,13,13,13,13,14,14,14,14,14,14,13,13,13,13,13,10,13,13,13,13,10,10,92,0,0,0
1705644645,16,64,48,16,16,12,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,21,21,12,12,12,12,12,12,12,12,12,12,12,12,12,14,14,14,14,14,10,14,14,14,14,10,10,23,0,0,0
1705644660,12,48,36,12,12,14,12,12,12,12,11,11,11,11,11,11,33,33,11,22,11,14,14,17,17,17,17,17,17,17,14,14,14,14,14,14,20,20,20,20,20,10,11,11,11,11,10,10,0,0,0,0
