POD,NODE_NAME
carts-795df7fd79-7jq5h,gke-gke-cluster-ss-default-pool-aa4d7ed2-9gn2
carts-db-5d88c7dddc-cnbxj,gke-gke-cluster-ss-default-pool-aa4d7ed2-fayo
catalogue-6999fd64d9-zvjct,gke-gke-cluster-ss-default-pool-aa4d7ed2-vh5c
catalogue-db-554cbfd749-694q2,gke-gke-cluster-ss-default-pool-aa4d7ed2-9gn2
front-end-75b898f665-zxqcn,gke-gke-cluster-ss-default-pool-aa4d7ed2-vh5c
loadgenerator-564d55cfcb-xhrn2,gke-gke-cluster-ss-default-pool-aa4d7ed2-vh5c
orders-688f957476-pgm7z,gke-gke-cluster-ss-default-pool-aa4d7ed2-fayo
orders-db-7c75b66575-c9jjk,gke-gke-cluster-ss-default-pool-aa4d7ed2-9gn2
payment-766c44b5dc-m26dr,gke-gke-cluster-ss-default-pool-aa4d7ed2-fayo
queue-master-5f47847cd-srdxz,gke-gke-cluster-ss-default-pool-aa4d7ed2-vh5c
rabbitmq-5dcbdd5997-tmz87,gke-gke-cluster-ss-default-pool-aa4d7ed2-9gn2
session-db-6f9cdc9746-tcrgs,gke-gke-cluster-ss-default-pool-aa4d7ed2-fayo
shipping-6d4449fd75-s9zj2,gke-gke-cluster-ss-default-pool-aa4d7ed2-fayo
user-77c9d4d7cf-2z4sm,gke-gke-cluster-ss-default-pool-aa4d7ed2-9gn2
user-db-57c446cdbc-g6rkg,gke-gke-cluster-ss-default-pool-aa4d7ed2-9gn2
