time,front-end_1,front-end_2,front-end_3,front-end_4,front-end_5,front-end_6,front-end_7,catalogue_8,front-end_9,front-end_10,front-end_11,catalogue_12,front-end_13,front-end_14,user_15,front-end_16,front-end_17,user_18,front-end_19,user_20,front-end_21,catalogue_22,payment_23,front-end_24,user_25,front-end_26,front-end_27,front-end_28,front-end_29,front-end_30,user_31,user_32,orders_33,payment_34,orders_35,shipping_36,queue-master_37,queue-master_38,queue-master_39,queue-master_40,queue-master_41,front-end_42,front-end_43,front-end_44,user_45,front-end_46,front-end_47,front-end_48,carts_49,user_50,user-db_51,user_52,user_53,user_54
1705744665,10,10,10,10,13,13,13,13,13,13,13,11,11,13,13,13,12,12,12,8,12,8,8,9,36,27,9,9,9,9,9,9,9,9,9,9,9,9,27,27,9,18,9,9,9,9,9,9,23,0,0,0,0,0
1705744680,21,21,21,21,19,19,19,19,19,19,19,16,16,18,18,18,19,19,19,10,19,10,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,21,21,21,21,21,0,0,0,0,0,0
1705744695,11,11,11,11,17,17,17,17,17,17,17,13,13,17,17,17,17,17,17,10,17,10,10,20,79,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,12,12,11,11,11,46,1,0,0,0,0
1705744710,16,16,16,16,14,14,14,14,14,14,14,19,19,14,14,14,14,14,14,10,14,10,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,15,15,16,16,16,0,0,0,0,0,0
1705744725,15,15,15,15,13,13,13,13,13,13,13,11,11,13,13,13,13,13,13,10,13,10,10,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,15,15,15,15,15,0,0,1,0,0,0
1705744740,13,13,13,13,13,13,13,13,13,13,13,16,16,13,13,13,13,13,13,10,13,10,10,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,13,13,13,13,13,0,0,0,0,0,0
1705744755,19,19,19,19,18,18,18,18,18,18,18,15,15,18,18,18,18,18,18,10,18,10,10,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,19,19,19,19,19,23,0,0,0,0,0
1705744770,13,13,13,13,13,13,13,13,13,13,13,14,14,13,13,13,13,13,13,10,13,10,10,15,60,45,15,15,15,15,14,15,15,15,15,15,15,15,45,45,15,30,15,13,13,13,13,13,23,0,0,1,0,0
1705744785,18,18,18,18,19,19,19,19,19,19,18,15,15,20,20,20,20,20,19,10,19,10,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,18,18,18,18,18,46,0,0,0,0,0
1705744800,18,18,18,18,17,17,17,17,17,17,18,17,17,17,17,17,17,17,18,10,17,10,10,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,18,18,18,18,18,23,0,0,0,0,0
1705744815,15,15,15,15,16,16,16,16,16,16,16,18,18,15,15,15,15,15,15,10,16,10,10,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,15,15,15,15,15,23,0,0,0,0,0
1705744830,13,13,13,13,13,13,13,13,13,13,13,17,17,13,13,13,13,13,13,10,13,10,10,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,13,13,13,13,13,0,0,0,0,0,0
1705744845,19,19,19,19,16,16,16,16,16,16,16,14,14,16,16,16,16,16,16,10,16,10,10,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,19,19,19,19,19,0,0,0,0,0,0
1705744860,11,11,11,11,15,15,15,15,15,15,15,15,15,16,16,16,16,16,16,10,15,10,10,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,11,11,11,11,11,0,0,0,0,0,0
1705744875,18,18,18,18,17,17,17,17,17,17,17,17,17,16,16,16,16,16,16,10,17,10,10,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,18,18,18,18,18,0,0,0,0,0,0
1705744890,11,11,11,11,13,13,13,13,13,13,13,14,14,13,13,13,13,13,13,10,13,10,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,11,11,11,11,11,23,0,0,0,0,0
