time,front-end_1,user_2,front-end_3,front-end_4,front-end_5,front-end_6,front-end_7,user_8,user_9,orders_10,payment_11,orders_12,shipping_13,queue-master_14,queue-master_15,queue-master_16,queue-master_17,queue-master_18,front-end_19,front-end_20,catalogue_21,catalogue_22,front-end_23,payment_24,front-end_25,user_26,front-end_27,front-end_28,front-end_29,front-end_30,front-end_31,front-end_32,front-end_33,front-end_34,user_35,front-end_36,front-end_37,user_38,front-end_39,front-end_40,front-end_41,front-end_42,front-end_43,user_44,catalogue_45,front-end_46,front-end_47,front-end_48,carts_49,user_50,user-db_51,orders-db_52,orders-db_53,front-end_54,orders_55,orders_56,orders_57,orders_58,orders_59,orders_60,orders_61,orders_62,orders_63,orders_64,orders_65,orders_66,orders_67,orders_68,orders_69,orders_70,orders_71,orders_72,orders_73,orders_74,orders_75,orders_76,orders_77,orders_78,orders_79,orders-db_80,orders_81,orders_82,orders_83,orders_84,orders_85,orders_86,orders_87,orders_88,orders_89,orders_90,orders_91,orders_92,orders_93,orders_94,orders_95,orders_96,orders_97,orders_98,orders_99
1705822755,7,28,21,7,7,7,7,7,7,7,7,7,7,7,7,21,21,7,14,7,4,7,7,3,17,17,17,17,17,17,17,17,17,12,12,12,12,12,12,12,12,12,12,3,12,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705822770,25,100,75,25,25,25,25,25,25,25,25,25,25,25,25,75,75,25,50,25,5,14,14,5,8,8,8,8,8,8,8,8,8,19,19,19,19,19,19,19,19,19,19,5,19,19,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705822785,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,5,23,23,5,16,16,16,16,16,16,16,16,16,13,13,13,13,13,13,13,13,13,13,5,13,13,13,13,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705822800,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,8,13,13,5,16,16,16,16,16,16,16,16,16,14,14,14,14,14,14,14,14,14,14,7,14,14,14,14,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705822815,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,13,13,10,13,13,13,13,13,13,13,13,13,17,17,17,17,17,17,17,17,17,17,10,17,17,17,17,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705822830,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,15,15,10,17,17,17,17,17,17,17,17,17,16,16,16,16,16,16,16,16,16,16,10,16,16,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705822845,14,55,40,14,14,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,15,15,10,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,10,18,18,18,18,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705822860,20,81,62,20,20,21,21,21,21,21,21,21,21,21,21,60,60,20,40,20,10,14,14,10,15,15,15,15,15,15,15,15,15,14,14,14,14,14,14,14,14,14,14,10,14,14,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705822875,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,45,45,15,30,15,10,21,21,10,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,14,14,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705822890,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,10,10,10,15,15,15,15,15,15,15,15,15,16,16,16,16,16,16,16,16,16,16,10,16,16,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
