time,catalogue_1,front-end_2,front-end_3,user_4,front-end_5,front-end_6,front-end_7,front-end_8,front-end_9,user_10,user_11,orders_12,payment_13,orders_14,shipping_15,queue-master_16,queue-master_17,queue-master_18,queue-master_19,queue-master_20,front-end_21,front-end_22,front-end_23,user_24,front-end_25,front-end_26,user_27,front-end_28,front-end_29,front-end_30,front-end_31,front-end_32,catalogue_33,front-end_34,front-end_35,front-end_36,catalogue_37,payment_38,front-end_39,user_40,front-end_41,front-end_42,front-end_43,front-end_44,front-end_45,front-end_46,front-end_47,user_48,carts_49,user_50,user_51,user_52,user_53
1705847760,11,11,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,10,10,10,10,10,10,10,10,10,10,10,10,10,8,8,12,12,12,12,12,12,12,12,12,8,23,0,0,0,0
1705847775,15,15,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,10,16,16,16,16,16,16,16,16,16,10,23,0,0,0,0
1705847790,14,14,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,10,13,13,13,13,13,13,13,13,13,10,0,0,0,0,0
1705847805,16,16,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,19,19,19,19,19,19,19,19,19,19,19,19,19,19,10,10,15,15,15,15,15,15,15,15,15,10,0,0,0,0,0
1705847820,17,17,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,14,14,14,14,14,14,14,14,14,10,46,0,0,0,0
1705847835,13,13,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,17,17,17,17,17,16,15,15,15,15,15,15,15,15,10,10,21,21,21,21,21,21,21,21,21,10,23,0,0,0,0
1705847850,12,12,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,20,20,20,20,20,21,22,22,22,22,22,22,22,22,10,10,13,13,13,13,13,13,13,13,13,10,0,0,0,0,0
1705847865,23,23,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,10,0,0,0,0,0
1705847880,11,11,7,28,21,7,7,7,7,7,7,7,7,7,7,7,7,21,21,7,14,7,17,17,17,17,17,17,17,17,17,17,17,17,17,17,10,10,15,15,15,15,15,15,15,15,15,10,23,0,0,0,0
1705847895,11,11,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,14,14,14,14,14,14,14,14,14,14,14,14,14,13,10,10,17,17,17,17,17,17,17,17,17,10,23,0,0,0,0
1705847910,16,16,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,16,16,16,16,16,16,16,16,16,16,16,16,16,17,10,10,15,15,15,15,15,15,15,15,15,10,0,0,0,0,0
1705847925,17,17,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,10,16,16,16,16,16,16,16,16,16,10,23,0,0,0,0
1705847940,15,15,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,10,14,14,14,14,14,14,14,14,14,10,23,0,0,0,0
1705847955,13,13,18,72,54,18,18,18,18,18,18,18,18,18,18,17,17,51,51,17,34,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,10,10,14,14,14,14,14,14,14,14,14,10,0,0,0,0,0
1705847970,16,15,13,52,39,13,13,13,13,13,13,13,13,13,13,14,14,42,42,14,28,14,17,17,17,17,17,17,17,16,16,16,16,16,16,16,10,10,16,16,16,16,16,16,16,16,16,10,23,0,0,0,0
1705847985,18,19,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,10,0,0,0,0,0
1705848000,13,13,10,40,30,10,10,10,10,10,10,10,10,10,10,10,10,30,30,10,20,10,17,17,17,17,17,17,17,17,17,17,17,17,17,17,10,10,21,21,21,21,21,21,21,21,21,10,23,0,0,0,0
1705848015,12,12,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,24,24,24,24,24,24,24,24,24,24,23,23,23,23,10,10,13,13,13,13,13,13,13,13,13,10,23,0,0,0,0
1705848030,19,19,22,88,66,22,22,22,22,22,22,22,22,22,22,22,22,66,66,22,44,22,5,5,5,5,5,5,5,5,5,5,6,6,6,6,10,10,11,11,11,11,11,11,11,11,11,10,23,0,0,0,0
1705848045,14,14,5,20,15,5,5,5,5,5,5,5,5,5,5,5,5,15,15,5,10,5,18,18,18,18,18,18,18,18,18,18,18,18,18,18,10,10,21,21,21,21,21,21,21,21,21,10,0,0,0,0,0
1705848060,11,11,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,16,16,16,16,16,16,16,16,16,16,16,16,16,16,10,10,13,13,13,13,13,13,13,13,13,10,0,0,0,0,0
1705848075,23,23,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,10,16,16,16,16,16,16,16,16,16,10,0,0,0,0,0
1705848090,10,10,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,10,17,17,17,17,17,17,17,17,17,10,0,0,0,0,0
1705848105,15,15,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,10,10,13,13,13,13,13,13,13,13,13,10,0,0,0,0,0
1705848120,19,19,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,13,13,13,13,13,13,13,13,13,13,13,13,13,13,10,10,13,13,13,13,13,13,13,13,13,10,23,0,0,0,0
1705848135,14,14,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,13,13,13,13,13,13,13,13,13,13,13,13,13,13,10,10,15,15,15,15,15,15,15,15,15,10,0,0,0,0,0
1705848150,13,13,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,22,22,22,22,22,22,22,22,22,22,22,22,22,22,10,10,21,21,21,21,21,21,21,21,21,10,46,0,0,0,0
1705848165,15,15,24,96,72,24,24,24,24,24,24,24,24,24,24,24,24,72,72,24,48,24,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,9,9,9,9,9,9,9,9,9,10,0,0,0,0,0
1705848180,18,18,7,28,21,7,7,7,7,7,7,7,7,7,7,7,7,21,21,7,14,7,16,16,16,16,16,16,16,16,16,16,16,16,16,16,10,10,18,18,18,18,18,18,18,18,18,10,0,0,0,0,0
1705848195,10,10,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,21,21,21,21,21,21,21,21,21,21,21,21,21,21,10,10,16,16,16,16,16,16,16,16,16,10,23,0,0,0,0
1705848210,22,22,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,10,12,12,12,12,12,12,12,12,12,10,0,0,0,0,0
1705848225,16,16,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,10,10,20,19,19,19,19,19,19,19,19,10,0,0,0,0,0
