time,front-end_1,front-end_2,front-end_3,front-end_4,front-end_5,catalogue_6,front-end_7,user_8,front-end_9,front-end_10,user_11,front-end_12,front-end_13,front-end_14,front-end_15,front-end_16,catalogue_17,front-end_18,front-end_19,front-end_20,user_21,front-end_22,front-end_23,front-end_24,catalogue_25,front-end_26,payment_27,front-end_28,user_29,front-end_30,front-end_31,front-end_32,front-end_33,front-end_34,user_35,user_36,orders_37,payment_38,orders_39,shipping_40,queue-master_41,queue-master_42,queue-master_43,queue-master_44,queue-master_45,front-end_46,front-end_47,user_48,carts_49,orders_50,orders_51,front-end_52,front-end_53,user-db_54,orders_55,orders_56,orders-db_57,orders_58,orders-db_59,orders_60,orders_61,orders_62,orders-db_63,orders_64,orders_65,user_66
1705606290,13,16,16,16,16,10,11,11,11,11,11,11,11,11,11,11,11,11,11,15,15,15,15,15,14,14,10,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705606305,19,17,17,17,17,10,19,19,19,19,19,19,19,19,19,19,19,19,19,17,17,17,17,17,15,15,10,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705606320,11,9,9,9,9,10,11,11,11,11,11,11,11,11,11,11,11,11,11,9,9,9,9,9,16,16,10,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705606335,13,22,22,22,22,10,13,13,13,13,13,13,13,13,13,13,13,13,13,22,22,22,22,22,14,14,10,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705606350,20,15,15,15,15,10,20,20,20,20,20,20,20,20,20,20,20,20,20,15,15,15,15,15,14,14,10,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705606365,17,13,13,13,13,10,17,17,17,17,17,17,17,17,17,17,17,17,17,13,13,13,13,13,17,17,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705606380,16,20,20,20,20,10,16,16,16,16,16,16,16,16,16,16,16,16,16,20,20,20,20,20,14,14,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705606395,14,11,11,11,11,10,14,14,14,14,14,14,14,14,14,14,14,14,14,11,11,11,11,11,17,17,10,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705606410,17,21,21,21,21,10,17,17,17,17,17,17,17,17,17,17,17,17,17,21,21,21,21,21,16,16,10,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705606425,16,11,11,11,11,10,16,16,16,16,16,16,16,16,16,16,16,16,16,11,11,11,11,11,11,11,10,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705606440,9,13,13,13,13,10,9,9,9,9,9,9,9,9,9,9,9,9,9,13,13,13,13,13,22,22,10,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705606455,17,18,18,18,18,10,17,17,17,17,17,17,17,17,17,17,17,17,17,18,18,18,18,18,12,12,10,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,10,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705606470,20,17,17,17,17,10,20,20,20,20,20,20,20,20,20,20,20,20,20,17,17,17,17,17,13,13,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705606485,10,11,11,11,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,19,19,10,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705606500,17,15,15,15,15,10,17,17,17,17,17,17,17,17,17,17,17,17,17,15,15,15,15,15,16,16,10,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705606515,17,18,18,18,18,10,17,17,17,17,17,17,17,17,17,17,17,17,17,18,18,18,18,18,9,9,10,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705606530,13,13,13,13,13,10,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,21,21,10,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705606545,16,16,16,16,16,10,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,10,14,55,40,14,14,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705606560,15,16,16,16,16,10,15,15,15,15,15,15,15,15,15,15,15,15,15,16,16,16,16,16,10,10,10,14,57,44,14,14,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705606575,14,14,14,14,14,10,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,17,17,10,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705606590,15,17,17,17,17,10,16,16,16,16,16,16,15,15,15,15,15,15,15,17,17,17,17,17,17,17,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705606605,15,15,15,15,15,10,14,14,14,14,14,14,15,15,15,15,15,15,15,15,15,15,15,15,13,13,10,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705606620,18,14,14,14,14,10,19,19,19,19,19,19,18,18,18,18,18,18,18,14,14,14,14,14,16,16,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705606635,14,15,15,15,15,10,14,14,14,13,13,13,14,14,14,14,14,14,14,15,15,15,15,15,17,17,10,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705606650,17,17,17,17,17,10,16,16,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,14,14,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705606665,13,13,13,13,13,10,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,15,15,10,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705606680,17,19,19,19,19,10,17,17,17,17,17,17,17,17,17,17,17,17,17,19,19,19,19,19,15,15,10,10,40,30,10,10,10,10,10,10,10,10,10,10,10,10,30,30,10,20,10,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705606695,15,14,14,14,14,10,15,15,15,15,15,15,15,15,15,15,15,15,15,14,14,14,14,14,15,15,10,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705606710,14,17,17,17,17,10,15,15,15,15,15,15,14,14,14,14,14,14,14,17,17,17,17,17,17,17,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705606725,16,13,13,13,13,10,15,15,15,15,15,15,16,16,16,16,16,16,16,13,13,13,13,13,13,13,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705606740,12,13,13,13,13,10,12,12,12,12,12,12,12,12,12,12,12,12,12,13,13,13,13,13,18,18,10,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705606755,22,17,17,17,17,10,22,22,22,22,22,22,22,22,22,22,22,22,22,17,17,17,17,17,17,17,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705606770,11,21,21,21,21,10,12,12,12,12,12,12,12,12,12,12,12,12,12,21,21,21,21,21,12,12,10,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,10,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705606785,19,10,10,10,10,10,18,18,18,18,18,18,18,18,18,18,18,18,18,10,10,10,10,10,18,18,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
