time,front-end_1,catalogue_2,front-end_3,user_4,front-end_5,front-end_6,front-end_7,front-end_8,front-end_9,front-end_10,front-end_11,catalogue_12,front-end_13,payment_14,front-end_15,user_16,front-end_17,front-end_18,front-end_19,front-end_20,front-end_21,user_22,user_23,orders_24,payment_25,orders_26,shipping_27,queue-master_28,queue-master_29,queue-master_30,queue-master_31,queue-master_32,front-end_33,front-end_34,user_35,front-end_36,user_37,front-end_38,front-end_39,user_40,front-end_41,front-end_42,front-end_43,front-end_44,front-end_45,catalogue_46,front-end_47,front-end_48,carts_49,orders_50,orders_51,front-end_52,front-end_53,user_54,user_55
1705746255,12,8,12,12,12,12,12,12,12,12,12,9,9,8,5,20,15,5,5,5,5,5,5,5,5,5,5,5,5,15,15,5,10,5,6,11,11,11,11,11,11,11,11,11,11,11,11,11,0,0,0,0,0,0,0
1705746270,16,10,13,13,13,13,13,13,13,13,13,15,15,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,16,16,16,16,16,16,16,16,16,16,16,16,16,46,0,0,0,0,0,0
1705746285,16,10,16,16,16,16,16,16,16,16,16,15,15,10,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,16,16,16,16,16,16,16,16,16,16,16,16,16,0,0,0,0,0,0,0
1705746300,12,10,14,14,14,14,14,14,14,14,14,15,15,10,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,12,12,12,12,12,12,12,12,12,12,12,12,12,23,0,0,0,0,0,0
1705746315,17,10,15,15,15,15,15,15,15,15,15,15,15,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,17,17,17,17,17,17,17,17,17,17,17,17,17,23,0,0,0,0,0,0
1705746330,11,10,17,17,17,17,17,17,17,17,17,14,14,10,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,11,11,11,11,11,11,11,11,11,11,11,11,11,0,0,0,0,0,0,0
1705746345,21,10,14,14,14,14,14,14,14,14,14,15,15,10,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,21,21,21,21,21,21,21,21,21,21,21,21,21,0,0,0,0,0,0,0
1705746360,11,10,13,13,13,13,13,13,13,13,13,16,16,10,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,10,11,11,11,11,11,11,11,11,11,11,11,11,11,0,0,0,0,0,0,0
1705746375,14,10,12,12,12,12,12,12,12,12,12,14,14,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,14,14,14,14,14,14,14,14,14,14,14,14,14,0,0,0,0,0,0,0
1705746390,18,10,17,17,17,17,17,17,17,17,17,14,14,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,18,18,18,18,18,18,18,18,18,18,18,18,18,0,0,0,0,0,0,0
1705746405,12,10,15,15,15,15,15,15,15,15,15,16,16,10,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,10,12,12,12,12,12,12,12,12,12,12,12,12,12,0,0,0,0,0,0,0
1705746420,11,10,18,18,18,18,18,18,18,18,18,15,15,10,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,10,11,11,11,11,11,11,11,11,11,11,11,11,11,23,0,0,0,0,0,0
1705746435,19,10,13,13,13,13,13,13,13,13,13,14,14,10,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,10,19,19,19,19,19,19,19,19,19,19,19,19,19,0,0,0,0,0,0,0
1705746450,13,10,16,16,16,16,16,16,16,16,16,14,14,10,21,84,63,21,21,21,21,21,21,21,21,21,21,21,21,63,63,21,42,21,10,13,13,13,13,13,13,13,13,13,13,13,13,13,23,0,0,0,0,0,0
1705746465,21,10,17,17,17,17,17,17,17,17,17,15,15,10,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,10,21,21,21,21,21,21,21,21,21,21,21,21,21,0,0,0,0,0,0,0
1705746480,9,10,11,11,11,11,11,11,11,11,11,15,15,10,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,10,9,9,9,9,9,9,9,9,9,9,9,9,9,23,0,0,0,0,0,0
1705746495,17,10,13,13,13,13,13,13,13,13,13,18,18,10,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,10,17,17,17,17,17,17,17,17,17,17,17,17,17,0,0,0,0,0,0,0
1705746510,15,10,19,19,19,19,19,19,19,19,19,13,13,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,15,15,15,15,15,15,15,15,15,15,15,15,15,46,0,0,0,0,0,0
1705746525,14,10,13,13,13,13,13,13,13,13,13,15,15,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,15,15,15,15,15,15,15,15,15,15,15,15,15,0,0,0,0,0,0,0
1705746540,14,10,9,9,9,9,9,9,9,9,9,14,14,10,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,13,13,13,13,13,13,13,13,13,13,13,13,13,0,0,0,0,0,0,0
1705746555,13,10,23,23,23,23,23,23,23,23,23,16,16,10,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,15,15,15,15,15,15,15,15,15,15,15,15,15,0,0,0,0,0,0,0
1705746570,20,10,15,15,15,15,15,15,15,15,15,11,11,10,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,18,18,18,18,18,18,18,18,18,18,18,18,18,0,0,0,0,0,0,0
1705746585,14,10,12,12,12,12,12,12,12,12,12,23,23,10,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,14,14,14,14,14,14,14,14,14,14,14,14,14,23,0,0,0,0,0,0
1705746600,10,10,15,15,15,15,15,15,15,15,15,11,11,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0
1705746615,17,10,15,15,15,15,15,15,15,15,15,14,14,10,8,32,24,8,8,8,8,8,8,8,8,8,8,8,8,24,24,8,16,8,10,17,17,17,17,17,17,17,17,17,17,17,17,17,0,0,0,0,0,0,0
1705746630,16,10,17,17,17,17,17,16,16,16,16,11,11,10,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,10,16,16,16,16,16,16,16,16,16,16,16,16,16,0,0,0,0,0,0,0
1705746645,14,10,12,12,12,12,12,13,13,13,13,19,19,10,17,68,51,17,17,17,17,17,17,17,17,17,16,16,16,48,48,16,32,16,10,14,14,14,14,14,14,14,14,14,14,14,14,14,0,0,0,0,0,0,0
1705746660,15,10,21,21,21,21,21,21,21,21,21,15,15,10,12,48,36,12,12,12,12,12,12,12,12,12,13,13,13,39,39,13,26,13,10,15,15,15,15,15,15,15,15,15,15,15,15,15,0,0,0,0,0,0,0
1705746675,20,10,12,12,12,12,12,12,12,12,12,12,12,10,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,0,0,0,0,0
1705746690,15,10,16,16,16,16,16,16,16,16,16,23,23,10,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,15,15,15,15,15,15,15,15,15,15,15,15,15,0,0,0,0,0,0,0
1705746705,14,10,12,12,12,12,12,12,12,12,12,11,11,10,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,10,15,15,15,15,15,15,15,15,15,14,14,14,14,46,0,0,0,0,0,0
1705746720,17,10,19,19,19,19,19,19,19,19,19,16,16,10,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,16,16,16,16,16,16,16,16,16,17,17,17,17,46,0,0,0,0,0,0
1705746735,11,10,16,16,16,16,16,16,16,16,16,16,16,10,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,11,11,11,11,11,11,11,11,11,11,11,11,11,23,0,0,0,0,0,0
1705746750,15,10,11,11,11,11,11,11,11,11,11,18,18,10,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,15,15,15,15,15,15,15,15,15,15,15,15,15,23,0,0,0,0,0,0
1705746765,18,10,22,22,22,22,22,22,22,22,22,11,11,10,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,18,18,18,18,18,18,18,18,18,18,18,18,18,0,0,0,0,0,0,0
1705746780,15,10,12,12,12,12,12,12,12,12,12,15,15,10,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,10,15,15,15,15,15,15,15,15,15,15,15,15,15,23,0,0,0,0,0,0
1705746795,16,10,13,13,13,13,13,13,13,13,13,15,15,10,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,10,16,16,16,16,16,16,16,16,16,16,16,16,16,23,0,0,0,0,0,0
1705746810,13,10,17,17,17,17,17,17,17,17,17,18,18,10,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,10,13,13,13,13,13,13,13,13,13,13,13,13,13,23,0,0,0,0,0,0
1705746825,13,10,16,16,16,16,16,16,16,16,16,12,12,10,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,14,14,14,14,14,14,13,13,13,13,13,13,13,0,0,0,0,0,0,0
1705746840,16,10,11,11,11,11,11,11,11,11,11,12,12,10,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,15,15,15,15,15,15,16,16,16,16,16,16,16,0,0,0,0,0,0,0
