time,front-end_1,user_2,front-end_3,front-end_4,user_5,front-end_6,front-end_7,front-end_8,front-end_9,front-end_10,catalogue_11,front-end_12,front-end_13,front-end_14,front-end_15,user_16,front-end_17,front-end_18,front-end_19,front-end_20,front-end_21,front-end_22,front-end_23,catalogue_24,front-end_25,catalogue_26,payment_27,user_28,front-end_29,user_30,front-end_31,front-end_32,front-end_33,front-end_34,front-end_35,user_36,user_37,orders_38,payment_39,orders_40,shipping_41,queue-master_42,queue-master_43,queue-master_44,queue-master_45,queue-master_46,front-end_47,front-end_48,carts_49,user-db_50,orders_51,orders_52,front-end_53,front-end_54,user_55
1705747845,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,6,6,4,7,28,21,7,7,7,7,7,7,7,7,7,7,7,7,21,21,7,14,7,0,0,0,0,0,0,0
1705747860,15,15,15,15,15,15,15,15,15,15,15,15,15,15,14,14,14,14,14,14,14,14,14,16,16,10,10,10,21,84,63,21,21,21,21,21,21,21,21,21,21,21,21,63,63,21,42,21,0,0,0,0,0,0,0
1705747875,12,12,12,12,12,12,12,12,12,12,12,12,12,12,9,9,9,9,9,9,9,9,9,18,18,10,10,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,0,0,0,0,0,0,0
1705747890,19,19,19,19,19,19,19,19,19,19,19,19,19,19,22,22,22,22,22,22,22,22,22,16,16,10,10,10,11,44,33,11,11,11,11,11,11,10,10,10,10,10,10,30,30,10,20,10,0,0,0,0,0,0,0
1705747905,15,15,15,15,15,15,15,15,15,15,15,15,15,15,13,13,13,13,13,13,13,13,13,12,12,10,10,10,21,84,63,21,21,21,21,21,21,22,22,22,22,22,22,66,66,22,44,22,0,0,0,0,0,0,0
1705747920,15,15,15,15,15,15,15,15,15,15,15,15,15,15,18,18,18,18,18,18,18,18,18,18,18,10,10,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,23,0,0,0,0,0,0
1705747935,14,14,14,14,14,14,14,14,14,14,14,14,14,14,11,11,11,11,11,11,11,11,11,15,15,10,10,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,23,0,0,0,0,0,0
1705747950,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,14,14,10,10,10,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,0,0,0,0,0,0,0
1705747965,15,15,15,15,15,15,14,14,14,14,14,14,14,13,17,17,17,17,17,17,17,17,17,16,16,10,10,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,23,0,0,0,0,0,0
1705747980,14,14,14,14,14,14,15,15,15,15,15,15,15,16,15,15,15,15,15,15,15,15,15,13,13,10,10,10,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,0,0,0,0,0,0,0
1705747995,16,16,16,16,16,16,16,16,16,16,16,16,16,16,19,19,19,19,19,19,19,19,19,19,19,10,10,10,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,0,0,0,0,0,0,0
1705748010,19,19,19,19,19,19,19,19,19,19,19,19,19,19,18,18,18,18,18,18,18,18,18,13,13,10,10,10,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,0,0,0,0,0,0,0
1705748025,16,16,16,16,16,16,16,16,16,16,16,16,16,16,14,14,14,14,14,14,14,14,14,17,17,10,10,10,21,84,63,21,21,21,21,21,21,21,21,21,21,21,21,63,63,21,42,21,0,0,0,0,0,0,0
1705748040,14,14,14,14,14,14,14,14,14,14,14,14,14,14,11,11,11,11,11,11,11,11,11,16,16,10,10,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,0,0,0,0,0,0,0
1705748055,13,13,13,13,13,13,13,13,13,13,13,13,13,13,24,24,24,24,24,23,23,23,23,17,17,10,10,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,46,0,0,0,0,0,0
1705748070,23,23,23,23,23,23,23,23,23,23,23,23,23,23,11,11,11,11,11,12,12,12,12,13,13,10,10,10,14,56,42,14,14,14,14,14,14,14,14,14,13,13,13,39,39,13,26,13,0,0,0,0,0,0,0
