time,catalogue_1,front-end_2,front-end_3,user_4,front-end_5,front-end_6,front-end_7,front-end_8,front-end_9,user_10,user_11,orders_12,payment_13,orders_14,shipping_15,queue-master_16,queue-master_17,queue-master_18,queue-master_19,queue-master_20,front-end_21,front-end_22,front-end_23,user_24,front-end_25,front-end_26,front-end_27,front-end_28,front-end_29,front-end_30,front-end_31,front-end_32,user_33,front-end_34,front-end_35,user_36,front-end_37,front-end_38,front-end_39,front-end_40,front-end_41,catalogue_42,front-end_43,front-end_44,front-end_45,catalogue_46,payment_47,user_48,carts_49,user-db_50,user_51,user_52,orders_53,orders_54,orders-db_55,orders_56,orders-db_57,orders_58,orders_59,orders_60,orders_61,orders_62,front-end_63,front-end_64
1705820160,15,15,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,11,11,11,11,11,11,11,11,11,14,14,14,14,14,14,14,14,14,14,14,14,14,14,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705820175,14,14,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,18,18,18,18,18,18,18,18,18,17,17,17,17,17,17,17,17,17,17,17,17,17,17,10,10,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705820190,18,18,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,14,14,14,14,14,14,14,14,14,12,12,12,12,12,12,12,12,12,12,12,12,12,12,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705820205,14,14,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,15,15,15,15,15,15,15,15,15,19,19,19,19,19,19,19,19,19,19,19,19,19,19,10,10,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705820220,13,13,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,15,15,15,15,15,15,15,15,15,16,16,16,16,16,16,16,16,16,15,15,15,15,15,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705820235,17,17,18,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,16,16,16,16,16,16,16,16,16,12,12,12,12,12,12,12,12,12,13,13,13,13,12,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705820250,17,17,10,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,17,17,17,17,17,17,17,17,17,16,16,16,16,16,16,16,16,16,16,16,16,16,17,10,10,10,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705820265,15,15,20,79,60,20,20,20,20,19,19,19,19,19,19,19,19,57,57,19,38,19,11,11,11,11,11,11,11,11,11,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,10,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705820280,14,14,12,49,36,12,12,12,12,13,13,13,13,13,13,13,13,39,39,13,26,13,15,15,15,15,15,15,15,15,15,16,16,16,16,16,16,16,16,16,16,16,16,16,15,10,10,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705820295,14,14,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,15,15,15,15,15,15,15,15,15,16,16,16,16,16,16,15,15,15,15,15,15,15,16,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705820310,19,19,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,16,16,16,16,16,16,16,16,16,11,11,11,11,11,11,12,12,12,12,12,12,12,12,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705820325,12,12,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,21,21,21,21,21,20,20,20,20,23,23,23,23,23,23,22,22,22,22,22,22,22,22,10,10,10,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705820340,14,14,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,13,13,13,13,13,13,13,13,10,10,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705820355,20,20,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,16,16,16,16,16,16,16,16,16,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,10,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705820370,14,14,15,60,45,15,15,15,15,15,15,14,14,14,14,14,14,42,42,14,28,14,16,16,16,16,16,16,16,16,16,13,13,13,13,13,13,13,13,13,13,13,13,13,13,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705820385,18,18,18,72,54,18,18,18,18,18,18,19,19,19,19,19,19,57,57,19,38,19,17,17,17,17,17,17,17,17,17,21,21,21,21,21,21,21,21,21,21,21,21,21,21,10,10,10,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705820400,12,12,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,13,13,13,13,13,13,13,13,13,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705820415,16,16,8,32,24,8,8,8,8,8,8,8,8,8,8,8,8,24,24,8,16,8,14,14,14,14,14,14,14,14,14,17,17,17,17,17,17,17,17,17,17,17,17,17,17,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705820430,11,11,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,17,17,17,17,17,17,17,17,17,13,13,13,13,13,13,13,13,13,13,13,13,13,13,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705820445,20,20,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,14,14,14,14,14,14,14,14,14,19,19,19,19,19,19,19,19,19,19,19,19,19,19,10,10,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705820460,19,19,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,10,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705820475,11,11,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,20,20,20,20,20,20,20,20,20,16,16,16,16,16,16,16,16,16,16,16,16,16,16,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705820490,13,13,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,14,14,14,14,14,14,14,14,14,18,18,18,18,18,18,18,18,18,18,18,18,18,18,10,10,10,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705820505,19,19,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,11,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705820520,17,17,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,14,14,14,14,14,14,14,14,14,12,12,12,12,12,12,12,12,12,12,12,12,12,12,10,10,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705820535,10,10,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,21,21,21,21,21,21,21,21,21,16,16,16,16,16,16,16,16,16,16,16,16,16,16,10,10,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705820550,16,16,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,9,9,9,9,9,9,9,9,9,17,17,17,17,17,17,17,17,17,17,17,17,17,17,10,10,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705820565,16,16,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,17,17,17,17,17,17,17,17,17,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705820580,15,15,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,15,15,15,15,15,15,15,15,15,18,18,18,18,18,18,18,18,18,18,18,18,18,18,10,10,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705820595,14,14,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,16,16,16,16,16,16,16,16,16,16,15,15,15,15,15,14,14,14,14,14,14,14,14,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705820610,16,16,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,15,15,15,15,15,15,15,15,15,12,13,13,13,13,13,14,14,14,14,14,14,14,14,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705820625,13,13,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,17,17,17,17,17,17,17,17,17,12,12,12,12,12,12,12,12,12,12,12,12,12,12,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705820640,19,19,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,10,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705820655,14,14,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,16,16,16,16,16,16,16,16,16,19,19,19,19,19,19,19,19,19,19,19,19,19,19,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705820670,15,15,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,15,15,15,15,15,15,15,15,15,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705820685,17,17,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,12,12,12,12,12,12,12,12,12,17,17,17,17,17,17,17,17,17,17,17,17,17,17,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705820700,13,13,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,10,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705820715,15,15,9,36,27,9,9,9,9,9,9,9,9,9,9,9,9,27,27,9,18,9,24,24,24,24,24,24,24,24,24,19,19,19,19,19,19,19,19,19,19,19,19,19,19,10,10,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705820730,13,13,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,16,16,16,16,16,16,16,16,16,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705820745,20,20,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,9,9,9,9,9,9,9,9,9,13,13,13,13,13,13,13,13,13,13,13,13,13,13,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705820760,14,14,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,12,12,12,12,12,12,12,12,12,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,10,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705820775,10,10,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,23,23,23,23,23,23,23,23,23,14,14,14,14,13,13,13,13,13,13,13,13,13,13,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705820790,13,13,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,12,12,12,12,12,12,12,12,12,22,22,22,22,23,23,23,23,23,23,23,23,23,23,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705820805,20,20,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,13,13,13,13,13,13,13,13,13,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,10,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705820820,18,18,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,15,15,15,15,15,15,15,15,15,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705820835,8,8,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,18,18,18,18,18,18,18,18,18,19,19,19,19,19,19,19,19,19,19,19,19,19,19,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705820850,18,18,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,13,13,13,13,13,13,13,13,13,19,19,19,19,19,19,19,19,19,19,19,19,19,19,10,10,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705820865,22,22,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,12,12,12,12,12,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705820880,10,10,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,17,17,17,17,17,17,17,17,17,14,14,14,14,13,13,13,13,13,13,13,13,13,13,10,10,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705820895,14,14,14,55,42,14,14,14,14,13,13,13,13,13,13,13,13,39,39,13,26,13,16,16,16,16,16,17,17,17,17,18,18,18,18,19,19,19,19,19,19,19,19,19,19,10,10,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705820910,14,14,19,77,57,19,19,19,19,20,20,20,20,20,20,20,20,60,60,20,40,20,15,15,15,15,15,15,15,15,15,13,13,13,13,13,13,13,13,13,13,13,13,13,13,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705820925,16,16,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,21,21,21,21,21,21,21,21,21,17,17,17,17,17,17,17,16,16,16,16,16,16,15,10,10,10,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705820940,14,14,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,11,11,11,11,11,11,11,11,11,16,16,16,16,16,16,16,17,17,17,17,17,17,18,10,10,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705820955,17,17,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,11,11,11,11,11,11,11,11,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705820970,17,17,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,20,20,20,20,20,20,20,20,20,21,21,21,21,21,21,21,21,21,21,21,21,21,21,10,10,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705820985,7,7,22,88,66,22,22,22,22,22,22,22,22,22,22,22,22,66,66,22,44,22,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705821000,24,24,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,8,8,8,8,8,8,8,8,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705821015,15,15,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,14,14,14,14,14,14,14,14,14,12,12,12,12,12,12,12,12,12,12,12,12,12,12,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705821030,12,12,10,40,30,10,10,10,10,10,10,10,10,10,10,10,10,30,30,10,20,10,21,21,21,21,21,21,21,21,21,17,17,17,17,17,17,17,17,17,17,17,17,17,17,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705821045,11,11,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,12,12,12,12,12,12,12,12,12,18,18,18,18,18,18,18,18,18,18,18,18,18,18,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705821060,20,20,21,84,63,21,21,21,21,21,21,21,21,21,21,21,21,63,63,21,42,21,11,11,11,11,11,11,11,11,11,13,13,13,13,13,13,13,13,13,13,13,13,13,13,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705821075,15,15,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,18,18,18,18,18,18,18,18,18,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705821090,14,14,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,16,16,16,16,16,16,16,16,16,18,18,18,18,18,18,18,18,18,18,18,18,18,18,10,10,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705821105,15,15,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,14,14,14,14,14,14,14,14,14,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,10,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705821120,15,15,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,12,12,12,12,12,12,12,12,12,16,16,16,16,16,16,16,16,16,16,16,16,16,16,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705821135,16,16,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,20,20,20,20,20,20,20,20,20,12,12,12,12,12,12,11,11,11,11,11,11,11,11,10,10,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705821150,13,13,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,16,16,16,16,16,16,16,16,16,17,17,17,17,17,17,18,18,18,18,18,18,18,18,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705821165,15,15,20,80,60,20,20,20,20,20,20,19,19,19,19,19,19,57,57,19,38,19,18,18,18,18,18,18,18,18,18,19,19,19,19,19,19,19,19,19,19,19,19,19,19,10,10,10,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705821180,19,19,14,56,42,14,14,14,14,13,14,15,15,15,15,15,15,45,45,15,30,15,7,7,7,7,7,7,7,7,7,13,12,13,13,13,13,13,13,13,13,13,13,13,13,10,10,10,23,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1705821195,16,16,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,18,18,18,18,18,18,18,18,18,13,13,13,13,13,13,13,13,13,13,13,13,13,13,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705821210,11,11,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,18,18,18,18,18,18,18,18,18,16,16,16,16,16,16,16,16,16,16,16,16,16,16,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705821225,15,15,15,60,45,15,15,15,15,15,15,15,14,14,14,14,14,42,42,14,28,14,16,16,16,16,16,16,16,16,16,19,19,19,19,19,19,19,19,19,19,19,19,19,19,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705821240,19,19,21,84,63,21,21,21,21,21,21,21,22,22,22,22,22,66,66,22,44,22,13,13,13,13,13,13,13,13,13,12,12,12,12,12,12,12,12,12,12,12,12,12,12,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705821255,17,17,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,17,17,17,17,17,17,17,17,17,13,13,13,13,13,13,12,12,12,12,12,12,12,12,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705821270,11,11,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,18,18,18,18,18,18,18,18,18,23,23,23,23,23,23,24,24,24,24,24,24,24,24,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705821285,16,16,25,100,75,25,25,25,25,25,25,25,25,25,25,25,25,75,75,25,50,25,16,16,16,16,16,16,16,16,16,15,15,15,15,15,15,14,14,14,14,14,14,14,14,10,10,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
