POD,NODE_NAME
carts-795df7fd79-gnzg2,gke-gke-cluster-ss-default-pool-aa4d7ed2-vt00
carts-db-5d88c7dddc-vfdk5,gke-gke-cluster-ss-default-pool-aa4d7ed2-p3qr
catalogue-6999fd64d9-hz26q,gke-gke-cluster-ss-default-pool-aa4d7ed2-01r5
catalogue-db-554cbfd749-wpsbl,gke-gke-cluster-ss-default-pool-aa4d7ed2-vt00
front-end-75b898f665-8mz7b,gke-gke-cluster-ss-default-pool-aa4d7ed2-01r5
loadgenerator-564d55cfcb-2cfdp,gke-gke-cluster-ss-default-pool-aa4d7ed2-vt00
orders-688f957476-v6djh,gke-gke-cluster-ss-default-pool-aa4d7ed2-p3qr
orders-db-7c75b66575-h7xq2,gke-gke-cluster-ss-default-pool-aa4d7ed2-vt00
payment-766c44b5dc-2vp5l,gke-gke-cluster-ss-default-pool-aa4d7ed2-p3qr
queue-master-5f47847cd-fgffz,gke-gke-cluster-ss-default-pool-aa4d7ed2-vt00
rabbitmq-5dcbdd5997-wx2jd,gke-gke-cluster-ss-default-pool-aa4d7ed2-01r5
session-db-6f9cdc9746-nwkxm,gke-gke-cluster-ss-default-pool-aa4d7ed2-p3qr
shipping-6d4449fd75-fd2xf,gke-gke-cluster-ss-default-pool-aa4d7ed2-01r5
user-77c9d4d7cf-qwwcx,gke-gke-cluster-ss-default-pool-aa4d7ed2-p3qr
user-db-57c446cdbc-4vvsp,gke-gke-cluster-ss-default-pool-aa4d7ed2-p3qr
