time,front-end_1,user_2,front-end_3,front-end_4,front-end_5,front-end_6,front-end_7,front-end_8,front-end_9,payment_10,front-end_11,user_12,front-end_13,front-end_14,front-end_15,front-end_16,front-end_17,user_18,user_19,orders_20,payment_21,orders_22,shipping_23,queue-master_24,queue-master_25,queue-master_26,queue-master_27,queue-master_28,front-end_29,front-end_30,user_31,front-end_32,user_33,front-end_34,front-end_35,user_36,front-end_37,front-end_38,front-end_39,front-end_40,front-end_41,catalogue_42,front-end_43,front-end_44,front-end_45,catalogue_46,front-end_47,catalogue_48,carts_49,user_50,user-db_51,orders_52,orders-db_53,orders_54,orders_55,orders-db_56,orders-db_57,orders_58,orders_59,orders_60,orders_61,orders_62,front-end_63,front-end_64
1705734300,17,17,17,17,17,17,17,17,17,8,5,20,15,5,5,5,5,5,5,5,5,5,5,5,5,15,15,5,10,5,6,13,13,13,13,13,13,13,13,13,13,13,13,13,13,9,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705734315,14,14,14,14,14,14,14,14,14,10,21,84,63,21,21,21,21,21,21,21,21,21,21,21,21,63,63,21,42,21,10,17,17,17,17,17,17,17,17,17,17,17,17,17,17,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705734330,15,15,15,15,15,15,15,15,15,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,17,17,17,17,17,17,17,17,17,17,17,17,17,17,22,22,10,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705734345,14,14,14,14,14,14,14,14,14,10,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,10,13,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705734360,12,12,12,12,12,12,12,12,12,10,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,18,18,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705734375,17,17,17,17,17,17,17,17,17,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,13,13,13,13,13,13,13,13,13,13,13,13,13,13,12,12,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705734390,15,15,15,15,15,15,15,15,15,10,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,14,14,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705734405,19,19,19,19,19,19,19,19,19,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,17,17,17,17,17,17,17,17,17,17,17,17,17,17,16,16,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705734420,15,15,15,15,15,15,15,15,15,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,17,17,17,17,17,17,16,16,16,16,16,16,16,16,15,15,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705734435,14,14,14,14,14,14,14,14,14,10,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,10,15,15,15,15,15,15,16,16,16,16,16,16,16,16,17,17,10,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705734450,15,15,15,15,15,15,15,15,15,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,20,20,20,20,20,20,20,20,20,20,20,20,20,20,15,15,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705734465,21,21,21,21,21,21,21,21,21,10,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,10,15,15,15,15,15,15,14,14,14,14,14,14,14,14,18,17,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705734480,12,12,12,12,12,12,12,12,12,10,17,68,51,17,17,17,17,17,17,17,16,16,16,16,16,48,48,16,32,16,10,16,16,16,16,15,15,16,16,16,16,16,16,16,16,12,13,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705734495,17,17,17,17,17,17,17,17,17,10,13,52,39,13,13,13,13,13,13,13,14,14,14,14,14,42,42,14,28,14,10,13,13,13,13,14,14,14,14,14,14,14,14,14,14,20,20,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705734510,17,17,17,17,17,17,17,17,17,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,17,16,16,16,16,16,16,16,16,16,16,16,16,16,14,13,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705734525,14,14,14,14,14,14,14,14,14,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,13,14,14,14,14,14,14,14,14,14,14,14,14,14,16,17,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705734540,15,15,15,15,15,15,15,15,15,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,19,19,19,19,19,19,19,19,19,19,18,18,18,18,13,13,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705734555,11,11,11,11,11,11,11,11,11,10,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,10,12,12,12,12,12,12,12,12,12,12,13,13,13,13,15,15,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705734570,17,17,17,17,17,17,17,17,17,10,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,16,16,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705734585,13,13,13,13,13,13,13,13,13,10,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,17,17,17,17,17,17,17,17,17,17,17,17,17,17,14,14,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705734600,12,12,12,12,12,12,12,12,12,10,13,52,39,13,13,13,13,13,13,12,12,12,12,12,12,36,36,12,24,12,10,14,14,14,14,14,14,14,14,14,14,14,14,14,14,16,16,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705734615,24,24,24,24,24,24,24,24,24,10,14,56,42,14,14,14,14,14,14,15,15,15,15,15,15,45,45,15,30,15,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,10,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705734630,10,10,10,10,10,10,10,10,10,10,21,84,63,21,21,21,21,21,21,21,21,21,21,21,21,63,63,21,42,21,10,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17,17,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705734645,15,15,15,15,15,15,15,15,15,10,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,16,16,16,16,16,16,16,16,16,16,16,16,16,16,23,23,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705734660,14,14,14,14,14,14,14,14,14,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,10,10,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705734675,19,19,19,19,19,19,19,19,19,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,14,14,14,14,14,14,14,14,14,14,14,14,14,14,13,13,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705734690,14,14,14,14,14,14,14,14,14,10,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,17,17,17,17,17,17,17,17,17,17,17,17,17,17,14,14,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705734705,14,14,14,14,14,14,14,14,14,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,18,18,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705734720,17,17,17,17,17,17,17,17,17,10,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,18,18,18,18,18,18,18,18,18,18,18,18,18,18,14,14,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705734735,18,18,18,18,18,18,18,18,18,10,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,10,16,16,16,16,16,16,16,16,16,16,16,16,16,16,15,15,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705734750,13,13,13,13,13,13,13,13,13,10,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,10,20,20,20,20,20,20,20,20,20,20,20,20,20,20,15,15,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705734765,15,15,15,15,15,15,15,15,15,10,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,10,14,14,14,14,14,14,14,14,14,14,14,14,14,14,23,23,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705734780,16,16,16,16,16,16,16,16,16,10,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,12,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705734795,19,19,19,19,19,19,19,19,19,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,19,19,19,19,19,19,19,19,19,19,19,19,19,19,12,12,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705734810,11,11,11,11,11,11,11,11,11,10,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,17,17,17,17,17,17,17,17,17,17,17,17,17,17,18,18,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705734825,12,12,12,12,12,11,11,11,11,10,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,10,10,10,10,10,10,10,10,10,9,9,9,9,9,16,16,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705734840,22,22,22,22,22,23,23,23,23,10,10,40,30,10,10,10,10,10,10,10,10,10,10,10,10,30,30,10,20,10,10,22,22,22,22,22,22,22,22,22,23,23,23,23,23,16,16,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705734855,13,13,13,13,13,13,13,13,13,10,23,92,69,23,23,23,23,23,23,23,23,23,23,23,23,69,69,23,46,23,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,13,10,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705734870,13,13,13,13,13,13,13,13,13,10,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,19,19,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
