time,front-end_1,user_2,front-end_3,front-end_4,front-end_5,front-end_6,user_7,front-end_8,front-end_9,front-end_10,front-end_11,front-end_12,front-end_13,user_14,front-end_15,front-end_16,user_17,front-end_18,front-end_19,front-end_20,front-end_21,front-end_22,user_23,user_24,orders_25,front-end_26,payment_27,orders_28,shipping_29,front-end_30,front-end_31,queue-master_32,queue-master_33,queue-master_34,front-end_35,front-end_36,front-end_37,queue-master_38,queue-master_39,catalogue_40,front-end_41,front-end_42,front-end_43,user_44,catalogue_45,front-end_46,catalogue_47,payment_48,carts_49,user-db_50,carts_51
1705736265,10,10,10,10,10,8,8,8,10,10,10,10,8,8,7,5,20,15,5,5,5,5,5,5,5,7,5,5,5,7,7,5,5,15,8,4,7,15,5,7,7,7,7,2,3,3,2,2,0,0,0
1705736280,16,16,16,16,16,18,18,18,16,16,16,16,18,18,19,16,64,48,16,16,16,16,16,16,16,19,16,16,16,19,19,16,16,48,34,17,19,48,16,19,19,19,19,5,10,10,5,5,0,0,0
1705736295,15,15,15,15,15,16,16,16,15,15,15,14,16,16,16,20,80,60,20,20,20,20,20,20,20,16,20,20,20,16,16,20,20,60,40,20,16,60,20,16,16,16,16,5,22,22,5,5,23,0,0
1705736310,13,13,13,13,13,15,15,15,13,13,13,14,15,15,15,12,48,36,12,12,12,12,12,12,12,15,12,12,12,15,15,12,12,36,24,12,15,36,12,15,15,15,15,5,16,16,5,5,0,0,0
1705736325,13,13,13,13,13,11,11,11,13,13,13,13,11,11,11,16,64,48,16,16,16,16,16,16,16,11,16,16,16,11,11,16,16,48,32,16,11,48,16,11,11,11,11,9,15,15,10,10,0,0,0
1705736340,19,19,19,19,19,17,17,17,19,19,19,19,17,17,17,13,52,39,13,13,13,13,13,13,13,17,13,13,13,17,17,13,13,39,26,13,17,39,13,17,17,17,17,10,15,15,10,10,23,0,0
1705736355,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,16,64,48,16,16,16,16,16,16,16,14,16,16,16,14,14,16,16,48,32,16,14,48,16,14,14,14,14,10,14,14,10,10,23,0,0
1705736370,14,13,13,13,13,18,18,18,13,13,13,13,18,18,18,16,64,48,16,16,16,16,16,16,16,18,16,16,16,18,18,16,16,48,32,16,18,48,16,18,18,18,18,10,12,12,10,10,0,0,0
1705736385,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,15,60,45,15,15,15,15,15,15,15,14,15,15,15,14,14,15,15,45,30,15,14,45,15,14,14,14,14,10,18,18,10,10,0,0,0
1705736400,20,20,20,20,20,16,16,16,20,20,20,20,16,16,16,15,60,45,15,15,15,15,15,15,15,16,15,15,15,16,16,15,15,45,30,15,16,45,15,16,16,16,16,10,13,13,10,10,23,0,0
1705736415,11,11,11,11,11,17,17,17,11,11,11,11,17,17,17,14,56,42,14,14,14,14,14,14,14,17,14,14,14,17,17,14,14,42,28,14,17,42,14,17,17,17,17,10,16,16,10,10,0,0,0
1705736430,13,13,13,13,13,8,8,8,13,13,13,13,8,8,8,18,72,54,18,18,18,18,18,18,18,8,18,18,18,8,8,18,18,54,36,18,8,54,18,8,8,8,8,10,15,15,10,10,0,0,0
1705736445,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,8,32,24,8,8,8,8,8,8,8,19,8,8,8,19,19,8,8,24,16,8,19,24,8,19,19,19,19,10,15,15,10,10,0,0,0
1705736460,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,21,84,63,21,21,21,21,21,21,21,19,21,21,21,19,19,21,21,63,42,21,19,63,21,19,19,19,19,10,13,13,10,10,0,0,0
1705736475,11,11,11,11,11,12,12,12,11,11,11,11,12,12,12,18,72,54,18,18,18,18,18,18,18,12,18,18,18,12,12,18,18,54,36,18,12,54,18,12,12,12,12,10,16,16,10,10,0,0,0
1705736490,19,19,19,19,19,18,18,18,19,19,19,19,18,18,18,9,36,27,9,9,9,9,9,9,9,18,9,9,9,18,18,9,9,27,18,9,18,27,9,18,18,18,18,10,19,19,10,10,0,0,0
1705736505,11,11,11,11,11,14,14,14,11,11,11,11,14,14,14,19,76,57,19,19,19,19,19,19,19,14,19,19,19,14,14,19,19,57,38,19,14,57,19,14,14,14,14,10,13,12,10,10,0,0,0
1705736520,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,48,32,16,16,48,16,16,16,16,16,10,15,16,10,10,0,0,0
1705736535,17,17,17,17,17,15,15,15,17,17,17,17,15,15,15,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,45,30,15,15,45,15,15,15,15,15,10,15,15,10,10,0,0,0
1705736550,17,17,17,17,17,16,16,16,17,17,17,17,16,16,16,14,56,42,14,14,14,14,14,14,14,16,14,14,14,16,16,14,14,42,28,14,16,42,14,16,16,16,16,10,19,19,10,10,0,0,0
1705736565,13,13,13,13,13,16,16,16,13,13,13,13,16,16,16,20,80,60,20,20,20,20,20,20,20,15,20,20,20,15,15,20,20,60,40,20,15,60,20,15,15,15,15,10,10,10,10,10,23,0,0
1705736580,16,16,16,16,16,15,15,15,16,16,16,16,15,15,15,12,48,36,12,12,12,12,12,12,12,16,12,12,12,16,16,12,12,36,24,12,16,36,12,16,16,16,16,10,21,21,10,10,23,0,0
1705736595,17,17,17,17,17,16,16,16,17,17,17,17,16,16,16,13,52,39,13,13,13,13,13,13,13,16,13,13,13,16,16,13,13,39,26,13,16,39,13,16,16,16,16,10,14,14,10,10,0,0,0
1705736610,14,14,14,14,14,12,12,12,14,14,14,14,12,12,12,21,84,63,21,21,21,21,21,21,21,12,21,21,21,12,12,21,21,63,42,21,12,63,21,12,12,12,12,10,12,12,10,10,46,0,0
1705736625,15,15,15,15,15,14,14,14,15,15,15,15,14,14,14,10,40,30,10,10,10,10,10,10,10,14,10,10,10,14,14,10,10,30,20,10,14,30,10,14,14,14,14,10,19,19,10,10,0,0,0
1705736640,21,21,21,21,21,23,23,23,21,21,21,21,23,23,23,12,48,36,12,12,12,12,12,12,12,23,12,12,12,23,23,12,12,36,24,12,23,36,12,23,23,23,23,10,12,12,10,10,46,0,0
1705736655,8,8,8,8,8,14,14,14,8,8,8,8,14,14,14,23,92,69,23,23,23,23,23,23,23,14,23,23,23,14,14,23,23,69,46,23,14,69,23,14,14,14,14,10,18,18,10,10,0,0,0
1705736670,15,15,15,15,15,12,12,12,15,15,15,15,12,12,12,14,56,42,14,14,14,14,14,14,14,12,14,14,14,12,12,14,14,42,28,14,12,42,14,12,12,12,12,10,17,17,10,10,23,0,0
1705736685,14,14,14,14,14,12,12,12,14,14,14,14,12,12,12,13,52,39,13,13,13,13,13,13,13,12,13,13,13,12,12,13,13,39,26,13,12,39,13,12,12,12,12,10,15,15,10,10,0,0,0
