time,payment_1,front-end_2,front-end_3,user_4,front-end_5,front-end_6,front-end_7,front-end_8,front-end_9,front-end_10,front-end_11,user_12,front-end_13,user_14,front-end_15,front-end_16,user_17,front-end_18,front-end_19,front-end_20,front-end_21,front-end_22,catalogue_23,front-end_24,front-end_25,catalogue_26,front-end_27,front-end_28,user_29,front-end_30,front-end_31,front-end_32,front-end_33,front-end_34,front-end_35,front-end_36,catalogue_37,orders_38,orders_39,orders_40,orders_41,orders_42,carts_43,orders_44,orders_45,orders_46,orders_47,orders_48,orders_49,orders_50,orders_51,orders_52,orders_53,user_54,user_55,orders_56,payment_57,orders_58,shipping_59,queue-master_60,queue-master_61,queue-master_62,queue-master_63,queue-master_64,orders-db_65,orders_66,orders_67,front-end_68,carts_69,user_70,front-end_71
1705642665,6,11,24,72,72,24,24,24,24,48,24,6,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,4,4,4,4,4,3,3,3,3,4,1,1,35,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705642680,10,9,47,146,141,47,47,47,47,84,42,10,10,10,10,10,10,10,10,10,10,10,10,10,10,18,18,18,18,18,18,18,18,18,18,18,10,0,0,18,0,0,46,1,1,5,5,1,1,1,1,1,1,5,5,5,5,5,5,5,5,15,15,5,5,0,0,0,0,0,0
1705642695,10,17,9,36,27,9,9,9,9,28,0,10,18,18,18,18,18,18,18,18,18,18,18,18,18,12,12,12,12,12,12,12,13,13,13,13,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,9,9,9,9,27,27,9,0,5,56,14,0,0,0
1705642710,10,12,17,68,51,17,17,17,17,34,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,15,15,13,13,13,13,13,13,13,13,13,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,17,17,17,17,17,17,51,51,17,0,0,0,17,0,0,0
1705642725,10,10,10,40,30,10,10,10,10,20,0,10,19,19,19,19,19,19,17,15,15,15,15,15,15,12,12,18,18,18,18,18,16,16,16,16,10,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,10,30,30,10,0,0,0,10,0,0,0
1705642740,10,17,15,60,45,15,15,15,15,26,0,10,16,16,16,16,16,16,18,17,17,17,17,17,17,11,11,17,17,17,17,17,18,18,18,18,10,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,15,15,13,13,13,13,13,13,39,39,13,0,0,0,13,0,0,0
1705642755,10,17,14,56,42,14,14,14,14,32,0,10,10,10,10,10,10,10,10,13,13,13,13,13,13,17,17,7,7,7,7,7,8,8,8,8,10,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,14,14,16,16,16,16,16,16,48,48,16,0,0,0,16,0,0,0
1705642770,10,10,17,68,51,17,17,17,17,34,0,10,14,14,14,14,14,14,14,12,12,12,12,12,12,17,17,17,17,17,17,17,13,13,13,13,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,17,17,17,17,17,17,51,51,17,0,0,0,17,0,0,0
1705642785,10,17,12,48,36,12,12,12,12,22,0,10,17,17,17,17,17,17,17,15,15,15,15,15,15,14,14,18,18,18,18,18,21,21,21,21,10,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,12,12,11,11,11,11,11,11,33,33,11,0,0,0,11,0,0,0
1705642800,10,18,15,60,45,15,15,15,15,30,0,10,15,15,15,15,15,15,15,19,19,19,19,19,19,12,12,8,8,8,8,8,9,9,9,9,10,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,15,15,15,15,15,15,15,15,45,45,15,0,0,0,15,0,0,0
