time,front-end_1,front-end_2,front-end_3,front-end_4,catalogue_5,front-end_6,front-end_7,front-end_8,front-end_9,front-end_10,user_11,user_12,front-end_13,front-end_14,front-end_15,front-end_16,front-end_17,front-end_18,front-end_19,front-end_20,catalogue_21,front-end_22,front-end_23,front-end_24,front-end_25,user_26,user_27,orders_28,payment_29,orders_30,shipping_31,queue-master_32,queue-master_33,queue-master_34,queue-master_35,queue-master_36,front-end_37,front-end_38,payment_39,catalogue_40,front-end_41,front-end_42,user_43,front-end_44,front-end_45,user_46,front-end_47,user_48,carts_49,user_50,user_51
1705739505,3,3,3,3,3,3,3,3,2,6,6,8,6,6,6,6,2,2,2,2,4,6,6,6,6,2,2,2,2,2,2,2,2,6,6,2,4,2,4,3,3,2,2,2,2,2,2,2,23,0,0
1705739520,17,17,17,17,17,17,17,17,17,12,12,68,12,12,12,51,17,17,17,17,10,12,12,12,12,17,17,17,17,17,17,17,17,51,51,17,34,17,10,11,11,17,17,17,17,17,17,10,23,0,0
1705739535,13,13,13,13,13,13,13,13,16,16,16,63,16,16,16,48,16,16,16,16,10,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,15,15,13,13,13,13,13,13,10,23,1,0
1705739550,19,19,19,19,19,19,19,19,13,17,17,52,17,17,17,39,13,13,13,13,10,17,17,17,17,13,13,13,13,13,13,13,13,39,39,13,26,13,10,18,18,19,19,19,19,19,19,10,0,0,0
1705739565,12,12,12,12,12,12,12,12,21,15,15,84,15,15,15,63,21,21,21,21,10,15,15,15,15,21,21,21,21,21,21,21,21,63,63,21,42,21,10,15,15,13,13,12,12,12,12,10,23,0,0
1705739580,16,16,16,16,16,16,16,16,9,15,15,36,15,15,15,27,9,9,9,9,10,15,15,15,15,9,9,9,9,9,9,9,9,27,27,9,18,9,10,15,15,15,15,16,16,16,16,10,0,0,0
1705739595,13,13,13,13,13,13,13,13,15,15,15,60,15,15,15,45,15,15,15,15,10,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,13,13,13,13,13,13,13,13,10,46,0,0
1705739610,19,19,19,19,19,19,19,19,16,15,15,64,15,15,15,48,16,16,16,16,10,15,15,15,15,16,16,16,16,16,16,16,16,48,48,16,32,16,10,16,16,19,19,19,19,19,19,10,23,0,0
1705739625,11,11,11,11,11,11,11,11,19,16,16,76,16,16,16,57,19,19,19,19,10,16,16,16,16,19,19,19,19,19,19,19,19,57,57,19,38,19,10,16,16,11,11,11,11,11,11,10,23,0,0
1705739640,20,19,19,19,19,19,19,19,8,17,17,32,17,17,17,24,8,8,8,8,10,17,17,17,17,8,8,8,8,8,8,8,8,24,24,8,16,8,10,16,16,20,20,20,20,20,20,10,0,0,0
1705739655,15,16,16,16,16,16,16,15,23,13,13,89,13,13,13,67,23,23,22,22,10,13,13,13,13,22,22,22,22,22,22,22,22,66,66,22,44,22,10,12,12,15,15,15,15,15,15,10,0,0,0
1705739670,11,11,11,11,11,11,11,12,14,14,14,59,14,14,14,44,14,14,15,15,10,14,14,14,14,15,15,15,15,15,15,15,15,45,45,15,30,15,10,20,20,11,11,11,11,11,11,10,23,0,0
1705739685,18,18,18,18,18,18,18,18,12,18,18,48,18,18,18,36,12,12,12,12,10,18,18,18,18,12,12,12,12,12,12,12,12,36,36,12,24,12,10,13,13,19,18,18,18,18,18,10,0,0,0
1705739700,12,12,12,12,12,12,12,12,17,12,12,68,12,12,12,51,17,17,17,17,10,12,12,12,12,17,17,17,17,17,17,17,17,51,51,17,34,17,10,15,15,11,12,12,12,12,12,10,0,0,0
1705739715,18,18,18,18,18,18,18,18,12,15,15,48,15,15,15,36,12,12,12,12,10,15,15,15,15,12,12,12,12,12,12,12,12,36,36,12,24,12,10,14,14,18,18,18,18,18,18,10,23,0,0
1705739730,15,15,15,15,15,15,15,15,15,17,17,60,17,17,17,45,15,15,15,15,10,17,17,17,17,15,15,15,15,15,15,15,15,45,45,15,30,15,10,15,15,15,15,15,15,15,15,10,0,0,0
1705739745,12,12,12,12,12,12,12,12,17,15,15,68,15,15,15,51,17,17,17,17,10,15,15,15,15,17,17,17,17,17,17,17,17,51,51,17,34,17,10,18,18,12,12,12,12,12,12,10,23,0,0
1705739760,21,21,21,21,21,21,21,21,14,16,16,56,16,16,16,42,14,14,14,14,10,16,16,16,16,14,14,14,14,14,14,14,14,42,42,14,28,14,10,10,10,21,21,21,21,21,21,10,46,0,0
1705739775,11,11,11,11,11,11,11,11,17,12,12,68,12,12,12,51,17,17,17,17,10,12,12,12,12,17,17,17,17,17,17,17,17,51,51,17,34,17,10,17,17,12,12,12,12,12,12,10,23,0,0
1705739790,15,15,15,15,15,15,15,15,12,11,11,48,11,11,11,36,12,12,12,12,10,11,11,11,11,12,12,12,12,12,12,12,12,36,36,12,24,12,10,14,14,14,14,14,14,14,14,10,0,0,0
1705739805,16,15,15,15,15,15,15,15,14,20,20,56,20,20,20,42,14,14,14,14,10,20,20,20,20,14,14,14,14,14,14,14,14,42,42,14,28,14,10,15,15,16,16,16,16,16,16,10,0,0,0
1705739820,14,15,15,15,15,15,15,15,18,19,19,72,19,19,19,54,18,18,18,18,10,19,19,19,19,18,18,18,18,18,18,18,18,54,54,18,36,18,10,15,15,15,15,15,15,15,15,10,23,0,0
1705739835,20,20,20,20,20,20,20,20,11,14,14,44,14,14,14,33,11,11,11,11,10,14,14,14,14,11,11,11,11,11,11,11,11,33,33,11,22,11,10,15,15,19,19,19,19,19,19,10,0,0,0
1705739850,12,12,12,12,12,12,12,12,20,12,12,80,12,12,12,60,20,20,20,20,10,12,12,12,12,20,20,20,20,20,20,20,20,60,60,20,40,20,10,20,20,12,12,12,12,12,12,10,0,0,0
1705739865,14,14,14,14,14,14,14,14,13,18,18,52,18,18,18,39,13,13,13,13,10,18,18,18,18,13,13,13,13,13,13,13,13,39,39,13,26,13,10,16,16,14,14,14,14,14,14,10,0,0,0
1705739880,20,19,19,19,19,19,19,19,15,17,17,60,17,17,17,45,15,15,15,15,10,17,17,17,17,15,15,15,15,15,15,15,15,45,45,15,30,15,10,9,9,20,20,20,20,20,20,10,0,0,0
1705739895,12,13,13,13,13,13,13,13,18,10,10,72,10,10,10,54,18,18,18,18,10,10,10,10,10,18,18,18,18,18,18,18,18,54,54,18,36,18,10,17,17,13,13,12,12,12,12,10,0,0,0
1705739910,17,17,17,17,17,17,17,17,16,21,21,64,21,21,21,48,16,16,16,16,10,21,21,21,21,16,16,16,16,16,16,16,16,48,48,16,32,16,10,19,19,16,16,17,17,17,17,10,23,0,0
1705739925,13,13,13,13,13,13,13,13,15,12,12,60,12,12,12,45,15,15,15,15,10,12,12,12,12,15,15,15,15,15,15,15,15,45,45,15,30,15,10,13,13,13,13,13,13,13,13,10,0,0,0
1705739940,13,13,13,13,13,13,13,13,15,15,15,60,15,15,15,45,15,15,15,15,10,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,15,15,13,13,13,13,13,13,10,0,0,0
1705739955,18,18,18,18,18,18,18,18,12,18,18,48,18,18,18,36,12,12,12,12,10,18,18,18,18,12,12,12,12,12,12,12,12,36,36,12,24,12,10,15,15,18,18,18,18,18,18,10,46,0,0
1705739970,18,18,18,18,18,18,18,18,17,11,11,68,11,11,11,51,17,17,17,17,10,11,11,11,11,17,17,17,17,17,17,17,17,51,51,17,34,17,10,15,15,18,18,18,18,18,18,10,23,0,0
1705739985,13,13,13,13,13,13,13,13,16,20,20,64,20,20,20,48,16,16,16,16,10,20,20,20,20,16,16,16,16,16,16,16,16,48,48,16,32,16,10,20,20,13,13,13,13,13,13,10,0,0,0
1705740000,17,17,17,17,17,17,17,17,16,17,17,64,17,17,17,48,16,16,16,16,10,17,17,17,17,16,16,16,16,16,16,16,16,48,48,16,32,16,10,10,10,17,17,17,17,17,17,10,69,0,0
1705740015,13,13,13,13,13,13,13,13,14,11,11,56,11,11,11,42,14,14,14,14,10,11,11,11,11,14,14,14,14,14,14,14,14,42,42,14,28,14,10,17,17,13,13,13,13,13,13,10,0,0,0
1705740030,19,19,19,19,19,19,19,19,16,15,15,64,15,15,15,48,16,16,16,16,10,15,15,15,15,16,16,16,16,16,16,16,16,48,48,16,32,16,10,18,18,19,19,19,19,19,19,10,0,0,0
1705740045,11,11,11,11,11,11,11,11,14,19,19,56,19,19,19,42,14,14,14,14,10,19,19,19,19,14,14,14,14,14,14,14,14,42,42,14,28,14,10,13,13,11,11,11,11,11,11,10,0,0,0
1705740060,20,20,20,20,20,20,20,20,19,16,16,76,16,16,16,57,19,19,19,19,10,16,16,16,16,19,19,19,19,19,19,19,19,57,57,19,38,19,10,16,16,20,20,20,20,20,20,10,46,0,0
1705740075,17,17,17,17,17,17,17,17,18,17,17,72,17,17,17,54,18,18,18,18,10,17,17,17,17,18,18,18,18,18,18,18,18,54,54,18,36,18,10,18,18,17,17,17,17,17,17,10,23,0,0
1705740090,12,12,12,12,12,12,12,12,15,11,11,60,11,11,11,45,15,15,15,15,10,11,11,11,11,15,15,15,15,15,15,15,15,45,45,15,30,15,10,14,14,12,12,12,12,12,12,10,46,0,0
1705740105,12,12,12,12,12,12,12,12,14,13,13,56,13,13,13,42,14,14,14,14,10,13,13,13,13,14,14,14,14,14,14,14,14,42,42,14,28,14,10,19,19,12,12,12,12,12,12,10,23,0,0
1705740120,21,21,21,21,21,21,21,21,11,21,21,44,21,21,21,33,11,11,11,11,10,21,21,21,21,11,11,11,11,11,11,11,11,33,33,11,22,11,10,9,9,21,21,21,21,21,21,10,23,0,0
1705740135,14,14,14,14,14,14,14,14,19,12,12,76,12,12,12,57,19,19,19,19,10,12,12,12,12,19,19,19,19,19,19,19,19,57,57,19,38,19,10,15,15,14,14,14,14,14,14,10,0,0,0
1705740150,13,13,13,13,13,13,13,12,13,12,12,52,12,12,12,39,13,13,13,13,10,12,12,12,12,13,13,13,13,13,13,13,13,39,39,13,26,13,10,19,19,13,13,13,13,13,13,10,23,0,0
1705740165,14,13,13,13,13,13,13,14,17,22,22,68,22,22,22,51,17,17,17,17,10,22,22,22,22,17,17,17,17,17,17,17,17,51,51,17,34,17,10,15,15,14,14,14,14,14,14,10,23,0,0
1705740180,22,23,23,23,23,23,23,23,10,13,13,40,13,13,13,30,10,10,10,10,10,13,13,13,13,10,10,10,10,10,10,10,10,30,30,10,20,10,10,10,10,22,22,22,22,22,22,10,0,0,0
1705740195,12,12,12,12,12,12,12,11,25,14,14,100,14,14,14,75,25,25,25,25,10,14,14,14,14,25,25,25,25,25,25,25,25,75,75,25,50,25,10,18,18,12,12,12,12,12,12,10,0,0,0
1705740210,10,10,10,10,10,10,10,11,10,13,13,40,13,13,13,30,10,10,10,10,10,13,13,13,13,10,10,10,10,10,10,10,10,30,30,10,20,10,10,20,20,10,10,10,10,10,10,10,23,0,0
1705740225,19,19,19,19,19,19,19,19,13,22,22,52,22,22,22,39,13,13,13,13,10,21,21,21,21,13,13,13,13,13,13,13,13,39,39,13,26,13,10,12,12,19,19,19,19,19,19,10,23,0,0
1705740240,18,18,18,18,18,18,18,18,21,12,12,84,12,12,12,63,21,21,21,21,10,13,13,13,13,21,21,21,21,21,21,21,21,63,63,21,42,21,10,14,14,18,18,18,18,18,18,10,0,0,0
1705740255,14,14,14,14,14,14,14,14,14,14,14,56,14,14,14,42,14,14,14,14,10,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,19,19,14,14,14,14,14,14,10,46,0,0
1705740270,15,15,15,15,15,15,15,15,15,20,20,59,20,20,20,45,15,15,15,15,10,20,20,20,20,14,14,14,14,14,14,14,14,42,42,14,28,14,10,13,13,15,15,15,15,15,15,10,46,0,0
1705740285,18,18,18,18,18,18,18,18,13,12,12,53,12,12,12,39,13,13,13,13,10,12,12,12,12,14,14,14,14,14,14,14,14,42,42,14,28,14,10,16,16,18,18,18,18,18,18,10,23,0,0
1705740300,16,16,16,16,16,16,16,16,22,17,17,85,17,17,17,63,21,21,21,21,10,17,17,17,17,21,21,21,21,21,21,21,21,63,63,21,42,21,10,14,14,16,16,16,16,16,16,10,0,0,0
1705740315,10,10,10,10,10,10,10,10,11,12,12,47,12,12,12,36,12,12,12,12,10,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,10,18,18,10,10,10,10,10,10,10,0,0,0
1705740330,14,14,14,14,14,14,14,14,13,18,18,52,18,18,18,39,13,13,13,13,10,18,18,18,18,13,13,13,13,13,13,13,13,39,39,13,26,13,10,15,15,14,14,14,14,14,14,10,46,0,0
1705740345,21,21,21,21,21,21,21,21,14,17,17,55,17,17,17,42,14,14,14,14,10,17,17,17,17,13,12,13,13,13,13,13,13,39,39,13,26,13,10,12,12,21,21,21,21,21,21,10,0,0,1
1705740360,12,12,12,12,12,12,12,11,24,12,12,97,12,12,12,72,24,24,24,24,10,12,12,12,12,25,25,25,25,25,25,25,25,75,75,25,50,25,10,17,17,12,12,12,12,12,12,10,0,0,0
1705740375,15,15,15,15,15,15,15,16,10,14,14,40,14,14,14,30,10,10,10,10,10,14,14,14,14,10,10,10,10,10,10,10,10,30,30,10,20,10,10,19,19,15,15,15,15,15,15,10,23,0,0
1705740390,17,17,17,17,17,17,17,17,11,22,22,44,22,22,22,33,11,11,11,11,10,22,22,22,22,11,11,11,11,11,11,11,11,33,33,11,22,11,10,9,9,17,17,17,17,17,17,10,0,0,0
1705740405,19,19,19,19,19,19,19,19,23,10,10,92,10,10,10,69,23,23,23,23,10,10,10,10,10,23,23,23,23,23,23,23,23,69,69,23,46,23,10,16,16,19,19,19,19,19,19,10,69,0,0
