time,front-end_1,user_2,front-end_3,front-end_4,front-end_5,front-end_6,front-end_7,front-end_8,front-end_9,front-end_10,user_11,front-end_12,front-end_13,front-end_14,front-end_15,front-end_16,user_17,user_18,orders_19,payment_20,orders_21,shipping_22,queue-master_23,queue-master_24,queue-master_25,queue-master_26,queue-master_27,front-end_28,front-end_29,catalogue_30,front-end_31,user_32,front-end_33,user_34,front-end_35,front-end_36,user_37,front-end_38,front-end_39,front-end_40,front-end_41,front-end_42,catalogue_43,front-end_44,front-end_45,front-end_46,catalogue_47,payment_48,carts_49,user_50,user-db_51,user_52,user-db_53,carts_54,carts_55,carts_56,carts_57,carts_58,carts_59,carts_60,carts_61
1705741110,11,11,11,11,11,11,11,11,11,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,14,14,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
1705741125,14,14,14,14,14,14,14,14,14,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,18,18,10,13,13,13,13,13,13,13,13,13,13,13,13,13,13,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
1705741140,19,19,19,19,19,19,19,19,19,13,52,39,13,13,13,13,12,13,13,13,13,13,13,13,39,39,13,26,13,11,11,10,15,15,15,15,15,15,14,14,14,14,14,14,14,14,10,10,23,1,0,0,0,0,0,0,0,0,0,0,0
1705741155,12,12,12,12,12,12,12,12,12,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,15,15,10,16,16,16,16,16,16,17,17,17,17,17,17,17,17,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
1705741170,14,14,14,14,14,14,14,14,14,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,19,19,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,10,10,23,0,0,0,0,0,0,0,0,0,0,0,0
1705741185,15,15,15,15,15,15,15,15,15,12,48,36,12,12,12,12,12,12,12,11,11,11,11,11,33,33,11,22,11,14,14,10,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
1705741200,20,20,20,20,20,20,20,20,20,12,48,36,12,12,12,12,12,12,12,13,13,13,13,13,39,39,13,26,13,14,14,10,20,20,20,19,19,19,19,19,19,19,19,19,19,19,10,10,23,0,0,0,0,0,0,0,0,0,0,0,0
1705741215,13,13,13,13,13,13,13,13,13,22,88,66,22,22,22,22,22,22,22,22,22,22,22,22,66,66,22,44,22,15,15,10,14,14,14,15,15,15,15,15,15,15,15,15,15,15,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
1705741230,11,11,11,11,11,11,11,11,11,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,20,20,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,10,23,0,0,0,0,0,0,0,0,0,0,0,0
1705741245,18,18,18,18,18,18,18,18,18,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,12,12,10,14,14,14,14,14,14,13,13,13,13,13,13,13,13,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
1705741260,12,12,12,12,12,12,12,12,12,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,12,12,10,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,10,23,0,0,0,0,0,0,0,0,0,0,0,0
1705741275,22,22,22,22,22,22,22,22,22,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,20,20,10,21,21,21,21,21,21,22,22,22,22,22,22,22,22,10,10,23,0,0,0,0,0,0,0,0,0,0,0,0
1705741290,14,14,14,14,14,14,14,14,14,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,11,11,10,16,16,16,16,16,16,16,16,16,16,16,16,16,16,10,10,0,0,1,0,0,0,0,0,0,0,0,0,0
1705741305,16,16,16,16,16,16,16,16,16,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,19,19,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,23,0,2,0,0,0,0,0,0,0,0,0,0
1705741320,12,12,12,12,12,12,12,12,12,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,16,16,10,18,18,18,18,18,18,18,18,18,18,18,18,18,18,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
1705741335,22,22,22,22,22,22,22,22,22,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,15,15,10,13,13,13,13,13,13,13,13,13,13,13,13,13,13,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
1705741350,13,13,13,13,13,13,13,13,13,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,13,13,10,24,24,24,24,24,24,24,24,24,24,24,24,24,24,10,10,46,0,0,0,0,0,0,0,0,0,0,0,0
1705741365,12,12,12,12,12,12,12,12,12,25,100,75,25,25,25,25,24,25,25,25,25,25,25,25,75,75,25,50,25,19,19,10,6,6,6,6,6,6,6,6,6,6,6,6,6,6,10,10,23,0,0,1,0,0,0,0,0,0,0,0,0
