time,payment_1,front-end_2,user_3,front-end_4,front-end_5,user_6,front-end_7,catalogue_8,front-end_9,front-end_10,front-end_11,front-end_12,front-end_13,catalogue_14,front-end_15,front-end_16,front-end_17,user_18,front-end_19,user_20,front-end_21,front-end_22,front-end_23,front-end_24,front-end_25,user_26,user_27,orders_28,payment_29,orders_30,shipping_31,queue-master_32,queue-master_33,queue-master_34,queue-master_35,queue-master_36,front-end_37,front-end_38,catalogue_39,front-end_40,user_41,front-end_42,front-end_43,front-end_44,front-end_45,front-end_46,front-end_47,front-end_48,carts_49,user_50,user_51,user_52
1705609455,10,13,13,13,13,13,13,15,15,13,13,13,13,13,13,13,13,10,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,8,14,14,14,14,14,14,14,14,14,0,0,0,0
1705609470,10,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,10,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,10,15,15,15,15,15,15,15,15,15,0,0,0,0
1705609485,10,18,18,18,18,18,18,15,15,17,17,17,17,17,17,17,17,10,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,10,17,17,17,17,17,17,17,17,17,23,0,0,0
1705609500,10,17,17,17,17,17,17,16,16,18,18,18,18,18,18,18,17,10,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,20,20,20,20,20,20,20,20,20,0,0,0,0
1705609515,10,12,12,12,12,12,12,17,17,12,12,12,12,12,12,12,13,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,11,11,11,11,11,11,11,11,11,0,0,0,0
1705609530,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,15,15,15,15,15,15,15,15,15,0,0,0,0
1705609545,10,19,18,19,19,19,19,10,10,19,19,19,19,19,19,19,19,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,16,16,16,16,16,16,16,16,16,0,1,0,0
1705609560,10,11,11,11,11,11,11,20,20,11,11,11,11,11,11,11,11,10,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,10,16,16,16,16,16,16,16,16,16,0,0,0,0
1705609575,10,16,16,16,16,16,16,15,15,16,16,16,15,15,15,15,15,10,10,40,30,10,10,10,10,10,10,10,10,10,10,10,10,30,30,10,20,10,10,17,17,17,17,17,17,17,17,17,0,0,0,0
1705609590,10,20,20,20,20,20,20,14,14,19,19,19,20,20,20,20,19,10,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,10,14,14,14,14,14,14,14,14,14,23,0,0,0
1705609605,10,11,11,11,11,11,11,18,18,12,12,12,12,12,12,12,13,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,16,16,16,16,16,16,16,16,16,0,0,0,0
1705609620,10,15,15,15,15,15,15,14,14,15,15,15,15,15,15,15,15,10,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,10,12,12,12,12,12,12,12,12,12,0,0,0,0
1705609635,10,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,15,15,15,15,15,15,15,15,15,23,0,0,0
