time,front-end_1,user_2,front-end_3,front-end_4,front-end_5,front-end_6,front-end_7,user_8,user_9,orders_10,payment_11,orders_12,shipping_13,queue-master_14,queue-master_15,queue-master_16,queue-master_17,queue-master_18,front-end_19,front-end_20,front-end_21,user_22,front-end_23,front-end_24,front-end_25,front-end_26,user_27,front-end_28,front-end_29,user_30,front-end_31,front-end_32,front-end_33,front-end_34,catalogue_35,user_36,front-end_37,front-end_38,front-end_39,front-end_40,front-end_41,front-end_42,catalogue_43,front-end_44,front-end_45,front-end_46,catalogue_47,payment_48,carts_49,user_50,user-db_51
1705753035,7,28,21,7,7,7,7,7,7,7,7,7,7,7,7,21,21,7,14,7,7,7,7,7,7,10,10,7,7,6,7,7,10,10,7,10,7,10,10,10,10,10,10,10,10,10,4,4,0,0,0
1705753050,22,88,66,22,22,22,22,22,22,22,22,22,22,22,22,66,66,22,44,22,10,10,10,10,10,10,10,10,10,10,10,10,10,10,21,10,21,10,10,10,10,10,10,10,10,10,10,10,46,0,0
1705753065,9,36,27,9,9,9,9,9,9,9,9,9,9,9,9,27,27,9,18,9,19,19,19,19,19,15,15,19,19,10,19,19,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,10,0,0,0
1705753080,14,56,42,14,14,14,14,14,14,14,14,13,13,13,13,39,39,13,26,13,16,16,16,16,16,20,20,16,16,10,16,16,20,20,10,20,10,20,20,20,20,20,20,20,20,20,10,10,23,0,0
1705753095,21,84,63,21,21,21,21,21,21,21,21,22,22,22,22,66,66,22,44,22,16,16,16,16,16,16,16,16,16,10,16,16,16,16,18,16,18,16,16,16,16,16,16,16,16,16,10,10,0,0,0
1705753110,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,12,12,12,12,12,9,9,12,12,10,12,12,9,9,20,9,20,9,9,9,9,9,9,9,9,9,10,10,69,0,0
1705753125,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,22,22,22,22,22,21,21,22,22,10,22,22,21,21,11,21,11,21,20,20,20,20,20,20,20,20,10,10,23,0,0
1705753140,22,88,66,22,22,22,22,22,22,22,22,22,22,22,22,66,66,22,44,22,15,15,15,15,15,17,17,15,15,10,15,15,17,17,17,17,17,17,18,18,18,18,18,18,18,18,10,10,23,0,0
1705753155,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,12,12,12,12,12,16,16,12,12,10,12,12,16,16,19,16,19,16,16,16,16,16,16,16,16,16,10,10,46,0,0
1705753170,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,16,16,16,16,16,13,13,16,16,10,16,16,13,13,13,13,13,13,13,13,13,13,13,13,13,13,10,10,23,0,0
1705753185,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,17,17,17,17,17,12,12,17,17,10,17,17,12,12,20,12,20,12,11,11,11,11,11,11,11,11,10,10,23,0,0
1705753200,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,16,16,16,16,16,18,18,16,16,10,16,16,18,18,10,18,10,18,19,19,19,19,19,19,19,19,10,10,46,0,0
1705753215,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,17,17,17,17,17,20,20,17,17,10,17,17,20,20,14,20,14,20,19,19,19,19,19,19,19,19,10,10,0,0,0
