time,front-end_1,user_2,front-end_3,front-end_4,front-end_5,front-end_6,front-end_7,user_8,user_9,orders_10,payment_11,orders_12,shipping_13,queue-master_14,queue-master_15,queue-master_16,queue-master_17,queue-master_18,front-end_19,front-end_20,catalogue_21,payment_22,catalogue_23,front-end_24,front-end_25,user_26,front-end_27,front-end_28,user_29,front-end_30,front-end_31,front-end_32,front-end_33,front-end_34,catalogue_35,front-end_36,front-end_37,front-end_38,user_39,front-end_40,user_41,front-end_42,front-end_43,front-end_44,front-end_45,front-end_46,front-end_47,front-end_48,carts_49,user_50,orders-db_51
1705754625,4,16,12,4,4,4,4,4,4,4,4,4,4,4,4,12,12,4,8,4,2,2,3,3,4,4,4,4,4,4,3,3,3,3,3,3,3,3,2,1,1,1,1,1,1,1,1,1,0,0,0
1705754640,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,10,22,22,11,11,11,11,11,11,12,12,12,12,12,12,12,12,10,13,13,13,13,13,13,13,13,13,23,0,0
1705754655,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,10,10,16,16,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,12,12,12,12,12,12,12,12,12,23,0,0
1705754670,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,10,10,10,16,16,16,16,16,16,16,16,16,16,16,16,16,16,10,21,21,21,21,21,21,21,21,21,23,0,0
1705754685,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,10,17,17,18,18,18,18,18,18,18,18,18,18,18,18,18,18,10,13,13,13,13,13,13,13,13,13,23,0,0
1705754700,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,10,10,14,14,7,7,7,7,7,7,7,7,7,7,7,7,7,7,10,15,15,15,15,15,15,15,15,15,23,0,0
1705754715,9,36,27,9,9,9,9,9,9,9,9,9,9,9,9,27,27,9,18,9,10,10,18,18,19,19,19,19,19,19,19,19,19,19,19,19,19,19,10,14,14,14,14,14,14,14,14,14,0,0,0
1705754730,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,10,11,11,16,16,16,16,16,16,16,16,16,16,16,16,16,16,10,16,16,16,16,16,16,16,16,16,0,0,0
1705754745,18,72,54,18,18,18,18,18,18,17,17,17,17,17,17,51,51,17,34,17,10,10,19,19,12,12,12,11,11,11,11,11,11,11,11,11,11,11,10,13,13,13,13,13,13,13,13,13,23,0,0
1705754760,11,44,33,11,11,11,11,11,11,12,12,12,12,12,12,36,36,12,24,12,10,10,16,16,20,20,20,21,21,21,20,20,20,20,20,20,20,20,10,18,18,18,18,18,18,18,18,18,0,0,0
1705754775,17,68,51,17,17,17,17,16,17,17,17,17,17,17,17,51,51,17,34,17,10,10,12,12,16,16,16,16,16,16,17,17,17,17,17,17,17,17,10,17,17,17,17,17,17,17,17,17,0,1,0
1705754790,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,10,19,19,15,15,15,15,15,15,15,14,14,14,14,14,14,14,10,14,14,14,14,14,14,14,14,14,23,0,0
1705754805,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,10,12,12,13,13,13,13,13,13,13,14,14,14,14,14,14,14,10,17,17,17,17,17,17,17,17,17,23,0,0
1705754820,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,10,17,17,18,18,18,18,18,18,18,18,18,18,18,18,18,18,10,14,14,14,14,14,14,14,14,14,0,0,0
1705754835,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,10,17,17,13,13,13,13,13,13,13,13,13,13,13,13,13,13,10,16,16,16,16,16,16,16,16,16,0,0,0
1705754850,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,10,13,13,17,17,17,17,17,17,17,17,17,17,17,17,17,17,10,17,17,17,17,17,17,17,17,17,23,0,0
1705754865,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,10,10,16,16,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,12,12,12,12,12,12,12,12,12,23,0,0
1705754880,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,10,14,14,15,15,15,15,15,15,15,15,15,15,15,15,15,14,10,16,16,16,16,16,16,16,16,16,0,0,0
1705754895,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,10,16,16,11,11,11,11,11,11,11,11,11,11,11,11,11,12,10,11,11,11,11,11,11,11,11,11,0,0,0
1705754910,10,40,30,10,10,10,10,10,10,10,10,10,10,10,10,30,30,10,20,10,10,10,14,14,20,20,20,20,20,20,20,20,20,20,20,20,20,20,10,21,21,21,21,21,21,21,21,21,23,0,0
1705754925,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,10,10,14,14,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,13,13,13,13,13,13,13,13,13,46,0,0
1705754940,8,32,24,8,8,8,8,8,8,8,8,8,8,8,8,24,24,8,16,8,10,10,20,20,22,22,22,22,22,22,22,22,22,22,22,22,22,22,10,18,18,18,18,18,18,18,18,18,0,0,0
1705754955,25,100,75,25,25,25,25,25,25,25,25,25,25,25,25,75,75,25,50,25,10,10,11,11,16,16,16,16,16,16,16,16,16,16,16,16,16,16,10,15,15,15,15,15,15,15,15,15,0,0,0
1705754970,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,10,22,22,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,12,12,12,12,12,12,12,12,12,0,0,0
1705754985,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,10,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,19,19,19,19,19,19,19,19,19,0,0,0
1705755000,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,10,11,11,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,14,14,14,14,14,14,14,14,14,23,0,2
1705755015,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,10,18,18,20,20,20,20,20,20,19,19,19,19,19,19,19,19,10,17,17,17,17,17,17,17,17,17,0,0,0
1705755030,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,10,15,15,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,14,14,14,14,14,14,14,14,14,23,0,0
1705755045,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,10,18,18,15,15,15,15,15,15,16,16,16,16,16,16,16,16,10,15,15,15,15,15,15,15,15,15,23,0,0
1705755060,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,10,13,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,15,15,15,15,15,15,15,15,15,46,0,0
1705755075,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,10,10,12,12,22,22,22,22,22,22,22,22,22,22,22,22,22,22,10,24,24,24,24,24,24,24,24,24,23,0,0
1705755090,22,88,66,22,22,22,22,22,22,22,22,22,22,22,22,66,66,22,44,22,10,10,18,18,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,10,10,10,10,10,10,10,10,10,0,0,0
1705755105,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,10,20,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,19,19,19,19,19,19,19,19,19,23,0,0
1705755120,10,40,30,10,10,10,10,10,10,10,10,10,10,10,10,30,30,10,20,10,10,10,13,13,22,22,22,22,22,22,22,22,22,22,22,22,22,21,10,16,16,16,16,16,16,16,16,16,0,0,0
1705755135,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,10,10,14,14,15,15,15,15,15,15,15,15,15,15,15,15,15,16,10,12,12,12,12,12,12,12,12,12,23,0,0
1705755150,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,10,16,16,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,16,16,16,16,16,16,16,16,16,0,0,0
1705755165,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,10,21,21,13,13,13,13,13,13,13,13,13,13,13,13,13,13,10,15,15,15,15,15,15,15,15,15,23,0,0
1705755180,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,10,11,11,16,16,16,16,16,16,15,15,15,15,15,15,15,15,10,17,17,17,17,17,17,17,17,17,0,0,0
