time,front-end_1,user_2,front-end_3,front-end_4,front-end_5,front-end_6,front-end_7,user_8,user_9,orders_10,payment_11,orders_12,shipping_13,catalogue_14,queue-master_15,queue-master_16,queue-master_17,queue-master_18,queue-master_19,front-end_20,front-end_21,front-end_22,front-end_23,user_24,front-end_25,front-end_26,front-end_27,front-end_28,front-end_29,front-end_30,front-end_31,front-end_32,user_33,front-end_34,front-end_35,user_36,front-end_37,payment_38,front-end_39,front-end_40,front-end_41,front-end_42,catalogue_43,front-end_44,front-end_45,front-end_46,user_47,catalogue_48,carts_49,user_50,user_51,user_52
1705649895,5,20,15,5,5,5,5,5,5,5,5,5,5,8,5,5,15,15,5,8,10,5,5,5,5,5,5,4,4,4,4,3,3,3,3,3,3,4,4,4,4,4,4,4,4,3,4,2,23,0,0,0
1705649910,15,60,45,15,15,15,15,15,15,15,15,15,15,21,15,15,45,45,15,21,30,15,14,14,14,14,14,15,15,15,15,11,11,11,11,11,11,10,11,10,10,10,10,10,10,10,10,10,23,0,0,0
1705649925,11,44,33,11,11,11,11,11,11,9,9,9,9,11,9,9,27,27,9,11,18,9,16,16,16,16,16,13,13,13,13,15,15,15,15,15,15,10,15,16,16,16,16,16,16,11,10,10,0,0,0,0
1705649940,13,52,39,13,13,13,13,13,13,13,13,13,13,11,13,13,39,39,13,11,26,13,18,18,18,18,18,17,17,17,17,17,17,17,17,17,17,10,16,12,12,12,12,12,12,14,10,10,23,0,0,0
1705649955,10,40,30,10,10,10,10,10,10,12,12,12,12,16,12,12,36,36,12,16,24,12,10,10,10,10,10,13,13,13,13,9,9,9,9,9,9,10,10,13,13,13,13,13,13,15,10,10,0,0,0,0
1705649970,14,56,42,14,14,14,14,14,14,14,14,14,14,9,14,14,42,42,14,9,28,14,12,12,12,12,12,11,11,11,11,14,14,14,14,14,14,10,14,15,15,15,15,15,15,15,10,10,0,0,0,0
1705649985,18,72,54,18,18,18,18,18,18,18,18,18,18,17,18,18,54,54,18,17,36,18,11,11,11,11,11,13,13,13,13,13,13,13,13,13,13,10,13,13,13,13,13,13,13,15,10,10,46,0,0,0
1705650000,11,44,33,11,11,11,11,11,11,11,11,11,11,13,11,11,33,33,11,13,22,11,15,15,15,15,15,15,15,15,15,14,14,14,14,14,14,10,13,12,12,12,12,12,12,11,10,10,0,0,0,0
1705650015,14,56,42,14,14,14,14,14,14,12,12,12,12,14,12,12,36,36,12,14,24,12,17,17,17,17,17,13,13,13,13,15,15,15,15,15,15,10,16,14,14,14,14,14,14,8,10,10,46,0,0,0
1705650030,7,28,21,7,7,7,7,7,7,8,8,8,8,10,8,8,24,24,8,10,16,8,13,13,13,13,13,15,15,15,15,12,12,12,12,12,12,10,12,14,14,14,14,14,14,17,10,10,0,0,0,0
1705650045,19,76,57,19,19,19,19,19,19,20,20,20,20,14,20,20,60,60,20,14,40,20,10,10,10,10,10,11,11,11,11,13,13,13,13,13,13,10,13,14,14,14,14,14,14,16,10,10,23,0,0,0
1705650060,17,68,51,17,17,17,17,17,17,17,17,17,17,15,17,17,51,51,17,15,34,17,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,10,12,12,12,12,12,12,12,14,10,10,0,0,0,0
1705650075,11,44,33,11,11,11,11,11,11,11,11,11,11,18,11,11,33,33,11,18,22,11,18,18,18,18,18,15,15,15,15,14,14,14,14,14,14,10,14,12,12,12,12,12,12,7,10,10,23,0,0,0
1705650090,9,36,27,9,9,9,9,9,9,9,9,9,9,9,9,9,27,27,9,9,18,9,16,16,16,16,16,14,14,14,14,18,18,18,18,18,18,10,18,15,15,15,15,15,15,13,10,10,0,0,0,0
