time,catalogue_1,front-end_2,front-end_3,user_4,front-end_5,front-end_6,user_7,front-end_8,front-end_9,front-end_10,front-end_11,front-end_12,catalogue_13,front-end_14,front-end_15,front-end_16,front-end_17,user_18,front-end_19,front-end_20,front-end_21,front-end_22,front-end_23,front-end_24,front-end_25,front-end_26,user_27,front-end_28,front-end_29,front-end_30,front-end_31,front-end_32,user_33,user_34,orders_35,payment_36,orders_37,shipping_38,queue-master_39,queue-master_40,queue-master_41,queue-master_42,queue-master_43,front-end_44,front-end_45,catalogue_46,payment_47,user_48,carts_49,carts_50,user-db_51
1705768125,13,13,14,14,14,14,14,14,14,14,14,14,14,14,14,17,14,17,17,17,17,17,17,17,17,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,5,5,5,0,0,0
1705768140,12,12,15,15,15,15,15,15,15,15,15,15,15,15,15,14,15,14,14,14,14,14,14,14,14,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,5,5,5,0,0,0
1705768155,19,19,17,17,17,17,17,17,17,17,17,17,17,17,17,18,17,18,18,18,18,18,18,18,18,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,5,5,5,46,0,0
1705768170,10,10,17,17,16,16,16,16,16,16,16,16,16,16,16,13,16,13,13,13,13,13,13,13,13,22,88,66,22,22,22,22,22,22,22,22,22,22,22,22,66,66,22,44,22,8,8,8,0,0,0
1705768185,19,19,11,11,12,12,12,12,12,12,12,12,12,12,12,22,12,22,22,22,22,22,22,22,22,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,10,10,10,0,0,0
1705768200,14,14,22,22,22,22,22,22,22,22,22,22,22,22,22,12,22,12,12,12,12,12,12,12,12,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,10,10,10,0,1,0
1705768215,22,22,12,12,12,12,12,12,12,12,12,12,12,12,12,18,12,18,18,18,18,18,18,18,18,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,10,10,23,0,0
1705768230,12,12,24,24,24,24,24,24,24,24,24,24,24,24,24,15,24,15,15,15,15,15,15,15,15,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,10,10,10,0,0,0
1705768245,16,16,8,8,8,8,7,7,7,7,7,7,7,7,7,9,7,9,9,9,9,9,9,9,9,21,84,63,21,21,21,21,21,21,21,21,21,21,21,21,63,63,21,42,21,10,10,10,0,0,0
1705768260,18,18,15,15,15,15,16,16,16,16,16,16,16,16,16,25,16,25,25,25,25,25,25,25,25,10,40,30,10,10,10,10,10,10,10,10,10,10,10,10,30,30,10,20,10,10,10,10,23,0,0
1705768275,8,8,19,19,19,19,19,19,19,19,19,19,19,19,19,12,19,12,12,12,12,12,12,12,12,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,10,10,10,0,0,0
