POD,NODE_NAME
carts-795df7fd79-6wwk9,gke-gke-cluster-ss-default-pool-aa4d7ed2-9gn2
carts-db-5d88c7dddc-vbtnd,gke-gke-cluster-ss-default-pool-aa4d7ed2-fayo
catalogue-6999fd64d9-7qzts,gke-gke-cluster-ss-default-pool-aa4d7ed2-vh5c
catalogue-db-554cbfd749-j28tm,gke-gke-cluster-ss-default-pool-aa4d7ed2-9gn2
front-end-75b898f665-w2hms,gke-gke-cluster-ss-default-pool-aa4d7ed2-vh5c
loadgenerator-564d55cfcb-pddvs,gke-gke-cluster-ss-default-pool-aa4d7ed2-vh5c
orders-688f957476-pj7zg,gke-gke-cluster-ss-default-pool-aa4d7ed2-fayo
orders-db-7c75b66575-zr9cb,gke-gke-cluster-ss-default-pool-aa4d7ed2-9gn2
payment-766c44b5dc-6bzmj,gke-gke-cluster-ss-default-pool-aa4d7ed2-fayo
queue-master-5f47847cd-2bvhj,gke-gke-cluster-ss-default-pool-aa4d7ed2-vh5c
rabbitmq-5dcbdd5997-9cdsf,gke-gke-cluster-ss-default-pool-aa4d7ed2-9gn2
session-db-6f9cdc9746-g6r8j,gke-gke-cluster-ss-default-pool-aa4d7ed2-fayo
shipping-6d4449fd75-khgxg,gke-gke-cluster-ss-default-pool-aa4d7ed2-fayo
user-77c9d4d7cf-d597w,gke-gke-cluster-ss-default-pool-aa4d7ed2-9gn2
user-db-57c446cdbc-5np7j,gke-gke-cluster-ss-default-pool-aa4d7ed2-9gn2
