time,front-end_1,catalogue_2,front-end_3,catalogue_4,front-end_5,front-end_6,front-end_7,catalogue_8,front-end_9,front-end_10,front-end_11,front-end_12,front-end_13,front-end_14,front-end_15,user_16,front-end_17,front-end_18,user_19,front-end_20,front-end_21,user_22,front-end_23,user_24,front-end_25,front-end_26,front-end_27,front-end_28,front-end_29,user_30,user_31,orders_32,orders_33,orders_34,front-end_35,front-end_36,front-end_37,user_38,front-end_39,front-end_40,front-end_41,carts_42,payment_43,payment_44,orders_45,shipping_46,queue-master_47,queue-master_48,queue-master_49,queue-master_50,queue-master_51,front-end_52,front-end_53,user_54,user_55
1705646700,18,16,16,10,13,13,13,13,13,13,10,10,10,10,11,11,11,11,11,11,11,10,11,44,33,11,11,11,11,11,11,11,286,11,22,11,11,11,11,11,11,46,0,0,0,0,0,0,0,0,0,0,0,0,0
1705646715,8,13,13,10,10,10,10,10,10,10,20,20,20,20,13,13,13,13,13,13,13,10,15,60,45,15,15,15,15,15,15,15,390,15,30,15,20,20,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705646730,16,12,12,10,16,16,16,16,16,16,14,14,14,14,13,13,13,13,13,13,13,10,9,36,27,9,9,9,9,9,9,8,208,8,16,8,13,13,13,13,13,23,0,0,0,0,0,0,0,0,0,0,0,0,0
1705646745,16,12,12,10,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,17,68,51,17,17,17,17,17,17,18,468,18,36,18,13,13,13,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705646760,15,20,20,10,16,16,16,16,16,16,11,11,11,11,16,16,16,16,16,16,16,10,17,68,51,17,17,17,17,17,17,17,442,17,34,17,12,12,12,12,12,23,0,0,0,0,0,0,0,0,0,0,0,0,0
1705646775,12,15,15,10,12,12,12,12,12,12,17,17,17,17,13,13,13,13,13,13,13,10,14,56,42,14,14,14,14,14,14,14,208,8,16,8,18,18,18,18,18,0,2,6,6,6,6,6,18,18,6,12,6,0,0
1705646790,18,12,12,10,17,17,17,17,17,17,13,13,13,13,16,16,16,16,16,16,16,10,15,60,45,15,15,15,15,15,15,15,0,0,0,0,11,11,11,11,11,23,5,15,14,14,14,14,42,42,14,28,14,0,0
1705646805,10,16,16,10,12,12,12,12,12,12,15,15,15,15,15,15,15,15,15,15,15,10,15,60,45,15,15,15,15,15,15,13,0,0,0,0,18,18,18,18,18,0,5,13,14,14,14,14,42,42,14,28,14,0,0
1705646820,13,14,14,10,16,16,16,16,16,16,14,14,14,14,13,13,13,13,13,13,13,10,9,36,27,9,9,9,9,9,9,8,0,0,0,0,15,15,15,15,15,46,5,8,8,8,8,8,24,24,8,16,8,0,0
1705646835,14,9,9,10,14,14,14,14,14,14,15,15,15,15,14,14,14,14,14,14,14,10,14,56,42,14,14,14,14,14,14,16,0,0,0,0,13,13,13,13,13,0,5,16,16,16,16,16,48,48,16,32,16,0,0
