time,user_1,front-end_2,front-end_3,user_4,front-end_5,front-end_6,front-end_7,front-end_8,front-end_9,catalogue_10,front-end_11,front-end_12,front-end_13,front-end_14,user_15,front-end_16,front-end_17,front-end_18,front-end_19,front-end_20,user_21,user_22,orders_23,payment_24,orders_25,shipping_26,queue-master_27,queue-master_28,queue-master_29,queue-master_30,queue-master_31,front-end_32,front-end_33,front-end_34,user_35,front-end_36,front-end_37,front-end_38,front-end_39,front-end_40,front-end_41,front-end_42,catalogue_43,front-end_44,catalogue_45,payment_46,front-end_47,user_48,carts_49,user_50,user-db_51,carts_52
1705759785,9,9,9,9,9,9,9,9,9,9,9,9,9,3,12,9,3,3,3,3,3,3,3,3,3,3,3,3,9,9,3,6,3,6,6,6,6,6,6,6,6,6,2,2,2,2,8,2,0,0,0,0
1705759800,19,19,19,19,19,19,19,19,19,19,19,19,19,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,21,21,21,21,21,21,21,21,21,11,11,5,5,19,5,23,0,0,0
1705759815,15,15,15,15,15,15,15,15,15,15,15,15,15,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,10,10,10,10,10,10,10,10,10,17,17,5,5,15,5,23,0,0,0
1705759830,14,14,14,14,14,14,14,14,14,14,14,14,14,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,16,16,16,16,16,16,16,16,16,17,17,6,5,14,5,0,0,0,0
1705759845,15,15,15,15,15,15,15,15,15,15,15,15,15,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,17,17,17,17,17,17,17,17,17,15,15,10,10,15,10,0,0,0,0
1705759860,11,11,11,11,11,11,11,11,11,11,11,11,11,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,14,14,14,14,14,14,14,14,14,16,16,10,10,11,10,23,0,0,0
1705759875,19,19,19,19,19,19,19,19,19,19,19,19,19,14,55,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,18,18,18,18,18,18,18,18,18,15,15,10,10,19,10,0,1,0,0
1705759890,17,17,17,17,17,17,17,17,17,17,17,17,17,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,14,14,14,14,14,14,14,14,14,15,15,10,10,17,10,23,0,0,0
1705759905,12,12,12,12,12,12,12,12,12,12,12,12,12,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,13,13,13,13,13,13,13,13,13,16,16,10,10,13,10,23,0,0,0
1705759920,19,19,19,19,19,19,19,19,19,19,19,19,19,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,19,19,19,19,19,19,19,19,19,14,14,10,10,18,10,46,0,0,0
1705759935,14,14,14,14,14,14,14,14,14,14,14,14,14,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,11,11,11,11,11,11,11,11,11,15,15,10,10,14,10,0,0,0,0
1705759950,12,12,12,12,12,12,12,12,12,12,12,12,12,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,18,18,18,18,18,18,18,18,18,17,17,10,10,12,10,0,0,0,0
1705759965,17,17,17,17,17,16,16,16,16,16,16,16,16,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,14,14,14,14,14,14,14,14,14,13,13,10,10,17,10,23,0,0,0
1705759980,19,19,19,19,19,20,20,20,20,20,20,20,20,10,40,30,10,10,10,10,10,10,10,10,10,10,10,10,30,30,10,20,10,20,20,20,20,20,20,20,20,20,15,15,10,10,19,10,0,0,0,0
1705759995,15,15,15,15,15,15,15,15,15,15,15,15,15,24,96,72,24,24,24,24,24,24,24,24,24,24,24,24,72,72,24,48,24,17,17,17,17,17,17,17,17,17,16,16,10,10,15,10,46,0,0,0
