time,front-end_1,user_2,front-end_3,front-end_4,user_5,front-end_6,front-end_7,front-end_8,front-end_9,catalogue_10,front-end_11,front-end_12,catalogue_13,front-end_14,front-end_15,front-end_16,front-end_17,user_18,front-end_19,front-end_20,front-end_21,front-end_22,front-end_23,user_24,user_25,orders_26,payment_27,orders_28,shipping_29,queue-master_30,queue-master_31,queue-master_32,queue-master_33,queue-master_34,front-end_35,front-end_36,user_37,front-end_38,user_39,front-end_40,front-end_41,front-end_42,front-end_43,front-end_44,front-end_45,front-end_46,catalogue_47,payment_48,user_49,carts_50,user_51,user_52,user_53
1705761375,8,8,8,8,8,8,8,7,7,5,7,5,7,7,7,7,6,24,18,6,6,6,6,6,6,6,6,6,6,6,6,18,18,6,12,6,6,12,12,12,12,12,12,12,12,12,4,4,0,0,0,0,0
1705761390,16,16,16,16,16,16,16,17,17,11,17,11,17,17,17,17,9,36,27,9,9,9,9,9,9,9,9,9,9,9,9,27,27,9,18,9,10,12,12,12,12,12,12,12,12,12,10,10,0,0,0,0,0
1705761405,16,16,16,16,16,16,16,16,16,18,16,18,16,16,16,16,21,84,63,21,21,21,21,21,21,21,21,21,21,21,21,63,63,21,42,21,10,14,14,14,14,14,14,14,14,14,10,10,0,0,0,0,0
1705761420,15,15,15,15,15,15,15,15,15,11,15,11,15,15,15,15,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,20,20,20,20,20,20,20,20,20,10,10,0,0,0,0,0
1705761435,17,17,17,17,17,17,17,17,17,16,17,16,17,17,17,17,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,10,16,16,15,15,15,15,15,15,15,10,10,0,0,0,0,0
1705761450,16,16,16,16,15,16,16,16,16,20,16,20,16,16,16,16,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,15,15,16,16,16,16,16,16,16,10,10,1,0,0,0,0
1705761465,15,15,15,15,15,15,15,15,15,14,15,14,15,15,15,15,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,10,18,18,18,18,18,18,18,18,18,10,10,0,0,0,0,0
1705761480,19,19,19,19,19,19,19,19,19,18,19,18,19,19,19,19,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,13,13,13,13,13,13,13,13,13,10,10,0,0,0,0,0
1705761495,12,12,12,12,12,12,12,12,12,15,12,15,12,12,12,12,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,10,11,11,11,11,11,11,11,11,11,10,10,0,0,0,0,0
1705761510,12,12,12,12,12,12,12,12,12,17,12,17,12,12,12,12,10,40,30,10,10,10,10,10,10,10,10,10,10,10,10,30,30,10,20,10,10,20,20,20,20,20,20,20,20,20,10,10,0,0,0,0,0
1705761525,14,14,14,14,14,14,14,14,14,13,14,13,14,14,14,14,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,11,11,11,11,11,11,11,11,11,10,10,0,23,0,0,0
1705761540,19,19,19,19,19,19,19,18,18,15,18,15,18,18,18,18,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,19,19,19,19,19,19,19,19,19,10,10,0,0,0,0,0
1705761555,15,15,15,15,15,15,15,16,16,12,16,12,16,16,16,16,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,15,15,15,15,15,15,15,15,15,10,10,0,23,0,0,0
