time,payment_1,front-end_2,user_3,front-end_4,front-end_5,front-end_6,front-end_7,front-end_8,front-end_9,front-end_10,catalogue_11,front-end_12,front-end_13,user_14,front-end_15,front-end_16,user_17,front-end_18,front-end_19,front-end_20,user_21,front-end_22,front-end_23,front-end_24,front-end_25,front-end_26,front-end_27,front-end_28,user_29,user_30,front-end_31,catalogue_32,front-end_33,front-end_34,orders_35,payment_36,orders_37,shipping_38,queue-master_39,queue-master_40,queue-master_41,queue-master_42,queue-master_43,front-end_44,front-end_45,user_46,front-end_47,catalogue_48,carts_49,orders-db_50,payment_51,orders_52,orders_53,front-end_54,front-end_55,payment_56,user_57,user_58,user-db_59,carts_60,carts_61,carts_62,carts_63,front-end_64,carts_65,carts_66,carts_67,carts_68,user_69,orders_70
1705611030,8,8,8,8,8,8,8,8,8,8,13,13,10,10,10,10,10,10,10,10,40,30,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,30,30,10,20,10,8,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705611045,10,21,21,21,21,21,20,20,20,20,17,17,16,16,16,16,16,16,16,14,56,42,14,14,14,14,16,16,14,14,16,16,16,16,14,14,14,14,14,14,42,42,14,28,14,10,14,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705611060,10,13,13,13,13,13,14,14,14,14,17,17,15,15,15,15,15,15,15,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,16,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705611075,10,15,15,15,15,15,15,15,15,15,15,15,16,16,16,16,16,16,16,18,72,54,18,18,18,18,16,16,18,18,16,16,16,16,18,18,18,18,18,18,54,54,18,36,18,10,15,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705611090,10,16,16,16,16,16,16,16,16,16,10,10,18,18,18,18,18,18,17,15,60,45,15,15,15,15,17,17,15,15,17,17,17,17,14,14,14,14,14,14,42,42,14,28,14,10,18,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705611105,10,12,12,12,12,12,12,12,12,12,19,19,11,11,11,11,11,11,12,16,64,48,16,16,16,16,12,12,16,16,12,12,12,12,17,17,17,17,17,17,51,51,17,34,17,10,13,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705611120,10,17,17,17,17,17,17,17,17,17,15,15,13,13,13,13,13,13,13,11,44,33,11,11,11,11,13,13,11,11,13,13,13,13,11,11,11,11,11,11,33,33,11,22,11,10,13,10,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705611135,10,15,15,15,15,15,15,15,15,15,12,12,18,18,18,17,17,17,17,14,56,42,14,14,14,14,17,17,14,14,17,17,17,17,14,14,14,14,14,14,42,42,14,28,14,10,17,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705611150,10,15,15,15,15,15,15,15,15,15,15,15,14,14,14,15,15,15,15,16,64,48,16,16,16,16,15,15,16,16,15,15,15,15,16,16,16,16,16,16,48,48,16,32,16,10,15,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705611165,10,13,13,13,13,13,13,13,13,13,16,16,13,13,13,13,13,13,13,18,72,54,18,18,18,18,13,13,18,18,13,13,13,13,18,18,18,17,17,17,51,51,17,34,17,10,13,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
